,14세 이하 아동 수,~14세 비율,전체 어린이집 수,국공립 어린이집 수,국공립 어린이집 비율,전체 유치원 수,국공립 유치원 수,국공립 유치원 비율,어린이집 아동 수(구),어린이집 교사 수(구),어린이집 교사 1인당 아동 수(구),유치원 학생 수(구),교원 수(구),유치원 교원 1인당 학생 수(구),아동센터 수,면적당 아동센터 수,학교 수,학원 수,개소(구),녹지 면적 (㎡)(구),근린시설 수,동 면적(km2),근린시설 밀집도,정류장 수,면적당 정류장 수,지하철역 수,면적당 지하철역 수,총 아파트 수,5년 미만,5년 이상 10년 미만,10년 이상 15년 미만,15년 이상 20년 미만,20년 이상 30년 미만,30년 이상 40년 미만,40년 이상 50년 미만,50년 이상,20년 미만 아파트 비율,10년 미만 아파트 비율,30년 이상 아파트 비율,합계,외국인,외국인 비율,5대 범죄 발생 수,경찰서 및 지구대(구),경찰서 1개당 면적(구),공공도서관 수(구),공원 수(구),수 ,병원수,주간인구지수(%),주택수,일반가구수(가구),주택보급률,주택종류별 총합,단독주택합,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대 주택,비거주용건물내주택,아파트/총합,16_예산액_x,16_집행액_x,17_예산액_x,17_집행액_x,18_예산액_x,18_집행액_x,19_예산액_x,19_집행액_x,20_예산액_x,20_집행액_x,16_effect,17_effect,18_effect,19_effect,20_effect,16_예산액_y,16_집행액_y,17_예산액_y,17_집행액_y,18_예산액_y,18_집행액_y,19_예산액_y,19_집행액_y,20_예산액_y,20_집행액_y
14세 이하 아동 수,1.0,0.7590739604699575,0.7384958153370824,0.6640997532644343,-0.02391091783788558,0.5032670610761036,0.4316473321585419,0.4316473321585419,0.3797893766653734,0.37557102493778793,0.2088212889279384,0.34944894577187774,0.34172549935828334,0.0839422277282628,0.004661771148954715,-0.1731049624678298,0.3396864426803087,0.39738389876547925,-0.13521445759325865,0.2614966657323055,-0.0800003431517626,0.27534124320094044,-0.31907786051977277,0.29303110755182843,-0.12223976730776509,0.035113573214383915,-0.1305706057614788,0.35365475035203175,0.31024559999207424,0.2384706428470315,0.2631198835231288,0.17311742894883955,0.19469467221266928,0.18355191410745386,0.13735578309780702,-0.06080067667283097,0.023418649636483203,0.13797982550535134,-0.08902033626701224,0.7638876998841925,-0.2374206115607265,-0.41385139363082063,0.18011805949510812,0.022620785156355894,0.19176003212211068,0.20726373632686532,0.05540848470505635,-0.24495572219535072,0.08299905075658624,-0.25781860073111496,0.7371142433449641,0.5091669388598667,0.45509621004317047,0.7371142433449641,-0.2768305527108047,-0.20637390823731333,-0.24852293563485278,-0.20712701110233775,0.7697492446653148,-0.02720522103277604,-0.038106079576527875,-0.15526588225268964,0.5110901631113011,0.2615597826778355,0.22035616646470005,0.33092639243746613,0.3226149000880238,0.24842699876304888,0.22506836975747313,0.2557089884653056,0.20989718978760316,0.1895459781713723,0.16519786453234445,-0.2881778127427323,-0.13688598049157627,-0.06884558969381148,-0.17475828691519857,-0.16077093785325902,0.2615597826778354,0.2203561664647,0.33092639243746585,0.3226149000880235,0.24842699876304872,0.22506836975747305,0.25570898846530554,0.20989718978760283,0.18954597817137242,0.16519786453234434
~14세 비율,0.7590739604699575,1.0,0.42587995401693785,0.4352682677850373,0.041879721791946205,0.2517766474215371,0.17710037133275583,0.17710037133275583,0.2568032875908322,0.25966420351196673,0.08235498796525305,0.23275958844867545,0.21672051832608077,0.1318500213114916,-0.2040048597376647,-0.2369853485367658,0.15317348563615588,0.23503878396942043,0.006106045641015474,0.24680618883169006,-0.30117264797460963,0.1290212989952901,-0.39519037911380406,-0.004689087932123062,-0.1513886840098716,-0.03811490987490694,-0.09279708381039084,0.27129247019515657,0.3335399106358481,0.2557170703933199,0.22399733080720272,0.08360310305009341,0.07510638730160697,0.1339752420240984,0.18447651355325717,0.08378188810668556,0.06577151012632407,0.2438968069963726,-0.0962332871418647,0.23727287745443632,-0.36183311659396705,-0.3910447693979909,0.11494934704602015,0.06302984747939883,0.09750922835358009,0.19956854026049028,0.08917074870843976,-0.08657375051152268,-0.06486366650566536,-0.0741422538427949,0.28335107701793166,-0.05213869495540397,0.6316074448429195,0.28335107701793166,-0.500059937015946,-0.25142105087221595,-0.4909396147072179,-0.4866787096265355,0.5736174544859058,-0.16981121174537747,-0.3409981980842351,-0.4404231165664465,0.6534589273989386,0.24906584213575453,0.2234558957211345,0.27639913101877694,0.2678104859370622,0.23916487403721468,0.2367180184730672,0.15637598338276057,0.142770263187919,0.18856213721036622,0.14459484121334756,-0.1279087139201537,-0.06428440184414191,0.0025275692692615266,-0.09324073910653677,-0.21214670258540827,0.24906584213575447,0.22345589572113433,0.2763991310187767,0.2678104859370618,0.23916487403721431,0.2367180184730674,0.1563759833827606,0.14277026318791888,0.18856213721036583,0.1445948412133475
전체 어린이집 수,0.7384958153370824,0.42587995401693785,1.0,0.7627798567214963,-0.14681754954803103,0.5400410990663272,0.4439696911578879,0.4439696911578879,0.33776122889181875,0.3305081821978662,0.2329867974307786,0.32982474392608574,0.32088696490996776,0.09732670062947701,0.1976772457608247,-0.014712926710228806,0.3369196096392846,0.23789712377159675,-0.14190042912900894,0.07555344588076413,-0.01362671325923759,0.2882380713850417,-0.24821930085804886,0.40214734831451604,-0.036290034428067934,0.06049777444570376,-0.10072899833832356,0.2950298512731689,0.12270115651972556,0.04328674489493547,0.10673951047991335,0.13324004009600632,0.30912411377106175,0.22029167559242163,-0.059232667526349383,-0.1633807698776268,-0.1325241535974054,-0.0496803002222223,-0.09626953163803895,0.7331596340200683,-0.11538107326688193,-0.30325071181008434,0.044611396250855015,-0.11572345663699486,0.16777376335691607,0.07948494988319464,-0.051581626394383503,-0.31719729834712185,0.06434028686494574,-0.32694955819108507,0.7352607390902275,0.5885466635648446,0.2984553144263776,0.7352607390902275,-0.14955637758510695,-0.17762985327598635,-0.10651707155196591,-0.07191595471097532,0.6850891785397029,0.005152373360579117,0.06403593726007302,-0.07970034596976329,0.37340257648895003,0.06792249066064576,0.046374425362781205,0.13808880112991864,0.14188125526569761,0.10843324493418599,0.08398294901014698,0.1910935597928701,0.12471447390906985,-0.002314875552236103,-0.002808456415263491,-0.26715897784279574,-0.056088367778355755,-0.07966470367198525,-0.24219256241438317,-0.05115438244162748,0.0679224906606458,0.046374425362781364,0.13808880112991836,0.1418812552656976,0.10843324493418594,0.08398294901014706,0.19109355979286988,0.12471447390906965,-0.0023148755522359923,-0.0028084564152635614
국공립 어린이집 수,0.6640997532644343,0.4352682677850373,0.7627798567214963,1.0,0.36365430369757196,0.4625177763477825,0.45401148080778203,0.45401148080778203,0.1528892564823257,0.13735857526754183,0.21769440850529198,0.11920601224455063,0.11280097176900503,0.05889927888585164,0.14753120230933423,-0.03501646040013531,0.31920185121015765,0.15854134537546472,-0.15918316339524827,-0.007177641135090684,-0.055228875896385574,0.2524262003200646,-0.2052647158034124,0.3346121955910267,-0.003759541787040082,-0.03067190694600162,-0.11655418090392237,0.10937364037522757,0.06828184908402335,0.0587354390769794,0.03911094534263622,0.10454711981081628,0.10408469918389131,0.0640825062368282,-0.09030676355229539,-0.08180424930607544,-0.0006859232082957734,0.037295765513883285,-0.005379629365411202,0.6026690468100367,-0.07760387651687652,-0.2574384517173078,-0.0593257036406826,-0.08136633310721066,0.04606537394623201,-0.010047977561380345,-0.07425637600093854,-0.25925117127203023,-0.003351528928573324,-0.25978321382295605,0.5833851054654795,0.4672047701788216,0.2414137967173119,0.5833851054654795,-0.054234101511651804,-0.05420817759631424,-0.04811840426401731,-0.009656055782031771,0.5838277984834045,-0.015276818375081833,-0.03451013244651047,-0.03744921551063602,0.3414627484770206,0.037240647147783426,0.02046924240216754,0.04802682691642632,0.03977119470051676,0.019964864534864,0.01241257647938947,0.06662433623252115,0.015608428437904557,-0.05150549159584382,-0.06405341494081913,-0.17940583399632373,-0.05581324986576938,-0.047637047697248955,-0.17705314479271625,-0.06871033700226348,0.03724064714778341,0.020469242402167596,0.048026826916426485,0.03977119470051666,0.019964864534863996,0.01241257647938953,0.06662433623252113,0.01560842843790449,-0.051505491595843764,-0.0640534149408192
국공립 어린이집 비율,-0.02391091783788558,0.041879721791946205,-0.14681754954803103,0.36365430369757196,1.0,-0.02086220229579207,0.037767868625300995,0.037767868625300995,-0.2813596444087212,-0.2787975868380721,-0.13207277420388167,-0.29624442826884606,-0.2961805129686507,-0.02283410819774105,-0.03378110170362188,0.030287278135253684,0.016542254429093753,-0.08469165217149195,0.10498066110742997,-0.14148644138219535,-0.04052963640368148,-0.018579710585656384,0.045859277841649185,-0.054224485724984776,0.0372893212387027,-0.12989202675903708,-0.05070274779873803,-0.2724810747298901,-0.1495831853917612,-0.04871090057590121,-0.1735393532571813,-0.08095362904817958,-0.20961112021490494,-0.20100462040890246,-0.1037985071351632,0.12541042921307805,0.10377040545906614,0.06607567328696541,0.13046300917545192,-0.07718881909640381,0.07036053914248797,0.05350561965015936,-0.14628683242590954,0.03365561618748354,-0.1286186780842304,-0.15932454225724066,0.008405117604952378,0.16199966360979848,-0.04704075174132389,0.1634075596447269,-0.1173327750241558,-0.08237041317817465,-0.061058661833454694,-0.1173327750241558,0.11727346289731262,0.17157810479245897,0.06209411300153211,0.07208857323452385,-0.056979977321511575,-0.035225857729362216,-0.12424063963513261,0.052683975966826176,-0.020565218697418952,-0.14003353295249005,-0.12422143708036334,-0.21423134354309686,-0.22671038040016134,-0.14101669635586808,-0.11532307333311752,-0.1622686058692386,-0.1253836274458274,-0.10438374223854291,-0.10957409141151868,0.1683203733638302,0.06205373582663791,0.0443386893614774,0.12693015974298422,0.029212713990582482,-0.14003353295249002,-0.12422143708036332,-0.21423134354309692,-0.22671038040016112,-0.1410166963558679,-0.11532307333311771,-0.16226860586923866,-0.12538362744582732,-0.10438374223854278,-0.1095740914115187
전체 유치원 수,0.5032670610761036,0.2517766474215371,0.5400410990663272,0.4625177763477825,-0.02086220229579207,1.0,0.6632672555755957,0.6632672555755957,0.189106677670191,0.2049393303094201,0.039617784475323076,0.2643098010647319,0.2688709922197687,0.007580490899214055,0.11522948709800872,-0.058087694649394665,0.39733063902753113,0.2094951098014258,-0.028212930831789284,0.04419212115437336,-0.08154912191305198,0.2844722615415508,-0.2716303410122055,0.2885841592513517,-0.0975734678767349,-0.017781017786337665,-0.16015124861406804,0.23536807544242402,0.03352918198694065,0.003129655155078559,0.03170691967979696,0.14666401976760177,0.2699170025856447,0.20074278490131703,-0.052573829258351724,-0.145063700840824,-0.12001666475496595,-0.08656815252651344,-0.07107424598301296,0.5050395517867217,-0.05733269768739238,-0.19405233704035205,0.028151742811909262,-0.01580491837775984,0.10848881991312137,0.08260115169319314,-0.04644156349148829,-0.18920271622323184,0.01139457136200536,-0.19031053575692722,0.521302355759315,0.3862902062110446,0.25820120367578075,0.521302355759315,-0.10476314715067035,-0.023215876317805768,-0.12105665805626957,-0.09523245724317388,0.5457930348050943,-0.02594813551663344,-0.053251223613635275,-0.0947118367663191,0.32649286042850606,0.029614832863099246,0.01727179185634776,0.062192641546848906,0.0702762354610256,0.07818685556952183,0.06042155428418824,0.1257130480711921,0.10021134635806758,-0.00205609001903901,0.005157607086780161,-0.14844997487527925,0.002319808186460462,-0.0541060390139956,-0.10531531760373974,0.0041297971748327795,0.029614832863099266,0.01727179185634781,0.06219264154684889,0.07027623546102549,0.07818685556952178,0.0604215542841884,0.12571304807119218,0.10021134635806758,-0.0020560900190389098,0.005157607086780077
국공립 유치원 수,0.4316473321585419,0.17710037133275583,0.4439696911578879,0.45401148080778203,0.037767868625300995,0.6632672555755957,1.0,1.0,0.1452452602361141,0.1523301664394827,0.053752850490464556,0.15414901587644222,0.16522987130799482,-0.053599827165911364,0.17967712132140654,-0.0025860543301328667,0.3220025478465824,0.16206832228090254,-0.015441338539245661,0.06824652064121275,-0.025299977407820726,0.33104132151480803,-0.18138972890010366,0.2789593794761299,-0.1062731040428616,-0.005061612660611966,-0.09967108921649805,0.15680686863790833,0.028531599798132207,0.042324295174750955,0.059413875742210936,0.11563640316869203,0.15374895832065782,0.11385187350393969,-0.012577578590625162,-0.11242651682954222,-0.04491177268974744,-0.050488939982653684,-0.0306074261740326,0.42577793492874716,-0.057908597472144684,-0.13572829669596045,0.0662210531029208,0.025278610701240534,0.07126558674237729,0.0713935412650849,-0.017220700375189957,-0.13247342518417124,0.04803948555195765,-0.13916459604726947,0.37801089486240885,0.33428853648948265,0.08799564296781005,0.37801089486240885,0.027362461536825658,0.03668397854085986,0.016486666719793028,0.016517638119634012,0.3623239771892934,0.0013271797207202662,-0.016508471252137693,-0.0037169164621596433,0.15900765857302335,0.07319837650840785,0.06657515264171575,0.07987044264414948,0.08976606794013413,0.06796478600412169,0.05464571877854637,0.06936248318611814,0.06147979563630287,0.012048195571124852,0.01380696677576268,-0.09490039445053489,0.01751749752390464,-0.04633729064481368,-0.02838223623994121,-0.002357481569473458,0.07319837650840783,0.06657515264171572,0.07987044264414944,0.089766067940134,0.06796478600412159,0.05464571877854658,0.06936248318611812,0.06147979563630277,0.012048195571124878,0.013806966775762613
국공립 유치원 비율,0.4316473321585419,0.17710037133275583,0.4439696911578879,0.45401148080778203,0.037767868625300995,0.6632672555755957,1.0,1.0,0.1452452602361141,0.1523301664394827,0.053752850490464556,0.15414901587644222,0.16522987130799482,-0.053599827165911364,0.17967712132140654,-0.0025860543301328667,0.3220025478465824,0.16206832228090254,-0.015441338539245661,0.06824652064121275,-0.025299977407820726,0.33104132151480803,-0.18138972890010366,0.2789593794761299,-0.1062731040428616,-0.005061612660611966,-0.09967108921649805,0.15680686863790833,0.028531599798132207,0.042324295174750955,0.059413875742210936,0.11563640316869203,0.15374895832065782,0.11385187350393969,-0.012577578590625162,-0.11242651682954222,-0.04491177268974744,-0.050488939982653684,-0.0306074261740326,0.42577793492874716,-0.057908597472144684,-0.13572829669596045,0.0662210531029208,0.025278610701240534,0.07126558674237729,0.0713935412650849,-0.017220700375189957,-0.13247342518417124,0.04803948555195765,-0.13916459604726947,0.37801089486240885,0.33428853648948265,0.08799564296781005,0.37801089486240885,0.027362461536825658,0.03668397854085986,0.016486666719793028,0.016517638119634012,0.3623239771892934,0.0013271797207202662,-0.016508471252137693,-0.0037169164621596433,0.15900765857302335,0.07319837650840785,0.06657515264171575,0.07987044264414948,0.08976606794013413,0.06796478600412169,0.05464571877854637,0.06936248318611814,0.06147979563630287,0.012048195571124852,0.01380696677576268,-0.09490039445053489,0.01751749752390464,-0.04633729064481368,-0.02838223623994121,-0.002357481569473458,0.07319837650840783,0.06657515264171572,0.07987044264414944,0.089766067940134,0.06796478600412159,0.05464571877854658,0.06936248318611812,0.06147979563630277,0.012048195571124878,0.013806966775762613
어린이집 아동 수(구),0.3797893766653734,0.2568032875908322,0.33776122889181875,0.1528892564823257,-0.2813596444087212,0.189106677670191,0.1452452602361141,0.1452452602361141,1.0,0.9879520722037883,0.41832158778660816,0.8609500325331991,0.8416337397319354,0.18674824173922341,0.07527749411395282,-0.02909703055179555,0.12927420556478267,0.1951080771100593,-0.10567266024691888,0.4715994068953934,-0.07299149909971282,0.05904888924400891,-0.14826557177359492,-0.04762128130177265,-0.1956755880251427,-0.03663357346390022,-0.12086625137687657,0.7238871521300217,0.6998712630833548,0.31242406214207985,0.7301451080096719,0.25954154505806865,0.39558390884359423,0.3306207955166223,0.3726828734750128,-0.18512972321209553,0.05334915510535345,0.16507016977415945,-0.12606182217907314,0.36635003444501885,-0.14616710227504642,-0.29547979273184777,0.51032570487894,0.14731949509089898,0.3988276207260038,0.40705120383964416,0.20661564909593338,-0.4056192542094793,0.06949463820335033,-0.4566557298683285,0.37672800594379574,0.306004359584707,0.1754140840921341,0.37672800594379574,-0.20155926698829663,-0.28657859648712536,-0.11620843521293155,-0.1019428207341266,0.27326038725594815,-0.06162487195090255,0.2161728432929724,-0.04010571026181311,0.1641904861346803,0.36554835098128435,0.3277083282675313,0.5475851961204123,0.5782041418065357,0.50139516293563,0.4670133668635024,0.5056352898132939,0.4703750477609005,0.27001600496593575,0.221816200763381,-0.44177515825534536,-0.04541136714633721,-0.1483057970443544,-0.12689556213233272,-0.2805805514248546,0.3655483509812845,0.3277083282675306,0.5475851961204115,0.5782041418065353,0.50139516293563,0.4670133668635025,0.505635289813295,0.47037504776090044,0.27001600496593553,0.2218162007633807
어린이집 교사 수(구),0.37557102493778793,0.25966420351196673,0.3305081821978662,0.13735857526754183,-0.2787975868380721,0.2049393303094201,0.1523301664394827,0.1523301664394827,0.9879520722037883,1.0,0.2877535852397471,0.8895489419457109,0.876323441607893,0.15671865445529562,0.04827276880214346,-0.051072895742193786,0.13878218853739316,0.21501019210096642,-0.010252649017274731,0.5330529055266651,-0.0611286870517181,0.07086349587072896,-0.14655783943111295,-0.03674614486367982,-0.1925716889312731,-0.01718372193941519,-0.107245937352028,0.7806747733058427,0.673735281809588,0.331909515301,0.6979804616667086,0.28147757612906493,0.45485277555431547,0.3997054331944686,0.4228879826952672,-0.1601557073062539,0.0010796493384243446,0.14148199443644688,-0.18064198773059773,0.3547490073203218,-0.1576617130380807,-0.2954439374262353,0.5644680199700115,0.18111342531159663,0.432211148358927,0.4295285426842973,0.22472703803960847,-0.35446793773076934,0.09197497225533699,-0.3985624948630597,0.3760634672351493,0.28994360585211154,0.19666170772010783,0.3760634672351493,-0.23556176084849972,-0.2905750669732389,-0.1572387621442215,-0.13385328242314526,0.29788469542852625,-0.07762524097739722,0.18552945139550242,-0.050459843706288206,0.19422959964499703,0.3855235818543173,0.3459608659511879,0.5530466351327965,0.5883190644569711,0.557191800038189,0.529505639812685,0.5443262101837486,0.5283237880398656,0.32700963366540364,0.27729056656920786,-0.423063992644623,-0.012218635549443408,-0.13036493083408834,-0.08119223833668993,-0.2914559442069054,0.38552358185431723,0.3459608659511876,0.5530466351327955,0.5883190644569714,0.5571918000381889,0.5295056398126847,0.5443262101837488,0.5283237880398652,0.32700963366540364,0.2772905665692076
