구,동,근린시설 수,면적(km2),근린시설 밀집도
강남구,개포1동,3,1.27,2.3622047244094486
강남구,개포2동,9,2.51,3.5856573705179287
강남구,개포3동,3,1.24,2.4193548387096775
강남구,개포4동,20,1.49,13.422818791946309
강남구,논현1동,88,1.25,70.4
강남구,논현2동,116,1.47,78.91156462585035
강남구,대치1동,21,0.79,26.582278481012658
강남구,대치2동,41,2.0,20.5
강남구,대치4동,53,0.73,72.6027397260274
강남구,도곡1동,37,1.02,36.27450980392157
강남구,도곡2동,16,1.02,15.686274509803921
강남구,삼성1동,59,1.94,30.41237113402062
강남구,삼성2동,63,1.24,50.806451612903224
강남구,세곡동,16,6.36,2.5157232704402515
강남구,수서동,10,1.43,6.993006993006993
강남구,신사동,83,1.89,43.91534391534392
강남구,압구정동,136,2.53,53.75494071146245
강남구,역삼1동,161,2.35,68.51063829787233
강남구,역삼2동,64,1.15,55.652173913043484
강남구,일원1동,8,0.92,8.695652173913043
강남구,일원본동,23,2.58,8.914728682170542
강남구,청담동,107,2.33,45.922746781115876
강동구,강일동,6,2.26,2.6548672566371683
강동구,고덕1동,4,1.51,2.6490066225165565
강동구,고덕2동,11,2.5,4.4
강동구,길동,76,1.61,47.20496894409938
강동구,둔촌1동,4,0.92,4.3478260869565215
강동구,둔촌2동,38,1.56,24.358974358974358
강동구,명일1동,27,0.61,44.26229508196722
강동구,명일2동,19,0.97,19.587628865979383
강동구,상일1동,20,1.82,10.989010989010989
강동구,상일2동,5,1.09,4.587155963302752
강동구,성내1동,37,0.58,63.793103448275865
강동구,성내2동,19,0.67,28.35820895522388
강동구,성내3동,36,0.71,50.70422535211268
강동구,암사1동,30,1.02,29.41176470588235
강동구,암사2동,6,1.18,5.084745762711865
강동구,암사3동,7,2.51,2.7888446215139444
강동구,천호1동,14,0.71,19.71830985915493
강동구,천호2동,73,1.57,46.496815286624205
강동구,천호3동,34,0.79,43.0379746835443
강북구,미아동,50,0.93,53.76344086021505
강북구,번1동,43,0.66,65.15151515151514
강북구,번2동,9,0.95,9.473684210526317
강북구,번3동,9,1.1,8.181818181818182
강북구,삼각산동,2,0.62,3.2258064516129035
강북구,삼양동,22,0.91,24.175824175824175
강북구,송중동,43,1.01,42.57425742574257
강북구,송천동,41,0.9,45.55555555555556
강북구,수유1동,47,1.67,28.1437125748503
강북구,수유2동,17,0.57,29.824561403508774
강북구,수유3동,66,0.72,91.66666666666667
강북구,우이동,17,10.28,1.6536964980544748
강북구,인수동,56,3.28,17.073170731707318
강서구,가양1동,36,4.7,7.659574468085106
강서구,가양2동,14,1.0,14.0
강서구,가양3동,10,0.5,20.0
강서구,공항동,38,10.87,3.4958601655933763
강서구,등촌1동,23,0.64,35.9375
강서구,등촌2동,18,0.92,19.565217391304348
강서구,등촌3동,41,0.79,51.89873417721519
강서구,발산1동,51,2.94,17.346938775510203
강서구,방화1동,35,1.48,23.64864864864865
강서구,방화2동,25,6.41,3.9001560062402496
강서구,방화3동,7,2.55,2.7450980392156863
강서구,염창동,35,1.74,20.114942528735632
강서구,우장산동,34,1.36,24.999999999999996
강서구,화곡1동,98,1.12,87.49999999999999
강서구,화곡2동,9,0.45,20.0
강서구,화곡3동,25,0.53,47.16981132075472
강서구,화곡4동,31,0.82,37.80487804878049
강서구,화곡6동,43,1.11,38.73873873873873
강서구,화곡8동,25,0.53,47.16981132075472
강서구,화곡본동,57,0.98,58.16326530612245
관악구,낙성대동,25,2.27,11.013215859030836
관악구,난곡동,15,0.96,15.625
관악구,난향동,6,0.8,7.5
관악구,남현동,21,3.27,6.422018348623853
관악구,대학동,18,8.3,2.1686746987951806
관악구,미성동,23,1.38,16.666666666666668
관악구,보라매동,15,0.76,19.736842105263158
관악구,삼성동,20,2.66,7.518796992481203
관악구,서림동,13,0.99,13.131313131313131
관악구,서원동,30,0.65,46.15384615384615
관악구,성현동,10,0.68,14.705882352941176
관악구,신림동,97,0.54,179.62962962962962
관악구,신사동,21,0.64,32.8125
관악구,신원동,17,0.55,30.909090909090907
관악구,은천동,19,0.78,24.358974358974358
관악구,인헌동,15,1.08,13.888888888888888
관악구,조원동,28,0.67,41.7910447761194
관악구,중앙동,17,0.39,43.58974358974359
관악구,청룡동,50,1.18,42.37288135593221
관악구,청림동,7,0.3,23.333333333333336
관악구,행운동,31,0.72,43.05555555555556
광진구,광장동,11,2.39,4.602510460251046
광진구,구의1동,23,0.56,41.07142857142857
광진구,구의2동,29,1.39,20.863309352517987
광진구,구의3동,17,1.02,16.666666666666668
광진구,군자동,20,0.74,27.027027027027028
광진구,능동,10,1.1,9.09090909090909
광진구,자양1동,32,0.57,56.140350877192986
광진구,자양2동,14,1.68,8.333333333333334
광진구,자양3동,5,1.2,4.166666666666667
광진구,자양4동,39,1.16,33.62068965517241
광진구,중곡1동,30,0.62,48.38709677419355
광진구,중곡2동,24,0.55,43.63636363636363
광진구,중곡3동,24,0.6,40.0
광진구,중곡4동,15,2.32,6.4655172413793105
광진구,화양동,49,1.16,42.24137931034483
구로구,가리봉동,45,0.4,112.5
구로구,개봉1동,44,1.31,33.587786259541986
구로구,개봉2동,35,0.8,43.75
구로구,개봉3동,26,0.81,32.098765432098766
구로구,고척1동,41,1.16,35.3448275862069
구로구,고척2동,30,1.02,29.41176470588235
구로구,구로1동,10,1.02,9.803921568627452
구로구,구로2동,84,1.76,47.72727272727273
구로구,구로3동,33,1.02,32.35294117647059
구로구,구로4동,53,0.46,115.21739130434783
구로구,구로5동,32,1.03,31.067961165048544
구로구,수궁동,18,2.67,6.741573033707866
구로구,신도림동,15,1.47,10.204081632653061
구로구,오류1동,41,0.59,69.49152542372882
구로구,오류2동,20,3.2,6.25
구로구,항동,1,1.4,0.7142857142857143
금천구,가산동,68,2.52,26.984126984126984
금천구,독산1동,53,2.09,25.35885167464115
금천구,독산2동,21,0.6,35.0
금천구,독산3동,43,0.92,46.73913043478261
금천구,독산4동,21,0.59,35.59322033898305
금천구,시흥1동,66,1.71,38.59649122807018
금천구,시흥2동,9,1.26,7.142857142857143
금천구,시흥3동,14,1.07,13.084112149532709
금천구,시흥4동,14,0.87,16.091954022988507
금천구,시흥5동,20,1.39,14.388489208633095
노원구,공릉1동,31,1.41,21.98581560283688
노원구,공릉2동,14,6.82,2.0527859237536656
노원구,상계10동,6,0.8,7.5
노원구,상계1동,26,5.62,4.6263345195729535
노원구,상계2동,32,0.61,52.459016393442624
노원구,상계3.4동,38,5.05,7.524752475247525
노원구,상계5동,17,1.01,16.831683168316832
노원구,상계6.7동,46,1.11,41.44144144144144
노원구,상계8동,4,0.67,5.970149253731343
노원구,상계9동,6,0.81,7.4074074074074066
노원구,월계1동,15,1.16,12.931034482758621
노원구,월계2동,4,1.94,2.061855670103093
노원구,월계3동,8,1.17,6.837606837606838
노원구,중계1동,7,0.63,11.11111111111111
노원구,중계2.3동,15,0.9,16.666666666666668
노원구,중계4동,11,1.7,6.470588235294118
노원구,중계본동,11,1.97,5.583756345177665
노원구,하계1동,19,1.55,12.258064516129032
노원구,하계2동,6,0.51,11.76470588235294
도봉구,도봉1동,29,8.72,3.3256880733944953
도봉구,도봉2동,12,0.83,14.457831325301205
도봉구,방학1동,37,0.69,53.62318840579711
도봉구,방학2동,19,0.74,25.675675675675677
도봉구,방학3동,9,2.62,3.4351145038167936
도봉구,쌍문1동,20,1.24,16.129032258064516
도봉구,쌍문2동,23,0.54,42.59259259259259
도봉구,쌍문3동,28,0.5,56.0
