구,동,정류장 수,면적(km2),면적당 정류장 수
강남구,개포1동,75,1.27,59.05511811023622
강남구,개포2동,126,2.51,50.199203187251
강남구,개포3동,23,1.24,18.548387096774192
강남구,개포4동,86,1.49,57.718120805369125
강남구,논현1동,106,1.25,84.8
강남구,논현2동,81,1.47,55.10204081632653
강남구,대치1동,100,0.79,126.58227848101265
강남구,대치2동,146,2.0,73.0
강남구,대치4동,68,0.73,93.15068493150685
강남구,도곡1동,94,1.02,92.15686274509804
강남구,도곡2동,73,1.02,71.56862745098039
강남구,삼성1동,149,1.94,76.80412371134021
강남구,삼성2동,72,1.24,58.064516129032256
강남구,세곡동,206,6.36,32.38993710691824
강남구,수서동,72,1.43,50.349650349650354
강남구,신사동,68,1.89,35.97883597883598
강남구,압구정동,110,2.53,43.47826086956522
강남구,역삼1동,171,2.35,72.76595744680851
강남구,역삼2동,94,1.15,81.73913043478261
강남구,일원1동,21,0.92,22.82608695652174
강남구,일원본동,110,2.58,42.63565891472868
강남구,청담동,117,2.33,50.21459227467811
강동구,강일동,163,2.26,72.12389380530973
강동구,고덕1동,39,1.51,25.827814569536425
강동구,고덕2동,71,2.5,28.4
강동구,길동,71,1.61,44.099378881987576
강동구,둔촌1동,12,0.92,13.043478260869565
강동구,둔촌2동,36,1.56,23.076923076923077
강동구,명일1동,59,0.61,96.72131147540983
강동구,명일2동,37,0.97,38.144329896907216
강동구,상일1동,83,1.82,45.604395604395606
강동구,상일2동,31,1.09,28.44036697247706
강동구,성내1동,46,0.58,79.3103448275862
강동구,성내2동,32,0.67,47.76119402985074
강동구,성내3동,30,0.71,42.25352112676057
강동구,암사1동,27,1.02,26.470588235294116
강동구,암사2동,11,1.18,9.322033898305085
강동구,암사3동,20,2.51,7.9681274900398416
강동구,천호1동,28,0.71,39.43661971830986
강동구,천호2동,40,1.57,25.477707006369425
강동구,천호3동,21,0.79,26.582278481012658
강북구,미아동,90,0.93,96.77419354838709
강북구,번1동,100,0.66,151.5151515151515
강북구,번2동,90,0.95,94.73684210526316
강북구,번3동,63,1.1,57.272727272727266
강북구,삼각산동,51,0.62,82.25806451612904
강북구,삼양동,68,0.91,74.72527472527473
강북구,송중동,169,1.01,167.32673267326732
강북구,송천동,106,0.9,117.77777777777777
강북구,수유1동,81,1.67,48.50299401197605
강북구,수유2동,67,0.57,117.54385964912282
강북구,수유3동,109,0.72,151.38888888888889
강북구,우이동,124,10.28,12.062256809338523
강북구,인수동,92,3.28,28.04878048780488
강서구,가양1동,167,4.7,35.53191489361702
강서구,가양2동,32,1.0,32.0
강서구,가양3동,32,0.5,64.0
강서구,공항동,125,10.87,11.499540018399264
강서구,등촌1동,67,0.64,104.6875
강서구,등촌2동,64,0.92,69.56521739130434
강서구,등촌3동,106,0.79,134.1772151898734
강서구,발산1동,160,2.94,54.421768707483
강서구,방화1동,132,1.48,89.1891891891892
강서구,방화2동,153,6.41,23.868954758190327
강서구,방화3동,45,2.55,17.647058823529413
강서구,염창동,100,1.74,57.47126436781609
강서구,우장산동,102,1.36,75.0
강서구,화곡1동,113,1.12,100.89285714285714
강서구,화곡2동,54,0.45,120.0
강서구,화곡3동,45,0.53,84.90566037735849
강서구,화곡4동,50,0.82,60.97560975609756
강서구,화곡6동,91,1.11,81.98198198198197
강서구,화곡8동,56,0.53,105.66037735849056
강서구,화곡본동,72,0.98,73.46938775510205
관악구,낙성대동,99,2.27,43.61233480176212
관악구,난곡동,74,0.96,77.08333333333334
관악구,난향동,60,0.8,75.0
관악구,남현동,53,3.27,16.207951070336392
관악구,대학동,167,8.3,20.12048192771084
관악구,미성동,134,1.38,97.10144927536233
관악구,보라매동,70,0.76,92.10526315789474
관악구,삼성동,116,2.66,43.609022556390975
관악구,서림동,95,0.99,95.95959595959596
관악구,서원동,102,0.65,156.9230769230769
관악구,성현동,62,0.68,91.17647058823529
관악구,신림동,78,0.54,144.44444444444443
관악구,신사동,71,0.64,110.9375
관악구,신원동,16,0.55,29.09090909090909
관악구,은천동,93,0.78,119.23076923076923
관악구,인헌동,34,1.08,31.48148148148148
관악구,조원동,83,0.67,123.88059701492537
관악구,중앙동,58,0.39,148.7179487179487
