`GU_NM`,`GU_CD`,`SUB_STA_SN`,`KOR_SUB_NM`,`POINT_X`,`POINT_Y`
`중랑구`,`11260`,`40`,`용마산역`,`207607`,`452624`
`강북구`,`11305`,`41`,`미아삼거리역`,`202663`,`457082`
`강북구`,`11305`,`42`,`수유역`,`202238`,`459793`
`강북구`,`11305`,`43`,`미아역`,`202304`,`458542`
`강동구`,`11740`,`44`,`상일동역`,`214745`,`450818`
`강동구`,`11740`,`45`,`고덕역`,`213678`,`450639`
`강동구`,`11740`,`46`,`명일역`,`212731`,`450275`
`강동구`,`11740`,`47`,`암사역`,`211266`,`450069`
`강동구`,`11740`,`48`,`굽은다리역`,`212611`,`449521`
`강동구`,`11740`,`49`,`천호역`,`210933`,`448746`
`강남구`,`11680`,`50`,`신논현역`,`202221`,`445016`
`강남구`,`11680`,`51`,`강남구청역`,`203649`,`446410`
`강남구`,`11680`,`52`,`양재역`,`203006`,`442795`
`은평구`,`11380`,`53`,`응암역`,`192610`,`455546`
`금천구`,`11545`,`54`,`가산디지털단지역`,`189584`,`442389`
`금천구`,`11545`,`55`,`독산역`,`190182`,`440761`
`금천구`,`11545`,`56`,`시흥역`,`190606`,`439550`
`구로구`,`11530`,`57`,`온수역`,`184273`,`443566`
`구로구`,`11530`,`58`,`천왕역`,`185638`,`443168`
`구로구`,`11530`,`59`,`남구로역`,`190002`,`442927`
`구로구`,`11530`,`60`,`구로디지털단지역`,`191255`,`442898`
`동작구`,`11590`,`61`,`노량진역`,`194900`,`446083`
`동작구`,`11590`,`62`,`대방역`,`193491`,`445997`
`동작구`,`11590`,`63`,`장승배기역(7호선)`,`194550`,`444996`
`동대문구`,`11230`,`64`,`신이문역`,`205938`,`455831`
`동작구`,`11590`,`65`,`상도역(7호선)`,`195375`,`444862`
`동작구`,`11590`,`66`,`동작역`,`198258`,`444831`
`동작구`,`11590`,`67`,`신대방삼거리역(7호선)`,`193652`,`444474`
`동작구`,`11590`,`68`,`숭실대입구역(7호선)`,`195900`,`444095`
`동작구`,`11590`,`69`,`총신대역(2호선)`,`198423`,`443123`
`동작구`,`11590`,`70`,`이수역(7호선)`,`198318`,`442838`
`동작구`,`11590`,`71`,`남성역(7호선)`,`197437`,`442785`
`동작구`,`11590`,`72`,`사당역(4호선)`,`198374`,`441875`
`동작구`,`11590`,`73`,`사당역(2호선)`,`198356`,`441899`
`은평구`,`11380`,`74`,`구파발역`,`192827`,`459649`
`은평구`,`11380`,`75`,`연신내역`,`193025`,`457742`
`은평구`,`11380`,`76`,`독바위역`,`194038`,`457689`
`은평구`,`11380`,`77`,`구산역`,`192693`,`456876`
`은평구`,`11380`,`78`,`불광역`,`193796`,`456735`
`은평구`,`11380`,`79`,`역촌역`,`193187`,`456271`
`은평구`,`11380`,`80`,`녹번역`,`194324`,`455669`
`동대문구`,`11230`,`81`,`외대앞역`,`205556`,`455076`
`동대문구`,`11230`,`82`,`고려대역`,`203179`,`454525`
`동대문구`,`11230`,`83`,`회기역`,`205136`,`454487`
`동대문구`,`11230`,`84`,`청량리역`,`203978`,`453412`
`동대문구`,`11230`,`85`,`청량리역(국철)`,`204195`,`453363`
`은평구`,`11380`,`86`,`새절역`,`192382`,`454628`
`은평구`,`11380`,`87`,`증산역`,`192030`,`453824`
`동대문구`,`11230`,`88`,`제기동역`,`203065`,`453184`
`동대문구`,`11230`,`89`,`신설동역`,`202171`,`452953`
`동대문구`,`11230`,`90`,`신설동역`,`202203`,`452799`
`동대문구`,`11230`,`91`,`장한평역`,`205694`,`451332`
`동대문구`,`11230`,`92`,`용두역`,`203357`,`452710`
`은평구`,`11380`,`93`,`수색역 (경의선)`,`190700`,`453488`
`은평구`,`11380`,`94`,`디지털미디어시티역`,`191242`,`452972`
`중구`,`11140`,`95`,`약수역`,`200926`,`450522`
`중구`,`11140`,`96`,`버티고개역`,`200602`,`449841`
`중구`,`11140`,`97`,`청구역`,`201219`,`451200`
`중구`,`11140`,`98`,`충무로역`,`199473`,`451291`
`중랑구`,`11260`,`99`,`봉화산역`,`208014`,`457621`
`중랑구`,`11260`,`100`,`먹골역`,`206860`,`456825`
`중랑구`,`11260`,`101`,`중화역`,`207006`,`455885`
`중랑구`,`11260`,`102`,`망우역`,`208162`,`455544`
`중랑구`,`11260`,`103`,`상봉역`,`207576`,`455108`
`중랑구`,`11260`,`104`,`면목역`,`207738`,`454317`
`중랑구`,`11260`,`105`,`사가정역`,`207817`,`453465`
`마포구`,`11440`,`106`,`애오개역`,`196185`,`450491`
`마포구`,`11440`,`107`,`합정역`,`192424`,`450036`
`마포구`,`11440`,`108`,`대흥역`,`194941`,`449787`
`마포구`,`11440`,`109`,`상수역`,`193139`,`449808`
`마포구`,`11440`,`110`,`광흥창역`,`193932`,`449781`
`마포구`,`11440`,`111`,`공덕역(5호선)`,`195737`,`449443`
`마포구`,`11440`,`112`,`마포역`,`195175`,`448862`
`노원구`,`11350`,`113`,`수락산역`,`204885`,`464220`
`노원구`,`11350`,`114`,`당고개역`,`206981`,`463433`
`노원구`,`11350`,`115`,`상계역`,`206495`,`462370`
`노원구`,`11350`,`116`,`노원역`,`205482`,`461734`
`노원구`,`11350`,`117`,`중계역`,`205670`,`460587`
