STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT,geometry
,030102,0200,AA0000000001,교육/보건,교육시설,초등교육기관,공립초등학교,,"강덕초교,고덕그라시움버스정류장쉘터",,,,214388.672913,551205.841919,,156656,,,,POINT (214388.67291259766 551205.8419189453)
,070301,0302,AA0000000002,산업,서비스산업,종합상품판매업,대형상가,일반종합상가,고덕그라시움상가,,,,214555.910095,550962.356812,,156617,,,,POINT (214555.91009521484 550962.3568115234)
,030102,0200,AA0000000003,교육/보건,교육시설,초등교육기관,공립초등학교,,서울강덕초등학교,,,,214224.118713,550979.324829,,156670,,,,POINT (214224.1187133789 550979.3248291016)
,030101,0100,AA0000000004,교육/보건,교육시설,유아교육기관,어린이집,,은빛어린이집,,,,214171.512024,550841.469116,,155226,,,,POINT (214171.51202392578 550841.4691162109)
,070301,0302,AA0000000005,산업,서비스산업,종합상품판매업,대형상가,일반종합상가,고덕그라시움상가,,,,214481.776611,550819.43811,,155064,,,,POINT (214481.77661132812 550819.4381103516)
,070301,0302,AA0000000006,산업,서비스산업,종합상품판매업,대형상가,일반종합상가,그라시움상가,,,,214465.77948,551177.935486,,156674,,,,POINT (214465.77947998047 551177.9354858398)
,060203,0200,AA0000000007,레저/관광/예술,문화/예술시설,박물관,공립박물관,,송파BOOK책박물관,,,,209236.807129,544386.432007,,154275,,,,POINT (209236.80712890625 544386.4320068359)
,030103,0200,AA0000000008,교육/보건,교육시설,중등교육기관,공립중학교,,해누리초중이음학교,,,,209025.522583,544344.261414,,154295,,,,POINT (209025.5225830078 544344.2614135742)
,030101,0100,AA0000000009,교육/보건,교육시설,유아교육기관,어린이집,,헬리오가람어린이집,,,,209079.90332,544198.400513,,154018,,,,POINT (209079.9033203125 544198.4005126953)
,030101,0100,AA0000000010,교육/보건,교육시설,유아교육기관,어린이집,,헬리오사랑어린이집,,,,209312.45752,544053.991272,,154048,,,,POINT (209312.45751953125 544053.9912719727)
,070301,0400,AA0000000011,산업,서비스산업,종합상품판매업,시장,미분류,"가락시장,헬리오시티버스정류장쉘터",,,,209386.103088,543972.74762,,154048,,,,POINT (209386.1030883789 543972.7476196289)
,030101,0100,AA0000000012,교육/보건,교육시설,유아교육기관,어린이집,,가락1동어린이집,,,,209684.346375,544111.736572,,154021,,,,POINT (209684.34637451172 544111.7365722656)
,030101,0100,AA0000000013,교육/보건,교육시설,유아교육기관,어린이집,,헬리오다올어린이집,,,,209404.907104,544329.136902,,154298,,,,POINT (209404.9071044922 544329.1369018555)
,070301,0302,AA0000000014,산업,서비스산업,종합상품판매업,대형상가,일반종합상가,헬리오시티아파트헬리오시티상가,,,,209909.848877,544369.669189,,154281,,,,POINT (209909.84887695312 544369.6691894531)
,030101,0100,AA0000000015,교육/보건,교육시설,유아교육기관,어린이집,,헬리오마음어린이집,,,,209748.913818,544499.845276,,153849,,,,POINT (209748.91381835938 544499.8452758789)
,030101,0200,AA0000000016,교육/보건,교육시설,유아교육기관,국공립유치원,,"서울가락초등학교,병설유치원",,,,209523.249084,544531.739319,,153845,,,,POINT (209523.24908447266 544531.7393188477)
,030102,0200,AA0000000017,교육/보건,교육시설,초등교육기관,공립초등학교,,"서울가락초등학교,미래관",,,,209577.856079,544500.623718,,153845,,,,POINT (209577.85607910156 544500.6237182617)
,030101,0100,AA0000000018,교육/보건,교육시설,유아교육기관,어린이집,,헬리오라온어린이집,,,,209739.031189,544222.780579,,154342,,,,POINT (209739.03118896484 544222.7805786133)
,010301,0700,AA0000000019,행정,지방행정기관,지방행정집행기관,동주민센터,,가락1동주민센터,,,,209721.346924,544126.460571,,115197,,,,POINT (209721.34692382812 544126.4605712891)
,030102,0200,AA0000000020,교육/보건,교육시설,초등교육기관,공립초등학교,,서울석촌초등학교,,,,209210.235901,544539.095215,,153513,,,,POINT (209210.2359008789 544539.0952148438)
,030102,0200,AA0000000021,교육/보건,교육시설,초등교육기관,공립초등학교,,서울잠실초등학교,,,,210139.541077,546256.251526,,148678,,,,POINT (210139.54107666016 546256.2515258789)
,030205,0100,AA0000000022,교육/보건,보건시설,기타보건시설,약국,미분류,중앙대영약국,,,,213191.588013,547974.233093,,157805,,,,POINT (213191.5880126953 547974.2330932617)
,070301,0107,AA0000000023,숙박/음식,숙박시설,기타숙박시설,,,아리아호텔,,,,211331.609131,548734.042603,,157251,,,,POINT (211331.60913085938 548734.0426025391)
,070301,0107,AA0000000024,숙박/음식,숙박시설,기타숙박시설,,,하늘사랑모텔,,,,211397.496521,548766.28772,,157251,,,,POINT (211397.4965209961 548766.2877197266)
,040113,0000,AA0000000025,숙박/음식,숙박시설,기타숙박시설,,,송학장여관,,,,211325.823425,548751.775818,,157251,,,,POINT (211325.82342529297 548751.7758178711)
,030101,0100,AA0000000026,교육/보건,교육시설,유아교육기관,어린이집,,꽃다비어린이집,,,,211830.097229,549016.407288,,157209,,,,POINT (211830.0972290039 549016.4072875977)
,070301,0200,AA0000000027,산업,서비스산업,종합상품판매업,할인매장,미분류,두꺼비왕식자재마트,,,,211753.916016,541906.74292,,421359,,,,POINT (211753.916015625 541906.7429199219)
,030201,0000,AA0000000028,교육/보건,보건시설,병/의원,미분류,,중계9단지주공아파트늘사랑의원,,,,206512.493896,560285.915527,,364999,,,,POINT (206512.49389648438 560285.9155273438)
,030103,0200,AA0000000029,교육/보건,교육시설,중등교육기관,공립중학교,,장평중학교,,,,206322.5,551932.549194,,106157,,,,POINT (206322.5 551932.5491943359)
,030101,0100,AA0000000030,교육/보건,교육시설,유아교육기관,어린이집,,동대문더퍼스트데시앙아파트데시앙어린이집,,,,206177.414795,552682.478027,,349029,,,,POINT (206177.41479492188 552682.4780273438)
,030201,0000,AA0000000031,교육/보건,보건시설,병/의원,미분류,,"진경환내과의원,참이비인후과의원,동부외과의원,면목그랜드약국",,,,207888.823303,553422.253418,,212971,,,,POINT (207888.82330322266 553422.2534179688)
,030101,0100,AA0000000032,교육/보건,교육시설,유아교육기관,어린이집,,레미안아트리치아파트국공립아트리치어린이집,,,,205679.876099,556242.80249,,219206,,,,POINT (205679.8760986328 556242.8024902344)
,030104,0200,AA0000000033,교육/보건,교육시설,고등교육기관,공립고등학교,,경일고등학교,,,,204314.868103,549086.959229,,209537,,,,POINT (204314.86810302734 549086.9592285156)
