구,동,전체,국공립,국공립 어린이집 비율
종로구,사직동,11,1,9.090909090909092
종로구,삼청동,3,1,33.33333333333333
종로구,부암동,3,2,66.66666666666666
종로구,평창동,3,1,33.33333333333333
종로구,무악동,3,3,100.0
종로구,교남동,6,4,66.66666666666666
종로구,가회동,4,1,25.0
종로구,종로1.2.3.4가동,12,1,8.333333333333332
종로구,종로5.6가동,4,1,25.0
종로구,이화동,3,1,33.33333333333333
종로구,창신1동,3,1,33.33333333333333
종로구,창신2동,3,3,100.0
종로구,창신3동,2,2,100.0
종로구,숭인1동,2,2,100.0
종로구,숭인2동,2,2,100.0
종로구,청운효자동,4,3,75.0
종로구,혜화동,3,3,100.0
중구,소공동,5,0,0.0
중구,회현동,8,1,12.5
중구,명동,9,0,0.0
중구,필동,1,1,100.0
중구,장충동,2,1,50.0
중구,광희동,2,1,50.0
중구,을지로동,2,0,0.0
중구,신당5동,4,2,50.0
중구,황학동,6,4,66.66666666666666
중구,중림동,6,3,50.0
중구,신당동,1,1,100.0
중구,다산동,4,1,25.0
중구,약수동,7,3,42.85714285714285
중구,청구동,4,2,50.0
중구,동화동,3,3,100.0
용산구,후암동,9,2,22.22222222222222
용산구,용산2가동,2,2,100.0
용산구,남영동,3,1,33.33333333333333
용산구,원효로2동,8,3,37.5
용산구,효창동,8,3,37.5
용산구,용문동,7,2,28.57142857142857
용산구,이촌1동,11,1,9.090909090909092
용산구,이촌2동,4,3,75.0
용산구,이태원1동,5,0,0.0
용산구,이태원2동,3,3,100.0
용산구,서빙고동,6,2,33.33333333333333
용산구,보광동,5,2,40.0
용산구,청파동,9,2,22.22222222222222
용산구,원효로1동,9,4,44.44444444444444
용산구,한강로동,10,4,40.0
용산구,한남동,7,2,28.57142857142857
성동구,왕십리2동,9,7,77.77777777777779
성동구,마장동,12,6,50.0
성동구,사근동,3,2,66.66666666666666
성동구,행당1동,9,5,55.55555555555556
성동구,행당2동,13,3,23.07692307692308
성동구,응봉동,6,3,50.0
성동구,금호1가동,10,5,50.0
성동구,금호4가동,8,3,37.5
성동구,성수1가1동,6,4,66.66666666666666
성동구,성수1가2동,7,3,42.85714285714285
성동구,성수2가1동,6,2,33.33333333333333
성동구,성수2가3동,6,4,66.66666666666666
성동구,송정동,5,2,40.0
성동구,용답동,5,2,40.0
성동구,왕십리도선동,16,11,68.75
성동구,금호2.3가동,15,9,60.0
성동구,옥수동,15,10,66.66666666666666
광진구,화양동,5,2,40.0
광진구,군자동,10,4,40.0
광진구,중곡1동,3,2,66.66666666666666
광진구,중곡2동,11,4,36.36363636363637
광진구,중곡3동,11,3,27.27272727272727
광진구,중곡4동,11,3,27.27272727272727
광진구,능동,4,3,75.0
광진구,구의1동,7,3,42.85714285714285
광진구,구의2동,15,3,20.0
광진구,구의3동,15,6,40.0
광진구,광장동,17,8,47.05882352941176
광진구,자양1동,9,3,33.33333333333333
광진구,자양2동,10,4,40.0
광진구,자양3동,15,4,26.666666666666668
광진구,자양4동,9,4,44.44444444444444
동대문구,회기동,5,2,40.0
동대문구,휘경1동,7,2,28.57142857142857
동대문구,휘경2동,13,4,30.76923076923077
동대문구,청량리동,8,3,37.5
동대문구,용신동,14,6,42.85714285714285
동대문구,제기동,10,6,60.0
동대문구,전농1동,15,7,46.66666666666666
