구,학생 수,교원 수,교원 1인당 학생 수
종로구,1019,96,10.614583333333334
중구,937,91,10.296703296703297
용산구,1288,126,10.222222222222221
성동구,1865,180,10.36111111111111
광진구,2106,201,10.477611940298507
동대문구,2474,237,10.438818565400844
중랑구,2708,275,9.847272727272728
성북구,4099,405,10.120987654320988
강북구,1193,124,9.620967741935484
도봉구,2083,215,9.688372093023256
노원구,5010,476,10.525210084033613
은평구,2916,285,10.23157894736842
서대문구,2227,203,10.970443349753694
마포구,2619,245,10.689795918367347
양천구,3457,362,9.549723756906078
강서구,4380,423,10.354609929078014
구로구,2534,243,10.427983539094651
금천구,1393,125,11.144
영등포구,3254,312,10.429487179487179
동작구,2616,247,10.591093117408906
관악구,2375,254,9.350393700787402
서초구,2155,216,9.976851851851851
강남구,2780,299,9.297658862876254
송파구,5104,486,10.502057613168724
강동구,3932,320,12.2875
