구,2021_kin,2021_st,2021_tea,2022_kin,2022_st,2022_tea
종로구,16,1077,96,16,1019,96
중구,14,1002,94,14,937,91
용산구,13,1351,119,13,1288,126
성동구,29,1978,169,28,1865,180
광진구,31,2237,207,29,2106,201
동대문구,28,2596,236,28,2474,237
중랑구,32,2658,259,33,2708,275
성북구,46,4208,395,46,4099,405
강북구,20,1199,129,17,1193,124
도봉구,26,2115,215,28,2083,215
노원구,57,5466,488,60,5010,476
은평구,39,3196,289,40,2916,285
서대문구,23,2257,200,23,2227,203
마포구,26,2711,245,27,2619,245
양천구,39,3769,351,39,3457,362
강서구,52,4786,418,53,4380,423
구로구,31,2693,243,32,2534,243
금천구,18,1423,135,17,1393,125
영등포구,37,3356,301,39,3254,312
동작구,31,2661,239,31,2616,247
관악구,32,2682,263,31,2375,254
서초구,26,2321,224,24,2155,216
강남구,36,2938,299,37,2780,299
송파구,49,5073,455,48,5104,486
강동구,36,4205,322,35,3932,320
