,구,공립
0,강남구,48.57142857142857
1,강동구,34.375
2,강북구,41.1764705882353
3,강서구,36.734693877551024
4,관악구,51.61290322580645
5,광진구,32.0
6,구로구,45.16129032258065
7,금천구,43.75
8,노원구,33.898305084745765
9,도봉구,39.285714285714285
10,동대문구,33.333333333333336
11,동작구,30.76923076923077
12,마포구,48.148148148148145
13,서대문구,23.80952380952381
14,서초구,43.47826086956522
15,성동구,50.0
16,성북구,34.78260869565217
17,송파구,42.5531914893617
18,양천구,36.8421052631579
19,영등포구,30.76923076923077
20,용산구,30.76923076923077
21,은평구,48.648648648648646
22,종로구,31.25
23,중구,28.571428571428573
24,중랑구,45.16129032258065
