"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","공립","7091469","서울자곡초등학교","Seoul Jagok Elementary School","서울특별시강남서초교육지원청","06373","서울특별시 강남구 자곡로 150","(자곡동)","02-3413-8700","http://www.jagok.es.kr","02-3414-0030","남여공학","","N","","","전기","주간","20140901","20141024","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7091468","서울율현초등학교","Seoul Yulhyeon Elementary School","서울특별시강남서초교육지원청","06370","서울특별시 강남구 밤고개로21길 15","/ 서울율현초등학교 (자곡동)","02-3413-8804","http://www.yulhyeon.es.kr","02-3413-8880","남여공학","","N","","","전기","주간","20140828","20140828","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091461","세곡중학교","Segok Middle School","서울특별시강남서초교육지원청","06374","서울특별시 강남구 자곡로 81","(자곡동/ 세곡중학교)","02-2040-2900","http://www.segok.ms.kr","02-3412-5471","남여공학","","N","일반계","","전기","주간","20121227","20130605","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7091458","서울세명초등학교","Seoul Semyung Elementary School","서울특별시강남서초교육지원청","06375","서울특별시 강남구 자곡로 55","/ 서울세명초등학교 (세곡동)","02-2040-0800","http://www.semyung.es.kr","02-451-6226","남여공학","","N","","","전기","주간","20120830","20121030","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091457","휘문중학교","Whimoon Middle School","서울특별시강남서초교육지원청","06183","서울특별시 강남구 역삼로 541","(대치동)","02-500-9700","http://whimoon.sen.ms.kr","02-500-9799","남","","N","일반계","","전기","주간","19060501","19060501","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091456","진선여자중학교","Jinseon Girls’ Middle School","서울특별시강남서초교육지원청","06213","서울특별시 강남구 선릉로85길 27","(역삼동/ 진선여자중학교)","02-2185-4300","http://jinseon.sen.ms.kr","02-2185-4397","여","","N","일반계","","전기","주간","19761228","19760520","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091455","중동중학교","Joongdong Middle School","서울특별시강남서초교육지원청","06344","서울특별시 강남구 일원로8길 37","중동중학교","070-7092-9300","https://joongdong.sen.ms.kr/","02-445-9882","남","","N","일반계","","전기","주간","19060510","19060510","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091454","은성중학교","Eunseong Middle School","서울특별시강남서초교육지원청","06264","서울특별시 강남구 남부순환로359길 36","(도곡동/은광여자고등학교)","02-3462-2003","http://eunseong.sen.ms.kr","02-3462-0088","남여공학","","N","일반계","","전기","주간","19550316","19461015","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091453","숙명여자중학교","Sookmyung Girls’ Middle School","서울특별시강남서초교육지원청","06277","서울특별시 강남구 남부순환로 2807","/ 숙명여자중학교","02-3462-5011/5012","http://sookmyung.sen.ms.kr","02-3461-5084","여","","N","일반계","","전기","주간","19060522","19060522","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091449","단국대학교사범대학부속중학교","DANKOOK UNIVERSITY MIDDLE SCHOOL","서울특별시강남서초교육지원청","06278","서울특별시 강남구 도곡로64길 21","(대치동)","02-2191-2600","http://www.dankook.ms.kr/","02-557-6837","남","","N","일반계","","전기","주간","19410525","19471103","B10","서울특별시교육청","서울특별시","","","","20230615"
