"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","사립","7130275","상일중학교","Sang-il Middle School","서울특별시강동송파교육지원청","05282","서울특별시 강동구 천호대로219길 61","(상일동/ 상일여자중학교)","02-428-0735","http://sangil.sen.ms.kr","02-3426-4787","여","","N","일반계","","전기","주간","19790221","19790221","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130268","강빛중학교","Gangbit middle school","서울특별시강동송파교육지원청","05201","서울특별시 강동구 아리수로93다길 1","(강일동/ 강빛초중통합학교)","02-6951-3964","http://gbm.sen.ms.kr","02-6951-3966","남여공학","","N","","","전후기","주간","20210301","20210301","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7130266","서울강빛초등학교","Seoul","서울특별시강동송파교육지원청","05201","서울특별시 강동구 아리수로93다길 1","(강일동/ 강빛초중통합학교)","02-6951-3963","http://gbe.sen.es.kr","02-6951-3966","남여공학","","N","","","전후기","주야간","20210301","20210301","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7130264","서울고현초등학교","Seoul GoHyeon Elementary School","서울특별시강동송파교육지원청","05274","서울특별시 강동구 상일로11길 110","/ 서울고현초등학교","02-427-9672","http://gohyeon.sen.es.kr","02-427-9682","남여공학","","N","해당없음","","전기","주간","20200301","20200301","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7130251","서울강솔초등학교","Seoul Gangsol Elementary School","서울특별시강동송파교육지원청","05214","서울특별시 강동구 고덕로97길 80","/ 서울강솔초등학교 (강일동)","02-2147-5700","http://gangsol.sen.es.kr","02-2147-5705","남여공학","","N","","","전기","주간","20170301","20170504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7130209","한영중학교","Hanyoung Middle School","서울특별시강동송파교육지원청","05279","서울특별시 강동구 동남로 832","/ 한영중학교 (상일동)","02-6954-1403","http://hanyoung.sen.ms.kr","02-426-0131","남여공학","","N","일반계","","전기","주간","19330418","19330418","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130208","한산중학교","Hansan Middle School","서울특별시강동송파교육지원청","05371","서울특별시 강동구 풍성로 251","(둔촌동)","02-474-4903","http://urihansan.ms.kr","02-485-8092","남여공학","","N","일반계","","전기","주간","19900120","19900426","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130205","천호중학교","Cheonho Middle School","서울특별시강동송파교육지원청","05308","서울특별시 강동구 상암로 153","(천호동)","02-470-7075","http://www.cheonho.ms.kr","02-485-5621","남여공학","","N","일반계","","전기","주간","19691107","19691107","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130204","천일중학교","Cheonil Middle School","서울특별시강동송파교육지원청","05323","서울특별시 강동구 천중로 57","(천호동/천일중학교)","02-470-3542","http://www.cheonil.ms.kr","02-475-1805","남여공학","","N","일반계","","전기","주간","19940105","19940506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130193","신암중학교","Sinam Middle School","서울특별시강동송파교육지원청","05238","서울특별시 강동구 고덕로 65","/ 신암중학교 (암사동)","02-441-6751","http://www.sinam.ms.kr","02-441-6752","남여공학","","N","일반계","","전기","주간","19810504","19810504","B10","서울특별시교육청","서울특별시","","","","20230615"
