"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7081540","마곡하늬중학교","MagokHanui","서울특별시강서양천교육지원청","07810","서울특별시 강서구 마곡서1로 16","(마곡동)","0269855900","http://magokhanui.sen.ms.kr","0269855958","남여공학","","N","","","전기","주간","20200301","20200301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081524","화곡중학교","Hwagok Middle School","서울특별시강서양천교육지원청","07638","서울특별시 강서구 강서로45길 70","(내발산동/화곡중학교)","070-8644-6400","http://www.hwagok.ms.kr","02-2662-2943","남","","N","일반계","","전기","주간","19740105","19740105","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081521","신정여자중학교","Shin Jeung Girls’ Middle School","서울특별시강서양천교육지원청","07736","서울특별시 강서구 등촌로13아길 20","신정여자중학교","02-2644-3549","http://www.shinjeong.ms.kr","02-2642-5922","여","","N","일반계","","전기","주간","19780130","19781205","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081519","명덕여자중학교","Myungduk Girls’ Middle School","서울특별시강서양천교육지원청","07633","서울특별시 강서구 강서로47길 34-10","(내발산동)","02-2664-8813","http://myungduk.sen.ms.kr","02-2664-8846","여","","N","일반계","","전기","주간","19771230","19771015","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081518","마포중학교","Mapo Middle School","서울특별시강서양천교육지원청","07576","서울특별시 강서구 화곡로 403","/ 마포중학교 (전화 02-3663-2587)","02-3663-2591","http://mapo.sen.ms.kr","02-3663-2593","남","","N","일반계","","전기","주간","19500601","19500601","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081517","등촌중학교","Deung-chon Middle School","서울특별시강서양천교육지원청","07664","서울특별시 강서구 공항대로 484-12","(등촌동/등촌중학교)","02-2653-0392","http://deungchon.sen.ms.kr","02-2653-4969","남여공학","","N","일반계","","전기","주간","19810130","19810130","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081516","덕원중학교","Deokwon Middle School","서울특별시강서양천교육지원청","07640","서울특별시 강서구 강서로45길 91-44","(내발산동/덕원중학교)","02-2660-7955","http://deokwon.sen.ms.kr","02-2660-7978","남여공학","","N","일반계","","전기","주간","19780429","19780429","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081515","마곡중학교","Magok Middle School","서울특별시강서양천교육지원청","07598","서울특별시 강서구 마곡중앙5로 58","(마곡동)","02-2666-8502","http://www.magok.ms.kr","02-2666-8504","남여공학","","N","해당없음","","후기","주간","20150109","20150302","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081514","화원중학교","Hwawon Middle School","서울특별시강서양천교육지원청","07764","서울특별시 강서구 강서로17나길 86","(화곡동/화원중학교)","02-811-2000","http://www.shwawon.ms.kr","02-811-2050","남여공학","","N","일반계","","전기","주간","19950111","19960506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081512","염창중학교","Yumchang Middle School","서울특별시강서양천교육지원청","07536","서울특별시 강서구 양천로67가길 83","(염창동/염창중학교)","02-3664-2885","http://yumchang.sen.ms.kr","02-3665-5498","남여공학","","N","일반계","","전기","주간","19840116","19840517","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081511","염경중학교","Yeomgyeong Middle School","서울특별시강서양천교육지원청","07535","서울특별시 강서구 양천로69길 35","(염창동/염경중학교)","02-3661-6252","http://yeomgyeong.sen.ms.kr","02-3661-6287","남여공학","","N","해당없음","","전기","주간","20051229","20060523","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081500","수명중학교","Sumyeong Middle School","서울특별시강서양천교육지원청","07642","서울특별시 강서구 수명로2길 16","(내발산동/수명중학교)","02-6738-1200","http://sumyeong.ms.kr","02-2667-4604","남여공학","","N","해당없음","","전기","주간","20080301","20080301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081499","송정중학교","Songjeong Middle School","서울특별시강서양천교육지원청","07628","서울특별시 강서구 남부순환로 121","(공항동/송정중학교)","02-2661-0478","http://songjeong.sen.ms.kr","02-2667-0021","남여공학","","N","일반계","","전기","주간","19910121","19910516","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081498","성재중학교","Seongjae Middle School","서울특별시강서양천교육지원청","07529","서울특별시 강서구 허준로 36","(가양동/성재중학교)","02-2658-9853","http://sungjae.sen.ms.kr","02-2658-9855","남여공학","","N","일반계","","전기","주간","19950110","19950607","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081497","삼정중학교","Samjeong Middle School","서울특별시강서양천교육지원청","07508","서울특별시 강서구 금낭화로 210","(방화동/삼정중학교)","02-2666-6033","http://samjeong.sen.ms.kr","02-2666-6896","남여공학","","N","일반계","","전기","주간","19940105","19940504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081496","백석중학교","Baekseok Middle School","서울특별시강서양천교육지원청","07669","서울특별시 강서구 등촌로51나길 35","(등촌동/백석중학교)","02-2644-2886","baekseok.sen.ms.kr","02-2653-5589","남여공학","","N","일반계","","전기","주간","19821209","19830418","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081495","방화중학교","Banghwa Middle School","서울특별시강서양천교육지원청","07621","서울특별시 강서구 개화동로27길 9","(방화동)","02-2662-4452","http://banghwa.sen.ms.kr","02-2665-0411","남여공학","","N","일반계","","전기","주간","19860129","19860417","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081494","방원중학교","Bangwon Middle School","서울특별시강서양천교육지원청","07515","서울특별시 강서구 금낭화로 268","/ 방원중학교 (방화동/방원중학교)","02-2666-6014","http://bangwon.sen.ms.kr","02-2662-6965","남여공학","","N","일반계","","전기","주간","19931005","19940512","B10","서울특별시교육청","서울특별시","","","","20230627"
"중학교","공립","7081490","등원중학교","Deungwon Middle School","서울특별시강서양천교육지원청","07576","서울특별시 강서구 화곡로65길 50","(등촌동/등원중학교)","02-2658-2707","http://www.deungwon.ms.kr","02-2658-2709","남여공학","","N","일반계","","전기","주간","19950504","19950504","B10","서울특별시교육청","서울특별시","","","","20230615"
