"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"각종학교(고)","사립","7041275","지구촌학교 고등학교",".","서울특별시남부교육지원청","08358","서울특별시 구로구 오리로 1189","(오류동/ 금강프라자)","02-6910-1004","http://","","남여공학","","N","","","전기","주간","20230301","20111115","B10","서울특별시교육청","서울특별시","주간","일반계","일반학과","20230615"
"각종학교(중)","사립","7041274","지구촌학교 중학교",".","서울특별시남부교육지원청","08358","서울특별시 구로구 오리로 1189","(오류동/ 금강프라자)","02-6910-1004","http://","","남여공학","","N","","","전기","주간","20230301","20111115","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041267","서울항동초등학교","Seoul Hangdong Elementary School","서울특별시남부교육지원청","08368","서울특별시 구로구 연동로 178","(항동)","02-480-3600","http://hangdong.sen.es.kr","02-3666-9841","남여공학","","N","","","전기","주간","20190301","20190501","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041266","서울하늘숲초등학교","서울하늘숲초등학교","서울특별시남부교육지원청","08350","서울특별시 구로구 오리로 1106","/ 서울하늘숲초등학교 (천왕동)","02-2056-5100","http://skyf.sen.es.kr","02-2689-9369","남여공학","","N","","","전기","주간","20190501","20190501","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041262","항동중학교","Hang-dong","서울특별시남부교육지원청","08362","서울특별시 구로구 연동로 239-2","(항동/ 항동중학교)","02-2223-0223","http://hangdong.sen.ms.kr","02-2223-0288","남여공학","","N","","","전기","주간","20200301","20200301","B10","서울특별시교육청","서울특별시","","","","20230623"
"초등학교","공립","7041254","서울천이초등학교",".","서울특별시남부교육지원청","08350","서울특별시 구로구 오류로 30","/ 서울천이초등학교 (오류동)",".","http://","","남여공학","","N","일반계","","전기","주간","20160329","20160329","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041238","천왕중학교","Cheonwang Middle School","서울특별시남부교육지원청","08364","서울특별시 구로구 천왕로 63","(천왕동/ 천왕중학교)","02-2618-2832","http://cheonwang.ms.kr","02-2618-2851","남여공학","","N","해당없음","","전기","주간","20130301","20130301","B10","서울특별시교육청","서울특별시","","","","20230615"
"각종학교(초)","사립","7041214","지구촌학교","The School of Global Sarang","서울특별시남부교육지원청","08358","서울특별시 구로구 오리로 1189","(오류동)","02-6910-1004","https://globalsarang.sen.sc.kr","02-6910-1093","남여공학","","N","","","전기","주간","20110302","20111115","B10","서울특별시교육청","서울특별시","","","","20230709"
"초등학교","공립","7041209","서울천왕초등학교","Cheonwang Elementary School","서울특별시남부교육지원청","08364","서울특별시 구로구 천왕로1길 11","(천왕동)","02-6343-4200","http://cheonwang.sen.es.kr","02-3666-1362","남여공학","","N","해당없음","","전기","주간","20110901","20110901","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7041193","우신중학교","Wooshin Middle School","서울특별시남부교육지원청","08258","서울특별시 구로구 부일로 917","/ 우신중학교 (궁동)","02-2610-1610","http://wooshin.sen.ms.kr","02-2610-1609","남","","N","일반계","","전기","주간","19740105","19740305","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041192","오류중학교","Oryu Middle School","서울특별시남부교육지원청","08242","서울특별시 구로구 고척로27바길 19","(고척동)","02-2612-2602","http://www.oryu.ms.kr","02-2688-9667","남여공학","","N","일반계","","전기","주간","19760306","19760406","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041191","오남중학교","OHNAM Middle School","서울특별시남부교육지원청","08363","서울특별시 구로구 오리로9길 25","(오류동)","02-2687-4235","http://www.ohnam.ms.kr","02-2686-7436","남여공학","","N","일반계","","전기","주간","19880202","19880202","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041189","영서중학교","Yeongseo Middle School","서울특별시남부교육지원청","08370","서울특별시 구로구 도림로20길 35","(구로동)","02-856-9567","http://www.yeongseo.ms.kr","02-837-6639","남여공학","","N","일반계","","전기","주간","19800124","19800303","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041188","영림중학교","Younglim Middle School","서울특별시남부교육지원청","08299","서울특별시 구로구 가마산로27길 17","/ 영림중학교 (구로동)","02-859-0320","http://younglim.ms.kr/","02-858-6012","남여공학","","N","일반계","","전기","주간","19790131","19791019","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041183","신도림중학교","Sindorim Middle School","서울특별시남부교육지원청","08207","서울특별시 구로구 경인로63길 74","/ 신도림중학교 (신도림동)","02-2676-1993","www.sindorim.ms.kr","02-2631-3196","남여공학","","N","일반계","","전기","주간","19840109","19840506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041170","구일중학교","Guil Middle School","서울특별시남부교육지원청","08324","서울특별시 구로구 구일로 90-133","(구로동)","02-2107-9104","http://kuil.ms.kr","02-837-1898","남여공학","","N","일반계","","전기","주간","19900120","19900120","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041169","구로중학교","Guro Middle School","서울특별시남부교육지원청","08303","서울특별시 구로구 구로중앙로 48","(구로동)","02-864-4233","http://www.guro.ms.kr","02-851-9604","남여공학","","N","일반계","","전기","주간","19780105","19780105","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041168","고척중학교","Gocheok Middle School","서울특별시남부교육지원청","08225","서울특별시 구로구 중앙로3길 20","/ 고척중학교 (고척동)","02-6917-7101","http://www.gocheok.ms.kr","02-2615-9386","남여공학","","N","일반계","","전기","주간","19841208","19850506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041167","경인중학교","Kyeongin Middle School","서울특별시남부교육지원청","08238","서울특별시 구로구 경인로 301","(개봉동)","02-2612-3471","kyeongin.sen.ms.kr","02-2616-0649","남여공학","","N","일반계","","전기","주간","19691111","19691111","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041166","개웅중학교","Kaewoong Middle School","서울특별시남부교육지원청","08351","서울특별시 구로구 개봉로11길 81","/ 개웅중학교 (개봉동/개웅중학교)","02-2613-3342","http://www.kaewoong.ms.kr","02-2616-7618","남여공학","","N","일반계","","전기","주간","19870212","19870212","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041165","개봉중학교","Gaebong Middle School","서울특별시남부교육지원청","08250","서울특별시 구로구 고척로21나길 68","(개봉동)","02-3660-2400","http://gaebong.sen.ms.kr","02-2688-9514","남여공학","","N","일반계","","전기","주간","19840504","19840504","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041157","서울온수초등학교","Seoul Onsu Elementary School","서울특별시남부교육지원청","08260","서울특별시 구로구 부일로 893","(온수동)","02-2684-4902","http://onsu.es.kr","02-2687-0944","남여공학","","N","일반계","","전기","주간","19840127","19840919","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041156","서울오정초등학교","Seoul Ojeong Elementary School","서울특별시남부교육지원청","08359","서울특별시 구로구 경인로2길 10","/ 서울오정초등학교 (오류동)","02-2686-3165","http://www.ojung.es.kr/","02-2687-3135","남여공학","","N","일반계","","전기","주간","19860109","19860429","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041155","서울오류초등학교","Seoul Oryu Elementary School","서울특별시남부교육지원청","08268","서울특별시 구로구 경인로19길 39","/ 서울오류초등학교 (오류동)","02-2612-6412","http://www.oryu.es.kr","02-2625-3239","남여공학","","N","일반계","","전기","주간","19430523","19430523","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041154","서울오류남초등학교","Seoul Oryunam Elementary School","서울특별시남부교육지원청","08342","서울특별시 구로구 서해안로24길 22","(오류동/ 오류남초등학교)","02-2681-8466","http://oryunam.sen.es.kr","02-2616-7149","남여공학","","N","일반계","","전기","주간","19820408","19820601","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041152","서울영일초등학교","Seoul Young-il Elementary School","서울특별시남부교육지원청","08321","서울특별시 구로구 남부순환로105길 218","/ 서울영일초등학교 (가리봉동)","02-861-0426","http://www.syoungil.es.kr","02-861-0429","남여공학","","N","일반계","","전기","주간","19671129","19671129","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041149","서울영서초등학교","Seoul Youngseo Elementary School","서울특별시남부교육지원청","08370","서울특별시 구로구 도림로20길 57","/ 영서초등학교 (구로동)","02-838-5212","www.youngseo.es.kr","02-861-1711","남여공학","","N","일반계","","전기","주간","19790202","19790928","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041139","서울신미림초등학교","Seoul Sinmirim Elementary School","서울특별시남부교육지원청","08211","서울특별시 구로구 신도림로 26","(신도림동/ 신미림초등학교)","02-2676-8644","http://www.sinmirim.es.kr","02-2676-7592","남여공학","","N","일반계","","전기","주간","20020301","20020607","B10","서울특별시교육청","서울특별시","","","","20230615"
