"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","공립","7041260","서울금나래초등학교","seoulgeumnaraeelementaryschool","서울특별시남부교육지원청","08611","서울특별시 금천구 시흥대로79길 37","(시흥동)","02-807-9821","http://geumnarae.sen.es.kr","02-807-9823","남여공학","","N","","","전기","주간","20170301","20170410","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041195","한울중학교","Hanwool Middle School","서울특별시남부교육지원청","08566","서울특별시 금천구 독산로50길 60","한울중학교","02-856-4941","http://www.hanwool.ms.kr","02-858-5382","남여공학","","N","일반계","","전기","주간","19711229","19711229","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041184","안천중학교","Ancheon Middle School","서울특별시남부교육지원청","08597","서울특별시 금천구 한내로 69-44","(독산동/안천중학교)","02-894-1204","http://www.ancheon.ms.kr","02-894-5220","남여공학","","N","일반계","","전기","주간","19910121","19910605","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041182","시흥중학교","Siheung Middle School","서울특별시남부교육지원청","08650","서울특별시 금천구 시흥대로38길 60","/ 시흥중학교 (시흥동)","02-895-2302","shiheung.sen.ms.kr","02-894-6586","남여공학","","N","일반계","","전기","주간","19911030","19930504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041181","세일중학교","Seil Middle School","서울특별시남부교육지원청","08533","서울특별시 금천구 시흥대로147길 34","(독산동)","02-856-0868","http://www.seil.ms.kr","02-839-3665","남여공학","","N","일반계","","전기","주간","19680806","19681020","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7041179","문일중학교","Moonil Middle School","서울특별시남부교육지원청","08634","서울특별시 금천구 시흥대로47길 45","/ 문일중학교 (시흥동)","02-891-6669","http://moonil.sen.ms.kr","02-805-3231","남","","N","일반계","","전기","주간","19671214","19671214","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041178","문성중학교","Munseong Middle School","서울특별시남부교육지원청","08551","서울특별시 금천구 독산로102길 78","/ 문성중학교 (독산동)","02-858-8446","http://www.munseong.ms.kr","02-838-8010","남여공학","","N","일반계","","전기","주간","19900120","19900504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7041176","동일중학교","Dongil Middle School　","서울특별시남부교육지원청","08656","서울특별시 금천구 탑골로10길 45","(시흥동)","02-802-0991","http://www.dongil.ms.kr","02-892-7261","남여공학","","N","일반계","","전기","주간","19681216","19690306","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041171","난곡중학교","Nangok Middle School","서울특별시남부교육지원청","08549","서울특별시 금천구 문성로 67","(독산동)","02-2283-5200","http://nangok.sen.ms.kr","02-859-2141","남여공학","","N","일반계","","전기","주간","19800124","19800506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041164","가산중학교","Gasan Middle School","서울특별시남부교육지원청","08584","서울특별시 금천구 시흥대로115길 48","(독산동)","02-804-1777","http://www.gasan.ms.kr","02-892-8477","남여공학","","N","일반계","","전기","주간","19700810","19710303","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041161","서울탑동초등학교","Seoul Topdong Elementary School","서울특별시남부교육지원청","08575","서울특별시 금천구 탑골로 47-3","(시흥동/ 탑동초등학교)","02-894-6050","http://topdong.sen.es.kr","02-892-4348","남여공학","","N","일반계","","전기","주간","19670915","19671204","B10","서울특별시교육청","서울특별시","","","","20230702"
"초등학교","공립","7041160","서울정심초등학교","Seoul Jungshim Elementary School","서울특별시남부교육지원청","08556","서울특별시 금천구 독산로78다길 89","/ 정심초등학교 (독산동)","02-856-5188","http://www.jungshim.es.kr","02-853-9272","남여공학","","N","일반계","","전기","주간","19821110","19830502","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041144","서울영남초등학교","Seoul Yeongnam Elementary School","서울특별시남부교육지원청","08551","서울특별시 금천구 문성로 62-15","(독산동)","02-861-7147","http://www.seoulyeongnam.es.kr","02-861-7010","남여공학","","N","일반계","","전기","주간","19560326","19560517","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041142","서울안천초등학교","Seoul Ancheon Elementary School","서울특별시남부교육지원청","08597","서울특별시 금천구 한내로 69-16","/ 서울안천초등학교 (독산동)","02-894-0858","http://ancheon.sen.es.kr","02-809-8156","남여공학","","N","일반계","","전기","주간","19910121","19911004","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041141","서울신흥초등학교","Seoul Sinheung Elementary School","서울특별시남부교육지원청","08569","서울특별시 금천구 독산로36나길 21","(시흥동/ 신흥초등학교)","02-894-5148","http://sinheung.sen.es.kr","02-896-6357","남여공학","","N","일반계","","전기","주간","19911030","19911030","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041135","서울시흥초등학교","Seoul Siheung Elementary School","서울특별시남부교육지원청","08627","서울특별시 금천구 독산로23길 26","/ 서울시흥초등학교 (시흥동)","02-896-9500","http://siheung.sen.es.kr","02-892-4128","남여공학","","N","일반계","","전기","주간","19110701","19110701","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041132","서울백산초등학교","Seoul Backsan Elementary School","서울특별시남부교육지원청","08650","서울특별시 금천구 시흥대로38길 78","(시흥동/ 백산초등학교)","02-802-6475","http://backsan.sen.es.kr","02-803-8820","남여공학","","N","일반계","","전기","주간","19730810","19740326","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7041130","서울문성초등학교","Seoul Munseong Elementary School","서울특별시남부교육지원청","08540","서울특별시 금천구 시흥대로 460","/ 서울문성초등학교  (독산동)","02-867-1669","http://www.munsung.es.kr","02-859-7026","남여공학","","N","일반계","","전기","주간","19551207","19560406","B10","서울특별시교육청","서울특별시","","","","20230615"
