"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"각종학교(중)","사립","7051259","한국삼육중학교","Hankook Samyook Middle School","서울특별시북부교육지원청","01795","서울특별시 노원구 화랑로 815","/ 한국삼육중학교 (공릉동)","02-6959-1345","36.sen.ms.kr","02-971-3643","남여공학","","N","일반계","","전기","주간","19651217","20020101","B10","서울특별시교육청","서울특별시","","","","20230627"
"중학교","공립","7051212","한천중학교","Hancheon Middle School","서울특별시북부교육지원청","01832","서울특별시 노원구 공릉로 265","(공릉동/ 한천중학교)","02-948-5554","http://hancheon.sen.ms.kr","02-973-1310","남여공학","","N","일반계","","전기","주간","19911030","19920429","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051210","하계중학교","Hagye Middle School","서울특별시북부교육지원청","01791","서울특별시 노원구 노원로 261-8","(하계동)","02-3399-0200","http://www.hagye.ms.kr","02-948-2883","남여공학","","N","일반계","","전기","주간","19821209","19830504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051209","태랑중학교","Taerang Middle School","서울특별시북부교육지원청","01801","서울특별시 노원구 화랑로51나길 51","/ 태랑중학교 (공릉동)","02-973-1355","http://www.taerang.ms.kr","02-973-1409","남여공학","","N","일반계","","전기","주간","20010611","20020507","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7051208","청원중학교","Cheongwon Middle School","서울특별시북부교육지원청","01672","서울특별시 노원구 한글비석로 506","/ 청원중학교 (상계동/청원초/중/고등학교)","02-3399-7878","http://cheongwon.ms.kr","02-3399-7860","남여공학","","N","일반계","","전기","주간","19550427","19550427","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051204","중평중학교","Jungpyong Middle School","서울특별시북부교육지원청","01776","서울특별시 노원구 동일로203길 87","(하계동/중평중학교)","02-977-3026","http://jungpyong.sen.ms.kr/","02-977-0683","남여공학","","N","일반계","","전기","주간","19900120","19900506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051203","중원중학교","Joongwon Middle School","서울특별시북부교육지원청","01787","서울특별시 노원구 공릉로 420","(중계동/중원중학교)","02-971-2788","http://joongwon.ms.kr","02-949-5481","남여공학","","N","일반계","","전기","주간","19910121","19910506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051202","중계중학교","Junggye Middle School","서울특별시북부교육지원청","01712","서울특별시 노원구 덕릉로76길 23","(중계동)","02-932-2545","http://junggye.sen.ms.kr","02-932-2544","남여공학","","N","일반계","","전기","주간","19940105","19940506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7051200","재현중학교","Jaehyun Middle School","서울특별시북부교육지원청","01717","서울특별시 노원구 덕릉로82길 64","(중계동/재현중/고등학교)","02-932-4816","http://jaehyun.sen.ms.kr","02-6000-9358","남여공학","","N","일반계","","전기","주간","19710303","19710401","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051199","을지중학교","Eulji Middle School","서울특별시북부교육지원청","01741","서울특별시 노원구 덕릉로 580","(중계동)","02-938-7083","www.eulji.ms.kr","02-932-8294","남여공학","","N","해당없음","","전기","주간","20040301","20040301","B10","서울특별시교육청","서울특별시","","","","20230615"
