"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","사립","7132154","중앙대학교사범대학부속중학교","Chung-ang University Middle school","서울특별시동작관악교육지원청","06980","서울특별시 동작구 서달로 124","/ 중앙대학교사범대학부속중학교 (흑석동)","02-827-9114","http://www.cau.ms.kr","02-817-9018","남여공학","","N","일반계","","전기","주간","19340415","19340415","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132153","장승중학교","Jangseung Middle School","서울특별시동작관악교육지원청","06963","서울특별시 동작구 장승배기로10가길 25","/ 장승중학교 (상도동)","02-812-4416","https://jangseung.sen.ms.kr","02-822-1618","남여공학","","N","일반계","","전기","주간","19850424","19850424","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132151","영등포중학교","Yeongdeungpo Middle School","서울특별시동작관악교육지원청","06933","서울특별시 동작구 등용로8길 5","/ 영등포중학교 (대방동)","02-815-6572","http://yeongdeungpo.sen.ms.kr","02-816-0992","남여공학","","N","일반계","","전기","주간","19060407","19060407","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7132148","숭의여자중학교","Soongeui Girls Middle School","서울특별시동작관악교육지원청","06944","서울특별시 동작구 여의대방로36길 79","(대방동)","02-810-7700","http://seg.ms.kr","02-812-7492","여","","N","일반계","","전기","주간","19031031","19031031","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7132146","성남중학교","Sungnam Middle School","서울특별시동작관악교육지원청","06946","서울특별시 동작구 대방동길 74","(대방동)","02-815-1332","http://www.sungnam.ms.kr","02-822-8315","남","","N","일반계","","전기","주간","19380425","19380425","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132144","상현중학교","Sang-Hyun Middle School","서울특별시동작관악교육지원청","07028","서울특별시 동작구 사당로2길 2-19","(상도동)","02-815-5375","http://www.sanghyun.ms.kr","02-814-8652","남여공학","","N","일반계","","전기","주간","19680806","19681002","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132143","상도중학교","Sangdo Middle School","서울특별시동작관악교육지원청","07028","서울특별시 동작구 사당로2가길 72","/ 상도중학교 (사당동)","02-5808-900","http://seoulsangdo.sen.ms.kr","02-522-7394","남여공학","","N","일반계","","전기","주간","19681023","19681023","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132141","사당중학교","Sadang Middle School","서울특별시동작관악교육지원청","07003","서울특별시 동작구 사당로9가길 58","/ 사당중학교 (사당동)","02-537-7157","http://sadang.sen.ms.kr","02-533-3704","남여공학","","N","일반계","","전기","주간","19840109","19840502","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132137","문창중학교","Munchang Middle School","서울특별시동작관악교육지원청","07057","서울특별시 동작구 여의대방로22나길 40","(신대방동)","02-821-2359","http://www.munchang.ms.kr","02-825-8733","남여공학","","N","일반계","","전기","주간","19810508","19810508","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132136","동작중학교","Dongjak Middle School","서울특별시동작관악교육지원청","06992","서울특별시 동작구 동작대로39가길 83","(동작동)","02-591-6595","http://dongjak.ms.kr","02-535-7156","남여공학","","N","일반계","","전기","주간","19841208","19841208","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7132135","동양중학교","Dongyang Middle School","서울특별시동작관악교육지원청","06910","서울특별시 동작구 흑석로9길 94","/ 동양중학교 (흑석동)","02-814-9651","https://dongyang.sen.ms.kr","02-823-6306","남","","N","일반계","","전기","주간","19510303","19510303","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132134","대방중학교","Daebang Middle School","서울특별시동작관악교육지원청","07064","서울특별시 동작구 여의대방로10길 24","(신대방동/ 대방중학교)","02-831-2502","http://daebang.sen.ms.kr","02-848-7340","남여공학","","N","일반계","","전기","주간","19720901","19720901","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132132","남성중학교","Namsung Middle School","서울특별시동작관악교육지원청","07022","서울특별시 동작구 남부순환로269길 166","(사당동/남성중학교)","02-520-7500","http://www.namsung.ms.kr","02-520-7589","남여공학","","N","일반계","","전기","주간","19821209","19830429","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132128","국사봉중학교","Kuksabong Middle School","서울특별시동작관악교육지원청","07038","서울특별시 동작구 양녕로20길 20","/ 국사봉중학교 (상도동)","02-823-8715","http://www.kuksabong.ms.kr","02-823-7531","남여공학","","N","일반계","","전기","주간","19860119","19860423","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132124","강현중학교","Gang-hyeon Middle School","서울특별시동작관악교육지원청","06953","서울특별시 동작구 상도로13라길 22","/ 강현중학교 (상도동)","02-815-3939","http://sganghyeon.sen.ms.kr","02-817-9162","남여공학","","N","일반계","","전기","주간","19680806","19680806","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132123","강남중학교","Gangnam Middle School","서울특별시동작관악교육지원청","06955","서울특별시 동작구 대방동15길 29","(대방동/ 강남중학교)","02-814-5637","http://www.kangnam.ms.kr","02-823-4226","남여공학","","N","일반계","","전기","주간","19590403","19590403","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7132122","중앙대학교사범대학부속초등학교","Elementary School Attached to College of Education/ Chung-Ang University","서울특별시동작관악교육지원청","06973","서울특별시 동작구 서달로 135","(흑석동/ 중앙대부속초등학교)","02-815-0145","https://cau.sen.es.kr","02-822-6132","남여공학","","N","일반계","","전기","주간","19641203","19650308","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7132121","서울흑석초등학교","Seoul Heukseok Elementary School","서울특별시동작관악교육지원청","06904","서울특별시 동작구 현충로 87","/ 서울흑석초등학교 (흑석동)","02-815-3276","http://heukseok.es.kr/","02-821-1908","남여공학","","N","일반계","","전기","주간","19680520","19680923","B10","서울특별시교육청","서울특별시","","","","20230615"
