"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","공립","7031278","서울가재울초등학교","Seoul Gajaeul Elementary School","서울특별시서부교육지원청","03711","서울특별시 서대문구 모래내로15길 61","(남가좌동)","02-300-8600","http://www.gajaeul.es.kr","02-300-8699","남여공학","","N","해당없음","","후기","주간","20160301","20160501","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031261","가재울중학교","Gajaeul Middle School","서울특별시서부교육지원청","03790","서울특별시 서대문구 수색로 100-75","(북가좌동/ 가재울중학교)","02-726-1700","http://gajaeul.sen.ms.kr","02-726-1799","남여공학","","N","해당없음","","후기","주간","20130301","20130521","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031222","홍은중학교","Hong-eun Middle School","서울특별시서부교육지원청","03648","서울특별시 서대문구 연희로41길 94","(홍은동)","02-3216-0512","http://www.hongeun.ms.kr","02-3217-0573","남여공학","","N","일반계","","전기","주간","19840109","19840518","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031221","한성중학교","Hanseong Middle School","서울특별시서부교육지원청","03771","서울특별시 서대문구 북아현로1길 24","(북아현동/한성중학교)","02-365-4942","http://www.hanseong.ms.kr","02-364-6926","남","","N","일반계","","전기","주간","19280925","19280925","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031216","중앙여자중학교","Jungang Girls’ Middle School","서울특별시서부교육지원청","03762","서울특별시 서대문구 북아현로11가길 7","(북아현동/ 중앙여자중학교)","02-362-3063","http://jungang1940.ms.kr","02-393-5129","여","","N","일반계","","전기","주간","19401010","19401010","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031214","정원여자중학교","Jungwon Girls’ Middle School","서울특별시서부교육지원청","03652","서울특별시 서대문구 연희로37안길 51","/ 정원여자중학교 (홍은동)","02-394-6301","https://jungwon.sen.ms.kr/","02-391-6306","여","","N","일반계","","전기","주간","19690115","19690408","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031213","인창중학교","Inchang Middle School","서울특별시서부교육지원청","03746","서울특별시 서대문구 경기대로 65","(충정로2가/인창중학교)","02-300-4567","http://ic.ms.kr/","02-300-4501","남","","N","일반계","","전기","주간","19450901","19531010","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031212","인왕중학교","Inwang Middle School","서울특별시서부교육지원청","03620","서울특별시 서대문구 세검정로4길","/ 69 (홍제동)","02-396-5406","http://www.inwang.ms.kr","02-396-5416","남여공학","","N","해당없음","","전기","주간","20100301","20100301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031211","이화여자대학교사범대학부속이화·금란중학교","Ewha Womans University  Middle School","서울특별시서부교육지원청","03765","서울특별시 서대문구 성산로 520","(대신동)","02-392-6175","ewha.sen.ms.kr","02-392-7336","남여공학","","N","일반계","","전기","주간","19550228","19550408","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031207","연희중학교","Yeonhui Middle School","서울특별시서부교육지원청","03670","서울특별시 서대문구 증가로 170","(남가좌동)","02-372-2992","https://yonhi.sen.ms.kr","02-302-6127","남여공학","","N","일반계","","전기","주간","19711229","19720506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031203","연북중학교","Yeonbuk Middle School","서울특별시서부교육지원청","03718","서울특별시 서대문구 연희로36길 32","(연희동/연북중학교)","02-332-7378","http://www.yeonbuk.ms.kr","02-337-5894","남여공학","","N","일반계","","전기","주간","19841208","19850514","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031201","신연중학교","Sinyeon Middle School","서울특별시서부교육지원청","03717","서울특별시 서대문구 모래내로 408","(연희동)","02-379-4317","http://www.sinyeon.ms.kr","02-394-8315","남여공학","","N","일반계","","전기","주간","19861215","19870420","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031190","서연중학교","Seoyeon Middle School","서울특별시서부교육지원청","03704","서울특별시 서대문구 연희로11마길 9-6","(연희동)","02-332-7376","http://seoyun.sen.ms.kr","02-337-4059","남여공학","","N","일반계","","전기","주간","19841208","19850506","B10","서울특별시교육청","서울특별시","","","","20230615"
