"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","공립","7134150","서울숭신초등학교","Seoul Soongshin Elementary School","서울특별시성동광진교육지원청","04702","서울특별시 성동구 마장로 161","(하왕십리동)","02-2252-5950","http://soongshin.sen.es.kr","02-2236-6134","남여공학","","N","일반계","","전기","주간","19590403","19590403","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134142","행당중학교","Haengdang Middle School","서울특별시성동광진교육지원청","04764","서울특별시 성동구 왕십리로 189","(행당동/행당중학교)","02-2292-2721","http://www.haengdang.ms.kr","02-2293-0473","남여공학","","N","일반계","","전기","주간","19680806","19681002","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7134141","한양대학교사범대학부속중학교","Hanyang University Middle School","서울특별시성동광진교육지원청","04761","서울특별시 성동구 마조로 42","(사근동/한양사대부속중?고등학교)","02-2200-3700","https://hyu.sen.ms.kr","02-2298-3173","남여공학","","N","일반계","","전기","주간","19600118","19600118","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134138","옥정중학교","Ok-Jung Middle School","서울특별시성동광진교육지원청","04734","서울특별시 성동구 한림말길 11","/ 옥정중학교 (옥수동)","02-6021-2100","http://okjung.sen.ms.kr","02-2298-1303","남여공학","","N","일반계","","전기","주간","19840109","19840511","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134135","성원중학교","Sungwon Middle School","서울특별시성동광진교육지원청","04775","서울특별시 성동구 성덕정9가길 13","(성수동2가/ 성원중학교)","02-3408-2558","http://www.sungwon.ms.kr","02-463-0676","남여공학","","N","일반계","","전기","주간","19680806","19681002","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134134","성수중학교","Seongsu Middle School","서울특별시성동광진교육지원청","04768","서울특별시 성동구 서울숲길 18","(성수동1가/ 성수중학교)","02-463-4786","http://seongsu.sen.ms.kr","02-469-5292","남여공학","","N","일반계","","전기","주간","19671027","19671027","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134132","무학중학교","Muhak Middle School","서울특별시성동광진교육지원청","04716","서울특별시 성동구 행당로 120","(행당동)","02-2298-6141","http://muhakg.ms.kr","02-2281-5821","남여공학","","N","일반계","","전기","주간","19681001","19681001","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134131","마장중학교","Majang Junior High School","서울특별시성동광진교육지원청","04753","서울특별시 성동구 마장로35나길 31","/ 마장중학교 (마장동)","02-2282-2933","http://mj.sen.ms.kr","02-2282-2656","남여공학","","N","해당없음","","전기","주간","20050301","20050405","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134129","동마중학교","Dongma Middle School","서울특별시성동광진교육지원청","04759","서울특별시 성동구 마조로11길 18","(마장동)","02-2294-6085","http://www.dongma.ms.kr","02-2298-0413","남여공학","","N","일반계","","전기","주간","19841208","19850426","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134126","광희중학교","Kwanghee Middle School","서울특별시성동광진교육지원청","04742","서울특별시 성동구 독서당로62길 46","/ 광희중학교 (응봉동)","02-2298-0250","http://www.kwanghee.ms.kr","02-2298-0252","남여공학","","N","일반계","","전기","주간","19370521","19370521","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134121","경일중학교","Kyungil Middle School","서울특별시성동광진교육지원청","04779","서울특별시 성동구 성수일로 27","(성수동1가)","02-468-0651","http://kyungil.ms.kr","02-468-2766","남여공학","","N","해당없음","","전기","주간","20031230","20040506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7134120","경수중학교","Gyeongsu Middle School","서울특별시성동광진교육지원청","04785","서울특별시 성동구 뚝섬로13길 14","(성수동2가)","02-464-0675","http://www.gsu.ms.kr","02-497-0296","남여공학","","N","일반계","","전기","주간","19801227","19810504","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7134118","한양초등학교","Hanyang Elementary School","서울특별시성동광진교육지원청","04763","서울특별시 성동구 살곶이길 208","/ 한양초등학교 (사근동)","02-2293-8732","http://www.hye.or.kr","02-2299-3492","남여공학","","N","일반계","","전기","주간","19660220","19660515","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7134114","서울행현초등학교","Seoul Haenghyun Elementary School","서울특별시성동광진교육지원청","04713","서울특별시 성동구 행당로 95","(행당동)","02-2294-7693","http://www.haenghyun.es.kr","02-2294-3030","남여공학","","N","해당없음","","전기","주간","20050714","20050901","B10","서울특별시교육청","서울특별시","","","","20230615"
