"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7130271","위례솔중학교","Wiryesol Middle School","서울특별시강동송파교육지원청","05846","서울특별시 송파구 위례북로2길 10","/ 위례솔중학교 (거여동)","02-402-0122","wiryesol.sen.ms.kr","02-402-0128","남여공학","","N","해당없음","","후기","주간","20220301","20220501","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7130270","서울위례솔초등학교","SEOUL WIRYESOL ELEMENTARY SCHOOL","서울특별시강동송파교육지원청","05776","서울특별시 송파구 위례북로2길 12","/ 12","02-6922-8800","https://wiryesol.sen.es.kr","02-6922-8808","남여공학","","N","해당없음","","후기","주간","20220301","20220301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130256","해누리중학교","Haenuri Middle School","서울특별시강동송파교육지원청","05698","서울특별시 송파구 송파대로37길 95","/ 해누리중학교 (가락동)","02-403-1994","http://haenuri.ms.kr","02-403-1996","남여공학","","N","","","전기","주간","20190301","20190301","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7130255","서울해누리초등학교","Seoul Haenuri Elementary School","서울특별시강동송파교육지원청","05698","서울특별시 송파구 송파대로37길 95","(가락동)","02-407-1988","http://haenuri.sen.es.kr","02-407-1989","남여공학","","N","","","전기","주간","20190301","20190301","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7130245","서울위례별초등학교","Seoul Wiryebyeol Elementary School","서울특별시강동송파교육지원청","05850","서울특별시 송파구 위례광장로 243","/ 서울위례별초등학교 (장지동)","02-409-2112","http://westar.sen.es.kr","02-409-6644","남여공학","","N","","","후기","주간","20160301","20160504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130207","풍성중학교","Pungsung Middle School","서울특별시강동송파교육지원청","05506","서울특별시 송파구 강동대로2길 27","(풍납동/ 풍성중학교)","02-2224-7700","http://www.pungsung.ms.kr","02-2224-7788","남여공학","","N","일반계","","전기","주간","19910121","19910430","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130206","풍납중학교","Pungnap Middle School","서울특별시강동송파교육지원청","05506","서울특별시 송파구 올림픽로43길 20","(풍납동)","02-2225-2000","http://www.pungnap.ms.kr","02-2225-2005","남여공학","","N","일반계","","전기","주간","19821209","19830411","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7130203","정신여자중학교","Chungshin Girls’ Middle School","서울특별시강동송파교육지원청","05571","서울특별시 송파구 올림픽로4길 16","/ 정신여자중학교 (잠실동)","02-423-4123","http://chungshin.sen.ms.kr","02-423-8322","여","","N","일반계","","전기","주간","18871020","18871020","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130202","잠실중학교","Jamsil Middle School","서울특별시강동송파교육지원청","05504","서울특별시 송파구 올림픽로35길 130","(신천동)","02-420-8051","http://jamsil.sen.ms.kr","02-420-8055","남여공학","","N","일반계","","전기","주간","19800124","19800506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130201","잠신중학교","Jamsin Middle School","서울특별시강동송파교육지원청","05502","서울특별시 송파구 잠실로 12","/ 잠신중학교 (잠실동)","02-2251-1234","http://jamsin.ms.kr","02-2251-1591","남여공학","","N","일반계","","전기","주간","19840109","19840425","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7130200","일신여자중학교","Ilsin Girls’ Middle School","서울특별시강동송파교육지원청","05676","서울특별시 송파구 송파대로38길 8","(송파동/일신여자중학교)","02-2140-8131","http://ilsin.sen.ms.kr","02-2140-8136","여","","N","일반계","","전기","주간","19740301","19740301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130199","오주중학교","Oju Middle School","서울특별시강동송파교육지원청","05728","서울특별시 송파구 동남로 281","(오금동/ 오주중학교)","02-3434-7500","http://www.oju.ms.kr","02-3434-7599","남여공학","","N","일반계","","전기","주간","19840109","19840901","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130198","오륜중학교","Oryun Middle School","서울특별시강동송파교육지원청","05649","서울특별시 송파구 양재대로 1242","(방이동/오륜중학교)","02-3434-4100","http://oryun.sen.ms.kr","02-3434-4199","남여공학","","N","일반계","","전기","주간","19881224","19890418","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130197","오금중학교","Ogeum Middle School","서울특별시강동송파교육지원청","05660","서울특별시 송파구 오금로35길 20","(오금동/오금중학교)","02-402-4778","http://www.ogeum.ms.kr","02-430-6447","남여공학","","N","일반계","","전기","주간","19861217","19870421","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7130196","영파여자중학교","Young-Pa Girls’ Middle School","서울특별시강동송파교육지원청","05529","서울특별시 송파구 올림픽로 565","(풍납동)","02-488-4074","http://youngpa.sen.ms.kr","02-487-9810","여","","N","일반계","","전기","주간","19671028","19671028","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130195","아주중학교","Aju Middle School","서울특별시강동송파교육지원청","05572","서울특별시 송파구 올림픽로4길 69","/ 아주중학교 (잠실동)","02-415-1697","http://aju.ms.kr","02-420-8294","남여공학","","N","일반계","","전기","주간","19861207","19870501","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130194","신천중학교","Sincheon Middle School","서울특별시강동송파교육지원청","05501","서울특별시 송파구 백제고분로 11","/ 신천중학교 (잠실동)","02-422-3946","scm.sen.ms.kr","02-421-1219","남여공학","","N","일반계","","전기","주간","19751114","19751114","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130191","송파중학교","Songpa Middle School","서울특별시강동송파교육지원청","05823","서울특별시 송파구 동남로 203","(가락동/ 송파중학교)","02-402-0118","http://www.songpa.ms.kr","02-430-0757","남여공학","","N","일반계","","전기","주간","19780227","19781010","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7130190","송례중학교","Songrye Middle School","서울특별시강동송파교육지원청","05853","서울특별시 송파구 위례순환로 429","(장지동)","02-2144-2800","http://www.songrye.ms.kr","02-400-3071","남여공학","","N","","","전기","주간","20140301","20140501","B10","서울특별시교육청","서울특별시","","","","20230615"
