"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","사립","7081523","영도중학교","Yeongdo Middle School","서울특별시강서양천교육지원청","07958","서울특별시 양천구 목동중앙남로 27","/ 영도중학교 (목동/강서고등학교)","02-2643-0242","http://yeongdo21.sen.ms.kr","02-2652-5414","남","","N","일반계","","전기","주간","19380910","19521101","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081522","양정중학교","Yang Chung Middle School","서울특별시강서양천교육지원청","07985","서울특별시 양천구 안양천로 1039","(목동/ 양정고등학교)","02-2649-7077","http://ycsc.sen.ms.kr","02-2653-4827","남","","N","일반계","","전기","주간","19050211","19050512","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7081520","봉영여자중학교","Bongyoung Girls’ Middle School","서울특별시강서양천교육지원청","08099","서울특별시 양천구 목동동로2길 68","(신정동/봉영여자중학교)","02-2648-7123","bongyoung.sen.ms.kr","02-2648-7122","여","","N","일반계","","전기","주간","19511008","19511008","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081513","월촌중학교","Wolchon Middle School","서울특별시강서양천교육지원청","07984","서울특별시 양천구 목동서로 31","(목동/서울월촌중학교)","02-2648-8570","http://wolchonnet.sen.ms.kr","02-2648-8577","남여공학","","N","일반계","","전기","주간","19910121","19910504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081510","양천중학교","Yangcheon Middle School","서울특별시강서양천교육지원청","08037","서울특별시 양천구 지양로7길 32","(신월동/양천중학교)","02-2694-2715","http://yangcheon.sen.ms.kr","02-2694-4024","남여공학","","N","일반계","","전기","주간","19900120","19900504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081509","양서중학교","Yangseo Middle School","서울특별시강서양천교육지원청","07912","서울특별시 양천구 남부순환로 380","(신월동/양서중학교)","02-6273-8106","http://www.yangseo.ms.kr","02-2603-6676","남여공학","","N","일반계","","전기","주간","19900120","19900506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081508","양동중학교","Yangdong Middle School","서울특별시강서양천교육지원청","07947","서울특별시 양천구 목동중앙북로 49","(목동/양동중학교)","02-2648-3638","http://yangdong.sen.ms.kr","02-2653-5248","남여공학","","N","일반계","","전기","주간","19840109","19840109","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081507","양강중학교","Yangkang Middle School","서울특별시강서양천교육지원청","07935","서울특별시 양천구 중앙로 319","(신월동)","02-2691-0869","http://www.yangkang.ms.kr","02-2692-7853","남여공학","","N","일반계","","전기","주간","19860217","19870507","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081506","신화중학교","Shinhwa Middle School","서울특별시강서양천교육지원청","07902","서울특별시 양천구 남부순환로29길 35","/ 신화중학교 (신월동)","02-3219-2900","http://www.shinhwa.ms.kr","02-2694-1701","남여공학","","N","일반계","","전기","주간","19691111","19700506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7081505","신월중학교","Sinwol Middle School","서울특별시강서양천교육지원청","07902","서울특별시 양천구 남부순환로29길 25","/ 신월중학교 (신월동)","02-2601-4254","http://sinwol.sen.ms.kr","02-2698-3267","남여공학","","N","일반계","","전기","주간","19801217","19810520","B10","서울특별시교육청","서울특별시","","","","20230615"
