"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7041263","신길중학교","SINGIL MIDDLE SCHOOL","서울특별시남부교육지원청","07390","서울특별시 영등포구 신길로28길 43","(신길동/ 신길중학교)","02-6956-4770","http://singil.sen.ms.kr","02-6956-4772","남여공학","","N","","","전후기","주간","20210301","20211013","B10","서울특별시교육청","서울특별시","","","","20230615"
"평생학교(초)-3년6학기","사립","7041215","학력인정 서현초등학교","Seohyeon Elementary School","서울특별시남부교육지원청","07316","서울특별시 영등포구 도신로53길 18","(신길동/ 서현주부학교)","02-844-7035","http://","02-846-8590","남여공학","","N","해당없음","","전기","주야간","20070301","20070301","B10","서울특별시교육청","서울특별시","","","","20230629"
"중학교","공립","7041194","윤중중학교","Yunjung Middle School","서울특별시남부교육지원청","07322","서울특별시 영등포구 여의동로3길 3","/ 윤중중학교 (여의도동)","02-783-4478","http://yunjung.sen.ms.kr","02-786-9111","남여공학","","N","일반계","","전기","주간","19810902","19820419","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041190","영원중학교","Yeong-won Middle School","서울특별시남부교육지원청","07310","서울특별시 영등포구 영등포로62길 31","(영등포동/영원중학교)","02-843-2028","http://www.youngwon.ms.kr","02-847-0201","남여공학","","N","일반계","","전기","주간","19500524","19500607","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041187","영남중학교","Yeongnam Middle School","서울특별시남부교육지원청","07411","서울특별시 영등포구 대림로31나길 17","/ 영남중학교 (대림동)","02-848-9333","http://yeongnam.sen.ms.kr","02-831-7730","남여공학","","N","일반계","","전기","주간","19800124","19801002","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041186","여의도중학교","Yeouido Middle School","서울특별시남부교육지원청","07341","서울특별시 영등포구 국제금융로7길 46","/ 여의도중학교 (여의도동)","02-2199-9500","http://yeouido.sen.ms.kr","02-786-7597","남여공학","","N","일반계","","전기","주간","19721231","19730603","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041185","양화중학교","Yangwha Middle School","서울특별시남부교육지원청","07293","서울특별시 영등포구 당산로 56","(문래동3가/양화중학교)","02-2633-9284","http://yangwha.sen.ms.kr","02-2637-6593","남여공학","","N","일반계","","전기","주간","19801227","19801227","B10","서울특별시교육청","서울특별시","","","","20230827"
"중학교","공립","7041180","선유중학교","Seonyoo Middle School","서울특별시남부교육지원청","07211","서울특별시 영등포구 선유로 213","(양평동3가)","02-2633-4147","http://seonyoo.ms.kr","02-2632-2149","남여공학","","N","일반계","","전기","주간","19850419","19850504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041177","문래중학교","Mullae Middle School","서울특별시남부교육지원청","07283","서울특별시 영등포구 선유서로13길 6","(문래동6가/문래중학교)","02-6712-0707","http://www.mullae.ms.kr","02-6713-0377","남여공학","","N","일반계","","전기","주간","19860129","19860504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041175","대영중학교","Daeyeong Middle School","서울특별시남부교육지원청","07397","서울특별시 영등포구 도림로80가길 14","(신길동/대영중학교)","02-848-7781","http://daeyoung.ms.kr","02-831-5270","남여공학","","N","일반계","","전기","주간","19880202","19880502","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7041174","대림중학교","Daerim Middle School","서울특별시남부교육지원청","07442","서울특별시 영등포구 시흥대로185길 6","(대림동/대림중학교)","02-845-2171","http://www.daerim.ms.kr","02-845-8478","남여공학","","N","일반계","","전기","주간","19840109","19840419","B10","서울특별시교육청","서울특별시","","","","20230615"
