"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7061118","한강중학교","Hangang Middle School","서울특별시중부교육지원청","04384","서울특별시 용산구 녹사평대로 73","(서빙고동)","02-794-1791","http://hangang.sen.ms.kr","02-792-9642","남여공학","","N","일반계","","전기","주간","19721229","19721229","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7061112","용산중학교","Yongsan Middle School","서울특별시중부교육지원청","04353","서울특별시 용산구 두텁바위로 74","(용산동2가)","070-4000-3800","http://www.ys.ms.kr","02-319-1625","남","","N","일반계","","전기","주간","19450909","19450909","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7061111","용강중학교","Yong-gang Middle School","서울특별시중부교육지원청","04423","서울특별시 용산구 이촌로65가길 91","(이촌동)","02-795-6176","http://www.yonggang.ms.kr","02-795-5707","남여공학","","N","일반계","","전기","주간","19681101","19681017","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061110","오산중학교","Osan Middle School","서울특별시중부교육지원청","04396","서울특별시 용산구 보광로7길 17","(보광동/오산중학교)","02-7999-400","http://www.os.ms.kr","02-7999-499","남","","N","일반계","","전기","주간","19070515","19070515","B10","서울특별시교육청","서울특별시","","","","20230709"
"중학교","사립","7061108","신광여자중학교","Shinkwang Girls’ Middle School","서울특별시중부교육지원청","04313","서울특별시 용산구 청파로 263","(청파동3가)","02-710-6990","http://www.shinkwang.ms.kr","02-703-6910","여","","N","일반계","","전기","주간","19460817","19461001","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061106","성심여자중학교","Sungsim Girls’ Middle School","서울특별시중부교육지원청","04361","서울특별시 용산구 원효로19길 49","/ 성심여자중학교 (원효로4가)","02-3279-0514","http://sacredheart.sen.ms.kr","02-3273-4165","여","","N","일반계","","전기","주간","19570525","19570525","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7061105","선린중학교","Sunrin Middle School","서울특별시중부교육지원청","04314","서울특별시 용산구 원효로97길 33-4","(청파동3가)","02-713-6214","http://www.sunrin.ms.kr","02-712-6918","남여공학","","N","일반계","","전기","주간","18990624","18990624","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061103","보성여자중학교","Bosung Girls’ Middle School","서울특별시중부교육지원청","04338","서울특별시 용산구 신흥로3가길 66","(용산동2가)","070-4000-3130","www.bosung-g.ms.kr","02-798-4146","여","","N","일반계","","전기","주간","19071010","19071010","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061101","배문중학교","Baemoon Middle School","서울특별시중부교육지원청","04305","서울특별시 용산구 효창원로 258","/ 배문중학교 (서계동)","02-3480-7243","http://www.baemoon.ms.kr","02-714-0062","남","","N","일반계","","전기","주간","19550317","19540522","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7061092","신광초등학교","Shinkwang Elementary School","서울특별시중부교육지원청","04313","서울특별시 용산구 청파로 263","/ 신광초등학교 청파동 3가 100 (청파동3가)","02-710-7900","http://www.shinkwang.es.kr","02-703-6910","남여공학","","N","일반계","","전기","주간","19641126","19641126","B10","서울특별시교육청","서울특별시","","","","20230615"
