"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","공립","7031285","서울어울초등학교","SEOUL URWOOL Elementary School","서울특별시서부교육지원청","03370","서울특별시 은평구 통일로 650","/ 서울어울초등학교 (녹번동)","02-355-4921","http://","02-358-4922","남여공학","","N","해당없음","","후기","주간","20180901","20181031","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7031232","서울은빛초등학교","EUNVIT elementary school","서울특별시서부교육지원청","03301","서울특별시 은평구 진관3로 73-17","(진관동)","02-388-4923","http://www.ev.es.kr","02-388-4925","남여공학","","N","해당없음","","전기","주간","20110113","20110509","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7031230","서울수리초등학교","Seoul Suri Elementary School","서울특별시서부교육지원청","03362","서울특별시 은평구 불광로14길 10-10","(불광동)","02-353-9400","http://www.suri.es.kr","02-353-9437","남여공학","","N","해당없음","","전기","주간","20110301","20110301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031220","충암중학교","Choongam Middle School","서울특별시서부교육지원청","03481","서울특별시 은평구 가좌로5길 5","(응암동)","070-5002-8740","https://choongam.sen.ms.kr/","02-303-3001","남여공학","","N","일반계","","전기","주간","19650201","19660301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031218","진관중학교","Jingwan Middle School","서울특별시서부교육지원청","03302","서울특별시 은평구 진관4로 36","(진관동)","02-383-5378/5379","http://jingwan.sen.ms.kr","02-383-3696","남여공학","","N","해당없음","","전기","주간","20080901","20180501","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031217","증산중학교","Jeungsan Middle School","서울특별시서부교육지원청","03493","서울특별시 은평구 증산로5길 27-30","/ 증산중학교 (증산동)","02-303-9294","http://www.jeungsan.ms.kr","02-376-3496","남여공학","","N","일반계","","전기","주간","19860129","19860417","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031210","은평중학교","Eunpyeong Middle School","서울특별시서부교육지원청","03429","서울특별시 은평구 갈현로17나길 12-1","(구산동)","02-382-3545","http://www.eunpyeong.ms.kr","02-382-3547","남여공학","","N","일반계","","전기","주간","19840109","19840504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031209","예일여자중학교","Yale Girls` Junior High school","서울특별시서부교육지원청","03412","서울특별시 은평구 연서로 117","(구산동)","02-380-0905","https://yale.sen.ms.kr/","02-380-0988","여","","N","일반계","","전기","주간","19650926","19650926","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031208","영락중학교","Youngnak Middle School","서울특별시서부교육지원청","03475","서울특별시 은평구 백련산로 134-6","/ 영락중학교 (응암동)","02-388-4033","http://yn.sen.ms.kr","02-388-5497","남여공학","","N","일반계","","전기","주간","19520610","19520610","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031206","연천중학교","Yeoncheon Middle School","서울특별시서부교육지원청","03338","서울특별시 은평구 연서로41길 30","(불광동)","02-354-0514","http://yonchon.sen.ms.kr","02-389-7601","남여공학","","N","일반계","","전기","주간","19840109","19840504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031205","연신중학교","Yonsin Middle School","서울특별시서부교육지원청","03342","서울특별시 은평구 연서로33길 16-32","(연신중학교/ 불광동)","02-383-7831","http://www.yonsin.ms.kr","02-383-7855","남여공학","","N","일반계","","전기","주간","19820107","19820107","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031204","연서중학교","Yeonseo Middle School","서울특별시서부교육지원청","03496","서울특별시 은평구 증산서길 125-6","(증산동/연서중학교)","02-6715-8000","http://www.yeonseo.ms.kr","02-376-1534","남여공학","","N","일반계","","전기","주간","19711028","19711028","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7031199","신도중학교","SHINDO MIDDLE SCHOOL","서울특별시서부교육지원청","03310","서울특별시 은평구 진관1로 77-30","(진관동)","02-389-4330","http://www.shindo.ms.kr","02-389-4331","남여공학","","N","해당없음","","전기","주간","20100301","20100519","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7031198","숭실중학교","Soongsil Middle School","서울특별시서부교육지원청","03445","서울특별시 은평구 은평터널로7길 6","(신사동)","02-373-7641","https://soongsil.sen.ms.kr/","02-302-1681","남","","N","일반계","","전기","주간","18971010","18971010","B10","서울특별시교육청","서울특별시","","","","20230615"
