"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"각종학교(중)","사립","7081544","여명학교(중)","Yeomyung School","서울특별시강서양천교육지원청","04630","서울특별시 중구 소파로 99","(남산동2가)","02-888-1673","http://www.ymschool.org","02-888-1676","남여공학","","N","","","전기","주간","20220301","20220301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061120","환일중학교","Hwanil Middle School","서울특별시중부교육지원청","04500","서울특별시 중구 환일길 47","(만리동2가)","02-390-7211","http://www.hwanil.ms.kr","02-363-5200","남","","N","일반계","","전기","주간","19470624","19470624","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061119","한양중학교","Hanyang Middle School","서울특별시중부교육지원청","04566","서울특별시 중구 을지로 299","(신당동)","02-2234-4725","http://hanyang.sen.ms.kr","02-2179-8344","남","","N","일반계","","전기","주간","19480901","19480901","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7061116","창덕여자중학교","Changdeok Girls’ Middle School","서울특별시중부교육지원청","04516","서울특별시 중구 정동길 22","/ 창덕여자중학교 (정동)","02-2125-8000","http://cd.sen.ms.kr","02-2125-8055","여","","N","일반계","","전기","주간","19451130","19450422","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061114","장충중학교","Jangchung Middle School","서울특별시중부교육지원청","04603","서울특별시 중구 동호로15길 93","(신당동)","02-2233-9990","http://www.jangchung.ms.kr","02-2236-6660","남","","N","일반계","","전기","주간","19470825","19470825","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7061113","장원중학교","Jangwon Middle School","서울특별시중부교육지원청","04603","서울특별시 중구 동호로15길 93-34","(신당동)","02-2238-1181","http://www.jangwon.ms.kr","02-2238-3761","남여공학","","N","일반계","","전기","주간","19680806","19681002","B10","서울특별시교육청","서울특별시","","","","20230615"
"각종학교(중)","사립","7061109","예원학교","Yewon School","서울특별시중부교육지원청","04518","서울특별시 중구 정동길 25","(정동)","02-727-9000","yewon.sen.ms.kr","02-727-9099","남여공학","","N","일반계","","전기","주간","19661117","19670527","B10","서울특별시교육청","서울특별시","","","","20230627"
"중학교","공립","7061099","덕수중학교","Ducksu Middle School","서울특별시중부교육지원청","04548","서울 중구 마른내로9길 10","(인현동2가/덕수중학교)","02-2265-9063","http://www.ducksu.ms.kr","02-2269-2742","남여공학","","N","일반계","","전기","주간","19100413","19100413","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061096","대경중학교","Daekyeong Middle School","서울특별시중부교육지원청","04592","서울특별시 중구 매봉18길 111","(신당동)","02-2235-5158","https://dk.sen.ms.kr","02-2236-9146","남여공학","","N","일반계","","전기","주간","19560228","19560416","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7061095","금호여자중학교","Kumho Girls Middle School","서울특별시중부교육지원청","04587","서울특별시 중구 청구로 6","/ 금호여자중학교 본관동(주1) (신당동)","070-4050-5660","http://kumho.sen.ms.kr","070-4050-5645","여","","N","일반계","","전기","주간","19680806","19680806","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7061091","숭의초등학교","Soong Eui Elementary School","서울특별시중부교육지원청","04628","서울특별시 중구 소파로2길 10","/ 숭의초등학교 (예장동)","02-3708-9401","http://soongeui.sen.es.kr","02-3708-9404","남여공학","","N","일반계","","전기","주간","19660225","19660225","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061090","서울흥인초등학교","Seoul Heung-in Elementary School","서울특별시중부교육지원청","04586","서울특별시 중구 청구로6길 11","(신당동/흥인초등학교)","02-2235-4092","http://www.heungin.es.kr/","02-2232-0795","남여공학","","N","일반계","","전기","주간","19461114","19461114","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061084","서울충무초등학교","Seoul Chungmu Elementary School","서울특별시중부교육지원청","04618","서울 중구 퇴계로50길 13","(장충동2가/충무초등학교)","02-2279-4697","http://www.seoulchungmu.es.kr/","02-2267-8998","남여공학","","N","일반계","","전기","주간","19570428","19570428","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061081","서울청구초등학교","Seoul Cheonggu Elementary School","서울특별시중부교육지원청","04589","서울특별시 중구 다산로 170","(신당동/청구초등학교)","02-2252-1866","http://www.cheonggu.es.kr/","02-2233-5943","남여공학","","N","일반계","","전기","주간","19370901","19451101","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061078","서울장충초등학교","Seoul Jangchung Elementary School","서울특별시중부교육지원청","04609","서울특별시 중구 청구로17길 40","/ 서울장충초등학교 (신당동)","02-2238-9091","http://www.jangchung.es.kr/index.do","02-2237-9346","남여공학","","N","일반계","","전기","주간","19531021","19531021","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061072","서울신당초등학교","Seoul Sindang Elementary School","서울특별시중부교육지원청","04579","서울특별시 중구 난계로 141","(신당동)","02-2232-2892","http://www.shindang.es.kr","02-2232-0654","남여공학","","N","해당없음","","전기","주간","20070214","20070301","B10","서울특별시교육청","서울특별시","","","","20230623"
"초등학교","공립","7061067","서울봉래초등학교","Seoul Bongnae Elementary School","서울특별시중부교육지원청","04501","서울특별시 중구 손기정로 73","(만리동2가)","02-392-5469","http://www.seoul-bongrae.es.kr","02-362-5506","남여공학","","N","일반계","","전기","주간","18950918","18950918","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061062","서울덕수초등학교","Seoul Deoksoo Elementary School","서울특별시중부교육지원청","04519","서울특별시 중구 덕수궁길 140","/ 서울덕수초등학교 (정동)","02-735-7225","http://deoksoo.es.kr","02-720-9104","남여공학","","N","일반계","","전기","주간","19120401","19120401","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061060","서울남산초등학교","Seoul Namsan Elementary School","서울특별시중부교육지원청","04629","서울특별시 중구 퇴계로22길 17","/ 서울남산초등학교 (남산동2가)","02-2097-9500","http://www.namsani.es.kr","02-773-6435","남여공학","","N","일반계","","전기","주간","19451101","19451101","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061057","서울광희초등학교","Seoul Kwanghee Elementary School","서울특별시중부교육지원청","04569","서울특별시 중구 다산로 269","(신당동/광희초등학교)","02-2238-8455","http://www.gwanghee.es.kr","02-2236-8349","남여공학","","N","일반계","","전기","주간","18950719","19001101","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7061055","리라초등학교","Lila Elementary School","서울특별시중부교육지원청","04628","서울특별시 중구 소파로2길 7","(예장동)","02-777-7461","http://www.lila.es.kr","02-774-2900","남여공학","","N","일반계","","전기","주간","19650520","19650520","B10","서울특별시교육청","서울특별시","","","","20230910"
