,동,공립
0,개포2동,50.0
1,개포3동,0.0
2,개포4동,50.0
3,논현1동,100.0
4,논현2동,50.0
5,대치1동,0.0
6,대치2동,100.0
7,대치4동,100.0
8,도곡1동,100.0
9,도곡2동,0.0
10,삼성1동,0.0
11,세곡동,83.33333333333333
12,수서동,25.0
13,신사동,100.0
14,역삼1동,100.0
15,일원1동,100.0
16,일원본동,0.0
17,청담동,33.333333333333336
18,강일동,66.66666666666667
19,고덕1동,0.0
20,고덕2동,50.0
21,길동,66.66666666666667
22,둔촌2동,50.0
23,명일1동,100.0
24,명일2동,0.0
25,상일1동,40.0
26,상일2동,0.0
27,성내1동,0.0
28,성내3동,0.0
29,암사1동,100.0
30,암사2동,0.0
31,암사3동,0.0
32,천호1동,100.0
33,천호2동,0.0
34,천호3동,0.0
35,번1동,100.0
36,번2동,0.0
37,번3동,100.0
38,삼각산동,0.0
39,삼양동,33.333333333333336
40,송중동,50.0
41,송천동,100.0
42,수유1동,100.0
43,수유2동,0.0
44,우이동,0.0
45,인수동,33.333333333333336
46,가양1동,0.0
47,가양2동,50.0
48,가양3동,33.333333333333336
49,공항동,100.0
50,등촌1동,0.0
51,등촌2동,50.0
52,등촌3동,25.0
53,발산1동,33.333333333333336
54,방화1동,60.0
55,방화2동,33.333333333333336
56,방화3동,33.333333333333336
57,염창동,100.0
58,우장산동,25.0
59,화곡1동,100.0
60,화곡2동,0.0
61,화곡3동,0.0
62,화곡4동,33.333333333333336
63,화곡6동,0.0
64,화곡8동,0.0
65,화곡본동,33.333333333333336
66,난곡동,50.0
67,난향동,0.0
68,남현동,50.0
69,대학동,100.0
70,미성동,0.0
71,보라매동,100.0
72,삼성동,50.0
73,서림동,33.333333333333336
74,성현동,0.0
75,신원동,100.0
76,은천동,50.0
77,인헌동,0.0
78,중앙동,100.0
79,청룡동,100.0
80,청림동,50.0
81,행운동,66.66666666666667
82,광장동,20.0
83,구의2동,0.0
84,구의3동,0.0
85,군자동,0.0
86,능동,0.0
87,자양1동,33.333333333333336
88,자양2동,66.66666666666667
89,자양3동,25.0
90,중곡3동,100.0
91,중곡4동,100.0
92,화양동,100.0
93,개봉1동,50.0
94,개봉2동,0.0
95,개봉3동,100.0
96,고척1동,100.0
97,고척2동,100.0
98,구로1동,33.333333333333336
99,구로2동,0.0
100,구로3동,66.66666666666667
101,구로4동,0.0
102,구로5동,100.0
103,수궁동,0.0
104,신도림동,33.333333333333336
105,오류1동,0.0
106,오류2동,60.0
107,항동,100.0
108,가산동,0.0
109,독산1동,50.0
110,독산2동,100.0
111,독산3동,0.0
112,독산4동,100.0
113,시흥1동,0.0
114,시흥2동,25.0
115,시흥3동,0.0
116,시흥5동,100.0
117,공릉1동,40.0
118,공릉2동,22.22222222222222
119,상계10동,33.333333333333336
120,상계1동,75.0
121,상계2동,100.0
122,상계3.4동,33.333333333333336
123,상계5동,100.0
124,상계6.7동,50.0
125,상계8동,50.0
126,상계9동,50.0
127,월계1동,0.0
128,월계2동,20.0
129,월계3동,25.0
130,중계1동,0.0
131,중계2.3동,25.0
132,중계4동,0.0
133,중계본동,33.333333333333336
134,하계1동,33.333333333333336
135,하계2동,0.0
136,도봉1동,100.0
137,도봉2동,0.0
138,방학1동,50.0
139,방학3동,25.0
140,쌍문1동,50.0
141,쌍문2동,0.0
142,쌍문4동,0.0
143,창1동,0.0
144,창2동,0.0
145,창3동,50.0
146,창4동,66.66666666666667
147,창5동,50.0
148,답십리1동,100.0
149,답십리2동,0.0
150,용신동,0.0
151,이문1동,0.0
152,이문2동,100.0
153,장안1동,33.333333333333336
154,장안2동,33.333333333333336
155,전농1동,0.0
156,전농2동,50.0
157,제기동,50.0
158,청량리동,0.0
159,회기동,0.0
160,휘경2동,66.66666666666667
161,노량진1동,40.0
162,노량진2동,0.0
163,대방동,0.0
164,사당1동,0.0
165,사당3동,50.0
166,사당5동,66.66666666666667
167,상도1동,33.333333333333336
168,상도4동,0.0
169,신대방1동,33.333333333333336
170,흑석동,25.0
171,공덕동,66.66666666666667
172,대흥동,100.0
173,도화동,33.333333333333336
174,망원2동,100.0
175,상암동,60.0
176,서교동,0.0
177,성산1동,50.0
178,성산2동,33.333333333333336
179,신수동,0.0
180,연남동,0.0
181,염리동,50.0
182,용강동,0.0
183,합정동,100.0
184,남가좌1동,100.0
185,남가좌2동,0.0
186,북가좌1동,0.0
187,북가좌2동,0.0
188,북아현동,100.0
189,신촌동,0.0
190,연희동,0.0
191,천연동,100.0
192,홍은1동,50.0
193,홍은2동,0.0
194,홍제1동,0.0
195,홍제2동,0.0
196,홍제3동,50.0
197,내곡동,100.0
198,반포1동,0.0
199,반포2동,0.0
200,반포3동,0.0
201,방배3동,0.0
202,방배4동,50.0
203,방배본동,100.0
204,서초1동,0.0
205,서초2동,0.0
206,서초4동,33.333333333333336
207,양재1동,71.42857142857143
208,양재2동,0.0
209,잠원동,0.0
210,금호1가동,0.0
211,금호2.3가동,50.0
212,금호4가동,50.0
213,마장동,50.0
214,사근동,50.0
215,성수1가1동,66.66666666666667
216,성수2가1동,100.0
217,성수2가3동,100.0
218,송정동,100.0
219,옥수동,25.0
220,왕십리2동,100.0
221,왕십리도선동,50.0
222,용답동,100.0
223,응봉동,0.0
224,행당1동,0.0
225,행당2동,0.0
226,길음1동,50.0
227,길음2동,100.0
228,돈암1동,0.0
229,돈암2동,0.0
230,동선동,66.66666666666667
231,보문동,25.0
232,삼선동,100.0
233,석관동,33.333333333333336
234,성북동,33.333333333333336
235,안암동,0.0
236,월곡1동,100.0
237,월곡2동,0.0
238,장위1동,33.333333333333336
239,장위2동,100.0
240,장위3동,100.0
241,정릉1동,0.0
242,정릉3동,100.0
243,정릉4동,0.0
244,종암동,25.0
245,가락1동,100.0
246,가락2동,0.0
247,가락본동,100.0
248,거여1동,100.0
249,거여2동,33.333333333333336
250,마천1동,0.0
251,마천2동,100.0
252,문정1동,0.0
253,방이1동,100.0
254,방이2동,0.0
255,삼전동,0.0
256,석촌동,0.0
257,송파1동,100.0
258,송파2동,33.333333333333336
259,오금동,50.0
260,오륜동,33.333333333333336
261,위례동,100.0
262,잠실2동,66.66666666666667
263,잠실3동,100.0
264,잠실4동,0.0
265,잠실6동,0.0
266,잠실7동,100.0
267,장지동,0.0
268,풍납1동,0.0
269,풍납2동,0.0
270,목1동,50.0
271,목2동,50.0
272,목3동,0.0
273,목5동,42.857142857142854
274,신월3동,50.0
275,신월4동,0.0
276,신월5동,100.0
277,신월7동,50.0
278,신정1동,0.0
279,신정2동,0.0
280,신정3동,66.66666666666667
281,신정4동,50.0
282,신정6동,0.0
283,신정7동,0.0
284,당산1동,0.0
285,당산2동,50.0
286,대림1동,0.0
287,대림2동,100.0
288,대림3동,25.0
289,도림동,0.0
290,문래동,100.0
291,신길3동,0.0
292,신길4동,33.333333333333336
293,신길5동,0.0
294,신길6동,50.0
295,신길7동,50.0
296,양평1동,33.333333333333336
297,양평2동,50.0
298,여의동,20.0
299,영등포동,33.333333333333336
300,영등포본동,0.0
301,서빙고동,100.0
302,용문동,0.0
303,원효로1동,100.0
304,원효로2동,0.0
305,이촌1동,0.0
306,청파동,100.0
307,한남동,100.0
308,후암동,0.0
309,갈현2동,0.0
310,구산동,50.0
311,녹번동,50.0
