구,동별,2021_all,2021_pub,2022_all,2022_pub
종로구,사직동,12,1,11,1
종로구,삼청동,2,1,3,1
종로구,부암동,3,2,3,2
종로구,평창동,3,1,3,1
종로구,무악동,3,3,3,3
종로구,교남동,6,4,6,4
종로구,가회동,4,1,4,1
종로구,종로1.2.3.4가동,12,1,12,1
종로구,종로5.6가동,4,0,4,1
종로구,이화동,3,1,3,1
종로구,창신1동,4,2,3,1
종로구,창신2동,3,3,3,3
종로구,창신3동,2,2,2,2
종로구,숭인1동,2,2,2,2
종로구,숭인2동,3,2,2,2
종로구,청운효자동,4,3,4,3
종로구,혜화동,4,3,3,3
중구,소공동,5,0,5,0
중구,회현동,7,1,8,1
중구,명동,9,0,9,0
중구,필동,1,1,1,1
중구,장충동,2,1,2,1
중구,광희동,2,1,2,1
중구,을지로동,2,0,2,0
중구,신당5동,5,2,4,2
중구,황학동,6,4,6,4
중구,중림동,7,3,6,3
중구,신당동,1,1,1,1
중구,다산동,4,1,4,1
중구,약수동,7,3,7,3
중구,청구동,4,2,4,2
중구,동화동,3,3,3,3
용산구,후암동,8,2,9,2
용산구,용산2가동,2,2,2,2
용산구,남영동,3,1,3,1
용산구,원효로2동,8,3,8,3
용산구,효창동,9,3,8,3
용산구,용문동,8,2,7,2
용산구,이촌1동,14,1,11,1
용산구,이촌2동,5,3,4,3
용산구,이태원1동,5,0,5,0
용산구,이태원2동,3,3,3,3
용산구,서빙고동,7,2,6,2
용산구,보광동,5,2,5,2
용산구,청파동,10,2,9,2
용산구,원효로1동,9,3,9,4
용산구,한강로동,10,4,10,4
용산구,한남동,7,2,7,2
성동구,왕십리2동,9,7,9,7
성동구,마장동,14,6,12,6
성동구,사근동,3,2,3,2
성동구,행당1동,9,5,9,5
성동구,행당2동,14,3,13,3
성동구,응봉동,6,3,6,3
성동구,금호1가동,11,5,10,5
성동구,금호4가동,9,3,8,3
성동구,성수1가1동,6,4,6,4
성동구,성수1가2동,8,3,7,3
성동구,성수2가1동,6,2,6,2
성동구,성수2가3동,7,4,6,4
성동구,송정동,5,2,5,2
성동구,용답동,6,2,5,2
성동구,왕십리도선동,19,11,16,11
성동구,금호2.3가동,15,9,15,9
성동구,옥수동,16,10,15,10
광진구,화양동,5,2,5,2
광진구,군자동,11,4,10,4
광진구,중곡1동,3,2,3,2
광진구,중곡2동,11,4,11,4
광진구,중곡3동,11,3,11,3
광진구,중곡4동,13,3,11,3
광진구,능동,5,3,4,3
광진구,구의1동,7,3,7,3
광진구,구의2동,15,3,15,3
광진구,구의3동,16,6,15,6
광진구,광장동,18,8,17,8
광진구,자양1동,11,3,9,3
광진구,자양2동,12,4,10,4
광진구,자양3동,15,4,15,4
광진구,자양4동,9,4,9,4
동대문구,회기동,5,2,5,2
동대문구,휘경1동,7,2,7,2
동대문구,휘경2동,15,4,13,4
동대문구,청량리동,9,3,8,3
동대문구,용신동,13,5,14,6
동대문구,제기동,13,7,10,6
동대문구,전농1동,15,7,15,7
동대문구,전농2동,13,6,13,6
동대문구,답십리1동,16,8,16,8
동대문구,답십리2동,18,6,18,6
동대문구,장안1동,24,9,24,9
동대문구,장안2동,20,7,20,8
동대문구,이문1동,8,4,8,4
동대문구,이문2동,14,6,13,6
중랑구,면목2동,10,3,10,3
중랑구,면목4동,7,2,7,2
중랑구,면목5동,5,3,5,3
중랑구,면목7동,11,4,9,4
중랑구,상봉1동,12,5,11,5
중랑구,상봉2동,4,1,4,1
중랑구,중화1동,14,3,12,3
중랑구,중화2동,8,3,5,3
중랑구,묵1동,21,5,20,5
중랑구,묵2동,11,3,11,3
중랑구,망우3동,7,1,6,1
중랑구,신내1동,32,11,32,11
중랑구,신내2동,21,4,17,4
중랑구,면목본동,12,2,11,2
중랑구,면목3.8동,12,6,12,6
중랑구,망우본동,17,8,19,11
성북구,돈암1동,7,0,7,0
성북구,돈암2동,13,7,13,7
성북구,안암동,8,4,8,4
성북구,보문동,6,2,7,3
성북구,정릉1동,12,6,12,6
성북구,정릉2동,12,2,10,2
성북구,정릉3동,5,3,6,3
성북구,정릉4동,15,7,15,7
성북구,길음1동,26,5,21,5
성북구,길음2동,9,5,11,7
성북구,월곡1동,19,6,14,5
성북구,월곡2동,11,4,11,5
성북구,장위1동,10,5,8,3
성북구,장위2동,7,1,7,1
성북구,장위3동,11,4,10,4
성북구,성북동,4,2,4,2
성북구,삼선동,8,5,7,4
성북구,동선동,5,3,4,2
성북구,종암동,22,10,22,10
성북구,석관동,16,7,13,7
강북구,번1동,9,4,9,4
강북구,번2동,6,2,5,2
강북구,번3동,9,3,7,3
강북구,수유1동,7,2,6,2
강북구,수유2동,11,3,11,3
강북구,수유3동,9,1,8,1
강북구,삼양동,14,7,14,7
강북구,미아동,6,3,6,3
강북구,송중동,12,8,12,8
