,gu,dong,학교명
0,강남구,개포1동,3
1,강남구,개포2동,7
2,강남구,개포3동,7
3,강남구,개포4동,2
4,강남구,논현1동,1
5,강남구,논현2동,2
6,강남구,대치1동,3
7,강남구,대치2동,6
8,강남구,대치4동,4
9,강남구,도곡1동,4
10,강남구,도곡2동,3
11,강남구,삼성1동,4
12,강남구,삼성2동,2
13,강남구,세곡동,6
14,강남구,수서동,4
15,강남구,신사동,4
16,강남구,압구정동,4
17,강남구,역삼1동,1
18,강남구,역삼2동,3
19,강남구,일원1동,3
20,강남구,일원본동,6
21,강남구,청담동,3
22,강동구,강일동,6
23,강동구,고덕1동,5
24,강동구,고덕2동,9
25,강동구,길동,4
26,강동구,둔촌2동,7
27,강동구,명일1동,5
28,강동구,명일2동,1
29,강동구,상일1동,5
30,강동구,상일2동,3
31,강동구,성내1동,6
32,강동구,성내3동,2
33,강동구,암사1동,4
34,강동구,암사2동,1
35,강동구,암사3동,2
36,강동구,천호1동,2
37,강동구,천호2동,2
38,강북구,미아동,3
39,강북구,번1동,2
40,강북구,번2동,3
41,강북구,삼각산동,3
42,강북구,삼양동,5
43,강북구,송중동,4
44,강북구,송천동,6
45,강북구,수유1동,8
46,강북구,수유3동,1
47,강북구,우이동,1
48,강북구,인수동,2
49,강서구,가양1동,3
50,강서구,가양2동,3
51,강서구,가양3동,2
52,강서구,공항동,3
53,강서구,등촌2동,5
54,강서구,등촌3동,14
55,강서구,발산1동,17
56,강서구,방화1동,6
57,강서구,방화2동,3
58,강서구,방화3동,5
59,강서구,염창동,7
60,강서구,우장산동,6
61,강서구,화곡1동,3
62,강서구,화곡2동,1
63,강서구,화곡4동,4
64,강서구,화곡6동,2
65,강서구,화곡본동,2
66,관악구,낙성대동,1
67,관악구,난곡동,4
68,관악구,난향동,2
69,관악구,남현동,1
70,관악구,대학동,4
71,관악구,미성동,6
72,관악구,보라매동,4
73,관악구,삼성동,5
74,관악구,서림동,5
75,관악구,서원동,1
76,관악구,성현동,5
77,관악구,신사동,2
78,관악구,신원동,2
