,구,동,all_kin,pub_kin,ratio_kin,all_chi,pub_chi,ratio_chi
0,종로구,사직동,11,1,9.090909090909092,1.0,0.0,0.0
1,종로구,삼청동,3,1,33.33333333333333,0.0,0.0,0.0
2,종로구,부암동,3,2,66.66666666666666,2.0,0.0,0.0
3,종로구,평창동,3,1,33.33333333333333,0.0,0.0,0.0
4,종로구,무악동,3,3,100.0,1.0,0.0,0.0
5,종로구,교남동,6,4,66.66666666666666,0.0,0.0,0.0
6,종로구,가회동,4,1,25.0,1.0,1.0,100.0
7,종로구,종로1.2.3.4가동,12,1,8.333333333333332,1.0,0.0,0.0
8,종로구,종로5.6가동,4,1,25.0,1.0,0.0,0.0
9,종로구,이화동,3,1,33.33333333333333,0.0,0.0,0.0
10,종로구,창신1동,3,1,33.33333333333333,1.0,1.0,100.0
11,종로구,창신2동,3,3,100.0,0.0,0.0,0.0
12,종로구,창신3동,2,2,100.0,1.0,1.0,100.0
13,종로구,숭인1동,2,2,100.0,1.0,0.0,0.0
14,종로구,숭인2동,2,2,100.0,0.0,0.0,0.0
15,종로구,청운효자동,4,3,75.0,3.0,1.0,33.33333333333333
16,종로구,혜화동,3,3,100.0,3.0,1.0,33.33333333333333
17,중구,소공동,5,0,0.0,1.0,1.0,100.0
18,중구,회현동,8,1,12.5,1.0,0.0,0.0
19,중구,명동,9,0,0.0,0.0,0.0,0.0
20,중구,필동,1,1,100.0,2.0,0.0,0.0
21,중구,장충동,2,1,50.0,1.0,1.0,100.0
22,중구,광희동,2,1,50.0,0.0,0.0,0.0
23,중구,을지로동,2,0,0.0,1.0,0.0,0.0
24,중구,신당5동,4,2,50.0,1.0,0.0,0.0
25,중구,황학동,6,4,66.66666666666666,0.0,0.0,0.0
26,중구,중림동,6,3,50.0,1.0,0.0,0.0
27,중구,신당동,1,1,100.0,1.0,1.0,100.0
28,중구,다산동,4,1,25.0,2.0,1.0,50.0
29,중구,약수동,7,3,42.85714285714285,1.0,0.0,0.0
30,중구,청구동,4,2,50.0,2.0,0.0,0.0
31,중구,동화동,3,3,100.0,0.0,0.0,0.0
32,용산구,후암동,9,2,22.22222222222222,1.0,0.0,0.0
33,용산구,용산2가동,2,2,100.0,0.0,0.0,0.0
34,용산구,남영동,3,1,33.33333333333333,0.0,0.0,0.0
35,용산구,원효로2동,8,3,37.5,2.0,0.0,0.0
36,용산구,효창동,8,3,37.5,0.0,0.0,0.0
37,용산구,용문동,7,2,28.57142857142857,1.0,0.0,0.0
38,용산구,이촌1동,11,1,9.090909090909092,5.0,0.0,0.0
39,용산구,이촌2동,4,3,75.0,0.0,0.0,0.0
