법정동명,공시지가(원/㎡)
가락동,7228324
가리봉동,3618488
가산동,3283833
가양동,4120376
가회동,5830060
갈월동,8354295
갈현동,3460446
강일동,1194059
개봉동,3060889
개포동,5656751
개화동,465778
거여동,5099937
견지동,10487925
경운동,8589638
계동,5358275
고덕동,2845406
고척동,3003624
공덕동,6266846
공릉동,2864964
공평동,17801938
공항동,3102955
과해동,195634
관수동,15552127
관철동,30128891
관훈동,14845283
광장동,3137993
광희동1가,8629005
광희동2가,6156656
교남동,9404432
교북동,5265308
구기동,1963457
구로동,3432980
구산동,2917409
구수동,5263892
구의동,4638931
군자동,4415365
궁동,1908495
궁정동,3545080
권농동,4253424
금호동1가,3361905
금호동2가,4278284
금호동3가,4649503
금호동4가,4590225
길동,5085044
길음동,4510509
낙원동,11985132
남가좌동,4345656
남대문로1가,28836250
남대문로2가,34361274
남대문로3가,27214864
남대문로4가,24231110
남대문로5가,12379761
남산동1가,7232140
남산동2가,5365225
남산동3가,6595120
남영동,13131051
남창동,18843794
남학동,4997523
남현동,5085995
내곡동,1095656
내발산동,3657625
내수동,8385697
내자동,8757721
냉천동,5074536
노고산동,8376279
노량진동,5552791
녹번동,3335902
논현동,12784535
누상동,4051100
누하동,5636537
능동,4531540
다동,24772905
답십리동,3663141
당산동,3041936
당산동1가,5091546
당산동2가,5575943
당산동3가,5994480
당산동4가,5081568
당산동5가,5299819
당산동6가,4720095
당인동,4547843
당주동,17904133
대림동,3914819
대방동,4393309
대신동,4736603
대조동,4465233
대치동,14165490
대현동,12950220
대흥동,6337586
도곡동,9799314
도렴동,17633544
도림동,3062735
도봉동,2027797
도선동,6824988
도원동,6191617
도화동,7795204
독산동,3207780
돈암동,2410076
돈의동,8505646
동교동,10523328
동빙고동,7280596
동선동1가,8919875
동선동2가,4858869
동선동3가,4438996
동선동4가,5369897
동선동5가,4244553
동소문동1가,5798769
동소문동2가,5446829
동소문동3가,7481305
동소문동4가,5309619
동소문동5가,7176403
동소문동6가,5324522
동소문동7가,4115689
동숭동,4965289
동자동,8907169
동작동,2184721
둔촌동,3221826
등촌동,4463036
마곡동,3326536
마장동,4140911
마천동,4029438
마포동,5455173
