구,동,14세 이하 아동 수,~14세 비율,전체 어린이집 수,국공립 어린이집 수,국공립 어린이집 비율,전체 유치원 수,국공립 유치원 수,국공립 유치원 비율,어린이집 아동 수(구),어린이집 교사 수(구),어린이집 교사 1인당 아동 수(구),유치원 학생 수(구),교원 수(구),유치원 교원 1인당 학생 수(구),아동센터 수,면적당 아동센터 수,학교 수,학원 수,개소(구),녹지 면적 (㎡)(구),근린시설 수,동 면적(km2),근린시설 밀집도,정류장 수,면적당 정류장 수,지하철역 수,면적당 지하철역 수,총 아파트 수,5년 미만,5년 이상 10년 미만,10년 이상 15년 미만,15년 이상 20년 미만,20년 이상 30년 미만,30년 이상 40년 미만,40년 이상 50년 미만,50년 이상,20년 미만 아파트 비율,10년 미만 아파트 비율,30년 이상 아파트 비율,합계,외국인,외국인 비율,5대 범죄 발생 수,경찰서 및 지구대(구),경찰서 1개당 면적(구),cctv 수(구),공공도서관 수(구),공원 수(구),수 ,병원수,주간인구지수(%),주택수,일반가구수(가구),주택보급률,주택종류별 총합,단독주택합,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대 주택,비거주용건물내주택,아파트/총합,16_예산액_x,16_집행액_x,17_예산액_x,17_집행액_x,18_예산액_x,18_집행액_x,19_예산액_x,19_집행액_x,20_예산액_x,20_집행액_x,16_effect,17_effect,18_effect,19_effect,20_effect,16_예산액_y,16_집행액_y,17_예산액_y,17_집행액_y,18_예산액_y,18_집행액_y,19_예산액_y,19_집행액_y,20_예산액_y,20_집행액_y
종로구,사직동,848.0,0.0933201276548916,11.0,1.0,9.090909090909092,1.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,0.0,0.0,4.0,20.0,562.0,224004.0,45.0,1.23,36.58536585365854,138.0,112.19512195121952,2.0,1.6260162601626016,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,9355.0,268.0,0.03,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,75.0,245,2778.0,3839.0,72.4,2778.0,650,467,108,75,1591.0,78,411,48,0.57,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,삼청동,142.0,0.0609180609180609,3.0,1.0,33.33333333333333,0.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,0.0,0.0,2.0,2.0,562.0,224004.0,30.0,1.49,20.13422818791946,28.0,18.79194630872483,0.0,0.0,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,2642.0,311.0,0.12,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,11.0,245,730.0,1031.0,70.8,730.0,644,414,134,96,0.0,19,37,30,0.0,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,부암동,709.0,0.076723298344335,3.0,2.0,66.66666666666666,2.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,0.0,0.0,4.0,25.0,562.0,224004.0,16.0,2.27,7.048458149779735,95.0,41.85022026431718,0.0,0.0,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,9536.0,295.0,0.03,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,4.0,245,3070.0,3773.0,81.4,3070.0,1033,750,214,69,121.0,903,976,37,0.04,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,평창동,1743.0,0.0986808582913434,3.0,1.0,33.33333333333333,0.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,0.0,0.0,2.0,28.0,562.0,224004.0,32.0,8.87,3.607666290868095,127.0,14.317925591882751,0.0,0.0,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,17858.0,195.0,0.01,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,15.0,245,5958.0,6265.0,95.1,5958.0,1553,1088,314,151,1009.0,2186,1139,71,0.17,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,무악동,931.0,0.11604138102954,3.0,3.0,100.0,1.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,0.0,0.0,0.0,18.0,562.0,224004.0,7.0,0.36,19.444444444444446,21.0,58.333333333333336,0.0,0.0,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,8052.0,29.0,0.0,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,6.0,245,2860.0,2883.0,99.2,2860.0,48,14,9,25,2703.0,55,46,8,0.95,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,교남동,1197.0,0.1219437652811736,6.0,4.0,66.66666666666666,0.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,2.0,5.714285714285714,1.0,21.0,562.0,224004.0,16.0,0.35,45.71428571428572,57.0,162.85714285714286,0.0,0.0,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,9994.0,178.0,0.02,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,13.0,245,3917.0,4106.0,95.4,3917.0,237,100,112,25,2526.0,88,1060,6,0.64,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,가회동,274.0,0.0695255011418421,4.0,1.0,25.0,1.0,1.0,1.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,0.0,0.0,4.0,2.0,562.0,224004.0,24.0,0.54,44.44444444444444,52.0,96.29629629629628,1.0,1.851851851851852,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,4065.0,124.0,0.03,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,8.0,245,1601.0,1733.0,92.4,1601.0,731,556,105,70,0.0,137,719,14,0.0,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,종로1.2.3.4가동,252.0,0.0374554102259215,12.0,1.0,8.333333333333332,1.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,0.0,0.0,5.0,71.0,562.0,224004.0,218.0,2.35,92.76595744680851,367.0,156.17021276595744,2.0,0.851063829787234,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,8700.0,1972.0,0.23,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,160.0,245,1652.0,3636.0,45.4,1652.0,514,319,75,120,959.0,28,48,103,0.58,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,종로5.6가동,220.0,0.0415094339622641,4.0,1.0,25.0,1.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,2.0,3.333333333333333,1.0,9.0,562.0,224004.0,103.0,0.6,171.66666666666669,104.0,173.33333333333334,1.0,1.6666666666666667,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,5817.0,517.0,0.09,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,83.0,245,1319.0,2692.0,49.0,1319.0,730,324,273,133,220.0,76,137,156,0.17,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
종로구,이화동,311.0,0.043796648359386,3.0,1.0,33.33333333333333,0.0,0.0,0.0,2642.0,735.0,3.6,1019.0,96.0,10.614583333333334,1.0,1.282051282051282,0.0,7.0,562.0,224004.0,49.0,0.78,62.82051282051282,90.0,115.3846153846154,0.0,0.0,14153.0,2762.0,167.0,2370.0,1425.0,5195.0,1332.0,317.0,585.0,0.475,0.207,0.842,7631.0,530.0,0.07,3138.0,24.0,0.99625,"1,966",9.0,12.0,167.0,13.0,245,2624.0,3883.0,67.6,2624.0,682,265,311,106,189.0,266,1420,67,0.07,180000,211000,200000,159500,376500,247500,481000,414500,450000,357000,1.1722222222222225,0.7975,0.6573705179282868,0.8617463617463618,0.7933333333333333,0.027027027027027,0.0957095709570957,0.0,0.0,0.155026455026455,0.076890756302521,0.2273550724637681,0.2358182023232209,0.1238168611049966,0.133105039827291
