구,동,합계,공립 수,국공립 유치원 비율
강남구,개포2동,2,1,50.0
강남구,개포3동,2,0,0.0
강남구,개포4동,2,1,50.0
강남구,논현1동,1,1,100.0
강남구,논현2동,2,1,50.0
강남구,대치1동,2,0,0.0
강남구,대치2동,1,1,100.0
강남구,대치4동,1,1,100.0
강남구,도곡1동,1,1,100.0
강남구,도곡2동,2,0,0.0
강남구,삼성1동,1,0,0.0
강남구,세곡동,6,5,83.33333333333334
강남구,수서동,4,1,25.0
강남구,신사동,1,1,100.0
강남구,역삼1동,1,1,100.0
강남구,일원1동,1,1,100.0
강남구,일원본동,2,0,0.0
강남구,청담동,3,1,33.33333333333333
강동구,강일동,3,2,66.66666666666666
강동구,고덕1동,1,0,0.0
강동구,고덕2동,2,1,50.0
강동구,길동,3,2,66.66666666666666
강동구,둔촌2동,2,1,50.0
강동구,명일1동,1,1,100.0
강동구,명일2동,4,0,0.0
강동구,상일1동,5,2,40.0
강동구,상일2동,1,0,0.0
강동구,성내1동,1,0,0.0
강동구,성내3동,1,0,0.0
강동구,암사1동,1,1,100.0
강동구,암사2동,1,0,0.0
강동구,암사3동,1,0,0.0
강동구,천호1동,1,1,100.0
강동구,천호2동,2,0,0.0
강동구,천호3동,2,0,0.0
강북구,번1동,1,1,100.0
강북구,번2동,1,0,0.0
강북구,번3동,1,1,100.0
강북구,삼각산동,1,0,0.0
강북구,삼양동,3,1,33.33333333333333
강북구,송중동,2,1,50.0
강북구,송천동,1,1,100.0
강북구,수유1동,1,1,100.0
강북구,수유2동,2,0,0.0
강북구,우이동,1,0,0.0
강북구,인수동,3,1,33.33333333333333
강서구,가양1동,3,0,0.0
강서구,가양2동,2,1,50.0
강서구,가양3동,3,1,33.33333333333333
강서구,공항동,2,2,100.0
강서구,등촌1동,1,0,0.0
강서구,등촌2동,2,1,50.0
강서구,등촌3동,4,1,25.0
강서구,발산1동,3,1,33.33333333333333
강서구,방화1동,5,3,60.0
강서구,방화2동,3,1,33.33333333333333
강서구,방화3동,3,1,33.33333333333333
강서구,염창동,1,1,100.0
강서구,우장산동,4,1,25.0
강서구,화곡1동,2,2,100.0
강서구,화곡2동,2,0,0.0
강서구,화곡3동,1,0,0.0
강서구,화곡4동,3,1,33.33333333333333
강서구,화곡6동,1,0,0.0
강서구,화곡8동,1,0,0.0
강서구,화곡본동,3,1,33.33333333333333
관악구,난곡동,2,1,50.0
관악구,난향동,1,0,0.0
관악구,남현동,2,1,50.0
관악구,대학동,1,1,100.0
관악구,미성동,1,0,0.0
관악구,보라매동,1,1,100.0
관악구,삼성동,2,1,50.0
관악구,서림동,3,1,33.33333333333333
관악구,성현동,3,0,0.0
관악구,신사동,1,1,100.0
관악구,신원동,1,1,100.0
관악구,은천동,4,2,50.0
관악구,인헌동,1,0,0.0
관악구,중앙동,1,1,100.0
관악구,청룡동,2,2,100.0
관악구,청림동,2,1,50.0
관악구,행운동,3,2,66.66666666666666
광진구,광장동,5,1,20.0
광진구,구의2동,2,0,0.0
광진구,구의3동,1,0,0.0
광진구,군자동,2,0,0.0
광진구,능동,2,0,0.0
광진구,자양1동,3,1,33.33333333333333
광진구,자양2동,3,2,66.66666666666666
광진구,자양3동,4,1,25.0
광진구,중곡3동,1,1,100.0
광진구,중곡4동,1,1,100.0
광진구,화양동,1,1,100.0
구로구,개봉1동,2,1,50.0
구로구,개봉2동,3,0,0.0
구로구,개봉3동,1,1,100.0
구로구,고척1동,2,2,100.0
구로구,고척2동,1,1,100.0
구로구,구로1동,3,1,33.33333333333333
구로구,구로2동,1,0,0.0
구로구,구로3동,3,2,66.66666666666666
구로구,구로4동,2,0,0.0
구로구,구로5동,1,1,100.0
구로구,수궁동,1,0,0.0
구로구,신도림동,3,1,33.33333333333333
구로구,오류1동,2,0,0.0
구로구,오류2동,5,3,60.0
구로구,항동,1,1,100.0
금천구,가산동,1,0,0.0
금천구,독산1동,4,2,50.0
금천구,독산2동,2,2,100.0
금천구,독산3동,1,0,0.0
금천구,독산4동,1,1,100.0
금천구,시흥1동,1,0,0.0
금천구,시흥2동,4,1,25.0
금천구,시흥3동,1,0,0.0
금천구,시흥5동,1,1,100.0
노원구,공릉1동,5,2,40.0
노원구,공릉2동,9,2,22.22222222222222
노원구,상계10동,3,1,33.33333333333333
노원구,상계1동,4,3,75.0
노원구,상계2동,1,1,100.0
노원구,상계3.4동,3,1,33.33333333333333
노원구,상계5동,1,1,100.0
노원구,상계6.7동,2,1,50.0
노원구,상계8동,4,2,50.0
노원구,상계9동,2,1,50.0
노원구,월계1동,1,0,0.0
노원구,월계2동,5,1,20.0
노원구,월계3동,4,1,25.0
노원구,중계1동,1,0,0.0
노원구,중계2.3동,4,1,25.0
노원구,중계4동,2,0,0.0
노원구,중계본동,3,1,33.33333333333333
노원구,하계1동,3,1,33.33333333333333
노원구,하계2동,2,0,0.0
도봉구,도봉1동,2,2,100.0
도봉구,도봉2동,2,0,0.0
도봉구,방학1동,2,1,50.0
도봉구,방학3동,4,1,25.0
도봉구,쌍문1동,4,2,50.0
도봉구,쌍문2동,1,0,0.0
도봉구,쌍문4동,2,0,0.0
도봉구,창1동,1,0,0.0
도봉구,창2동,1,0,0.0
도봉구,창3동,2,1,50.0
도봉구,창4동,3,2,66.66666666666666
도봉구,창5동,4,2,50.0
동대문구,답십리1동,1,1,100.0
동대문구,답십리2동,3,0,0.0
동대문구,용신동,1,0,0.0
동대문구,이문1동,2,0,0.0
동대문구,이문2동,1,1,100.0
동대문구,장안1동,3,1,33.33333333333333
동대문구,장안2동,3,1,33.33333333333333
동대문구,전농1동,1,0,0.0
동대문구,전농2동,4,2,50.0
동대문구,제기동,2,1,50.0
동대문구,청량리동,1,0,0.0
동대문구,회기동,2,0,0.0
동대문구,휘경2동,3,2,66.66666666666666
동작구,노량진1동,5,2,40.0
동작구,노량진2동,1,0,0.0
동작구,대방동,1,0,0.0
동작구,사당1동,1,0,0.0
동작구,사당3동,2,1,50.0
동작구,사당5동,3,2,66.66666666666666
동작구,상도1동,3,1,33.33333333333333
동작구,상도4동,3,0,0.0
동작구,신대방1동,3,1,33.33333333333333
동작구,흑석동,4,1,25.0
마포구,공덕동,3,2,66.66666666666666
마포구,대흥동,2,2,100.0
마포구,도화동,3,1,33.33333333333333
마포구,망원2동,1,1,100.0
마포구,상암동,5,3,60.0
마포구,서교동,1,0,0.0
마포구,성산1동,2,1,50.0
마포구,성산2동,3,1,33.33333333333333
마포구,신수동,1,0,0.0
마포구,연남동,2,0,0.0
마포구,염리동,2,1,50.0
마포구,용강동,1,0,0.0
마포구,합정동,1,1,100.0
서대문구,남가좌1동,1,1,100.0
서대문구,남가좌2동,3,0,0.0
서대문구,북가좌1동,1,0,0.0
서대문구,북가좌2동,2,0,0.0
서대문구,북아현동,1,1,100.0
서대문구,신촌동,3,0,0.0
서대문구,연희동,1,0,0.0
서대문구,천연동,1,1,100.0
서대문구,홍은1동,2,1,50.0
서대문구,홍은2동,1,0,0.0
서대문구,홍제1동,2,0,0.0
서대문구,홍제2동,1,0,0.0
서대문구,홍제3동,2,1,50.0
서초구,내곡동,2,2,100.0
서초구,반포1동,1,0,0.0
서초구,반포2동,1,0,0.0
서초구,반포3동,1,0,0.0
서초구,방배3동,1,0,0.0
서초구,방배4동,2,1,50.0
서초구,방배본동,1,1,100.0
서초구,서초1동,1,0,0.0
서초구,서초2동,1,0,0.0
서초구,서초4동,3,1,33.33333333333333
서초구,양재1동,7,5,71.42857142857143
서초구,양재2동,1,0,0.0
서초구,잠원동,1,0,0.0
성동구,금호1가동,1,0,0.0
성동구,금호2.3가동,2,1,50.0
성동구,금호4가동,2,1,50.0
성동구,마장동,4,2,50.0
성동구,사근동,2,1,50.0
성동구,성수1가1동,3,2,66.66666666666666
성동구,성수2가1동,1,1,100.0
성동구,성수2가3동,1,1,100.0
성동구,송정동,1,1,100.0
성동구,옥수동,4,1,25.0
성동구,왕십리2동,1,1,100.0
성동구,왕십리도선동,2,1,50.0
성동구,용답동,1,1,100.0
성동구,응봉동,1,0,0.0
성동구,행당1동,1,0,0.0
성동구,행당2동,1,0,0.0
성북구,길음1동,6,3,50.0
성북구,길음2동,1,1,100.0
성북구,돈암1동,2,0,0.0
성북구,돈암2동,5,0,0.0
성북구,동선동,3,2,66.66666666666666
성북구,보문동,4,1,25.0
성북구,삼선동,1,1,100.0
성북구,석관동,3,1,33.33333333333333
성북구,성북동,3,1,33.33333333333333
성북구,안암동,1,0,0.0
성북구,월곡1동,1,1,100.0
성북구,월곡2동,2,0,0.0
성북구,장위1동,3,1,33.33333333333333
성북구,장위2동,1,1,100.0
성북구,장위3동,1,1,100.0
성북구,정릉1동,2,0,0.0
성북구,정릉3동,1,1,100.0
성북구,정릉4동,2,0,0.0
성북구,종암동,4,1,25.0
송파구,가락1동,1,1,100.0
송파구,가락2동,3,0,0.0
송파구,가락본동,1,1,100.0
송파구,거여1동,1,1,100.0
