구,동,학원명
강남구,개포1동,15
강남구,개포2동,112
강남구,개포3동,35
강남구,개포4동,61
강남구,논현1동,101
강남구,논현2동,84
강남구,대치1동,350
강남구,대치2동,435
강남구,대치4동,863
강남구,도곡1동,93
강남구,도곡2동,77
강남구,삼성1동,28
강남구,삼성2동,112
강남구,세곡동,88
강남구,수서동,9
강남구,신사동,232
강남구,압구정동,283
강남구,역삼1동,235
강남구,역삼2동,115
강남구,일원1동,41
강남구,일원본동,69
강남구,청담동,120
강동구,,1
강동구,강일동,80
강동구,고덕1동,84
강동구,고덕2동,57
강동구,길동,89
강동구,둔촌2동,71
강동구,명일1동,122
강동구,명일2동,233
강동구,상일1동,48
강동구,상일2동,14
강동구,성내1동,56
강동구,성내2동,41
강동구,성내3동,84
강동구,암사1동,45
강동구,암사2동,58
강동구,암사3동,87
강동구,천호1동,44
강동구,천호2동,50
강동구,천호3동,27
강북구,미아동,20
강북구,번1동,23
강북구,번2동,2
강북구,번3동,35
강북구,삼각산동,78
강북구,삼양동,44
강북구,송중동,64
강북구,송천동,44
강북구,수유1동,20
강북구,수유2동,39
강북구,수유3동,14
강북구,우이동,7
강북구,인수동,40
강서구,가양1동,48
강서구,가양2동,4
강서구,가양3동,14
강서구,공항동,59
강서구,등촌1동,36
강서구,등촌2동,32
강서구,등촌3동,132
강서구,발산1동,269
강서구,방화1동,146
강서구,방화2동,20
강서구,방화3동,28
강서구,염창동,138
강서구,우장산동,164
강서구,화곡1동,47
강서구,화곡2동,49
강서구,화곡3동,79
강서구,화곡4동,34
강서구,화곡6동,21
강서구,화곡8동,25
강서구,화곡본동,50
관악구,낙성대동,10
관악구,난곡동,20
관악구,난향동,20
관악구,남현동,25
관악구,대학동,49
관악구,미성동,63
관악구,보라매동,33
관악구,삼성동,16
관악구,서림동,28
관악구,서원동,23
관악구,성현동,80
관악구,신림동,9
관악구,신사동,26
관악구,신원동,19
관악구,은천동,77
관악구,인헌동,32
관악구,조원동,23
관악구,중앙동,34
관악구,청룡동,47
관악구,청림동,47
관악구,행운동,51
광진구,광장동,107
광진구,구의1동,41
광진구,구의2동,55
광진구,구의3동,161
광진구,군자동,28
광진구,능동,14
광진구,자양1동,32
광진구,자양2동,61
광진구,자양3동,88
광진구,자양4동,15
광진구,중곡1동,18
광진구,중곡2동,60
광진구,중곡3동,15
광진구,중곡4동,44
광진구,화양동,23
구로구,가리봉동,5
구로구,개봉1동,37
구로구,개봉2동,69
구로구,개봉3동,38
구로구,고척1동,47
구로구,고척2동,71
구로구,구로1동,49
구로구,구로2동,17
구로구,구로3동,55
구로구,구로4동,39
구로구,구로5동,50
구로구,수궁동,35
구로구,신도림동,116
구로구,오류1동,29
구로구,오류2동,80
구로구,항동,46
금천구,가산동,33
금천구,독산1동,90
금천구,독산2동,20
금천구,독산3동,24
금천구,독산4동,18
금천구,시흥1동,68
금천구,시흥2동,48
금천구,시흥3동,11
금천구,시흥4동,28
금천구,시흥5동,25
노원구,공릉1동,48
노원구,공릉2동,113
노원구,상계10동,29
노원구,상계1동,66
노원구,상계2동,66
노원구,상계3.4동,34
노원구,상계5동,67
노원구,상계6.7동,107
노원구,상계8동,49
노원구,상계9동,62
노원구,월계1동,34
노원구,월계2동,26
노원구,월계3동,30
노원구,중계1동,253
노원구,중계2.3동,43
노원구,중계4동,53
노원구,중계본동,268
노원구,하계1동,55
노원구,하계2동,27
도봉구,도봉1동,8
도봉구,도봉2동,33
도봉구,방학1동,66
도봉구,방학2동,24
도봉구,방학3동,51
도봉구,쌍문1동,36
도봉구,쌍문2동,59
도봉구,쌍문3동,19
도봉구,쌍문4동,86
도봉구,창1동,33
도봉구,창2동,46
도봉구,창3동,15
도봉구,창4동,66
도봉구,창5동,98
동대문구,답십리1동,69
동대문구,답십리2동,34
동대문구,용신동,44
동대문구,이문1동,28
동대문구,이문2동,38
동대문구,장안1동,62
동대문구,장안2동,161
동대문구,전농1동,56
동대문구,전농2동,58
동대문구,제기동,36
동대문구,청량리동,19
동대문구,회기동,13
동대문구,휘경1동,21
동대문구,휘경2동,29
동작구,노량진1동,104
동작구,노량진2동,29
동작구,대방동,150
동작구,사당1동,41
동작구,사당2동,69
동작구,사당3동,58
동작구,사당4동,16
동작구,사당5동,31
동작구,상도1동,90
동작구,상도2동,66
동작구,상도3동,18
동작구,상도4동,42
동작구,신대방1동,55
동작구,신대방2동,37
동작구,흑석동,68
마포구,공덕동,64
마포구,대흥동,97
마포구,도화동,55
마포구,망원1동,17
마포구,망원2동,59
마포구,상암동,104
마포구,서강동,72
마포구,서교동,206
마포구,성산1동,35
마포구,성산2동,96
마포구,신수동,48
마포구,아현동,68
마포구,연남동,17
마포구,염리동,69
마포구,용강동,94
마포구,합정동,30
서대문구,,2
서대문구,남가좌1동,24
서대문구,남가좌2동,80
서대문구,북가좌1동,45
서대문구,북가좌2동,84
서대문구,북아현동,36
서대문구,신촌동,70
서대문구,연희동,68
서대문구,천연동,45
서대문구,충현동,17
서대문구,홍은1동,48
서대문구,홍은2동,66
서대문구,홍제1동,52
서대문구,홍제2동,29
서대문구,홍제3동,53
서초구,내곡동,30
서초구,반포1동,74
서초구,반포2동,40
서초구,반포3동,178
서초구,반포4동,267
서초구,반포본동,34
서초구,방배1동,67
서초구,방배2동,62
서초구,방배3동,46
서초구,방배4동,100
서초구,방배본동,137
서초구,서초1동,87
서초구,서초2동,172
서초구,서초3동,150
서초구,서초4동,144
서초구,양재1동,122
서초구,양재2동,63
서초구,잠원동,121
성동구,,1
성동구,금호1가동,36
성동구,금호2.3가동,40
성동구,금호4가동,38
성동구,마장동,24
성동구,사근동,4
성동구,성수1가1동,30
성동구,성수1가2동,25
성동구,성수2가1동,9
성동구,성수2가3동,19
성동구,송정동,6
성동구,옥수동,56
성동구,왕십리2동,20
성동구,왕십리도선동,82
성동구,용답동,10
성동구,응봉동,23
성동구,행당1동,65
성동구,행당2동,73
성북구,길음1동,97
성북구,길음2동,68
성북구,돈암1동,35
성북구,돈암2동,64
성북구,동선동,88
성북구,보문동,22
성북구,삼선동,73
성북구,석관동,43
성북구,성북동,43
성북구,안암동,8
성북구,월곡1동,78
성북구,월곡2동,37
성북구,장위1동,33
성북구,장위2동,7
성북구,장위3동,30
성북구,정릉1동,58
성북구,정릉2동,43
성북구,정릉3동,6
성북구,정릉4동,39
성북구,종암동,87
송파구,가락1동,38
송파구,가락2동,134
송파구,가락본동,57
송파구,거여1동,29
송파구,거여2동,59
송파구,마천1동,27
송파구,마천2동,24
송파구,문정1동,55
송파구,문정2동,50
송파구,방이1동,206
송파구,방이2동,58
송파구,삼전동,129
송파구,석촌동,113
송파구,송파1동,67
송파구,송파2동,92
송파구,오금동,142
송파구,오륜동,18
송파구,위례동,143
송파구,잠실2동,78
송파구,잠실3동,59
송파구,잠실4동,36
송파구,잠실6동,73
송파구,잠실7동,9
송파구,잠실본동,119
송파구,장지동,77
송파구,풍납1동,14
송파구,풍납2동,66
양천구,목1동,233
양천구,목2동,69
양천구,목3동,46
양천구,목4동,107
양천구,목5동,588
양천구,신월1동,26
양천구,신월2동,53
양천구,신월3동,10
양천구,신월4동,51
양천구,신월5동,41
양천구,신월6동,29
양천구,신월7동,32
양천구,신정1동,140
양천구,신정2동,176
양천구,신정3동,113
양천구,신정4동,93
양천구,신정6동,227
양천구,신정7동,140
영등포구,당산1동,30
영등포구,당산2동,109
영등포구,대림1동,17
영등포구,대림2동,8
영등포구,대림3동,41
영등포구,도림동,30
영등포구,문래동,94
영등포구,신길1동,29
영등포구,신길3동,31
영등포구,신길4동,24
영등포구,신길5동,12
영등포구,신길6동,85
영등포구,신길7동,40
영등포구,양평1동,33
영등포구,양평2동,45
영등포구,여의동,111
영등포구,영등포동,58
영등포구,영등포본동,30
용산구,남영동,14
용산구,보광동,13
용산구,서빙고동,13
용산구,용문동,22
용산구,용산2가동,7
용산구,원효로1동,21
용산구,원효로2동,28
용산구,이촌1동,36
용산구,이촌2동,9
용산구,이태원1동,6
용산구,이태원2동,4
용산구,청파동,11
용산구,한강로동,13
용산구,한남동,17
용산구,효창동,20
용산구,후암동,27
은평구,갈현1동,44
은평구,갈현2동,121
은평구,구산동,75
은평구,녹번동,68
은평구,대조동,61
은평구,불광1동,82
은평구,불광2동,37
은평구,수색동,13
은평구,신사1동,46
은평구,신사2동,43
은평구,역촌동,117
은평구,응암1동,90
은평구,응암2동,50
은평구,응암3동,45
은평구,증산동,45
은평구,진관동,184
종로구,가회동,2
종로구,교남동,21
종로구,무악동,18
종로구,부암동,25
종로구,사직동,20
종로구,삼청동,2
종로구,숭인1동,9
종로구,숭인2동,5
종로구,이화동,7
종로구,종로1.2.3.4가동,71
종로구,종로5.6가동,9
종로구,창신1동,6
종로구,창신3동,5
종로구,청운효자동,18
종로구,평창동,28
종로구,혜화동,38
중구,광희동,7
중구,다산동,16
중구,동화동,14
중구,명동,15
중구,소공동,11
중구,신당5동,7
중구,신당동,2
중구,약수동,20
중구,을지로동,2
중구,중림동,12
중구,청구동,35
중구,필동,10
중구,황학동,3
중구,회현동,1
중랑구,망우3동,19
중랑구,망우본동,49
중랑구,면목2동,32
중랑구,면목3.8동,33
중랑구,면목4동,32
중랑구,면목5동,10
중랑구,면목7동,22
중랑구,면목본동,38
중랑구,묵1동,47
중랑구,묵2동,22
중랑구,상봉1동,35
중랑구,상봉2동,11
중랑구,신내1동,95
중랑구,신내2동,74
중랑구,중화1동,39
중랑구,중화2동,8
