자치구별,총계,5년 미만,5년 이상 10년 미만,10년 이상 15년 미만,15년 이상 20년 미만,20년 이상 30년 미만,30년 이상 40년 미만,40년 이상 50년 미만,50년 이상,20년 미만 아파트 비율,10년 미만 아파트 비율,30년 이상 아파트 비율
소계,1716597,191472,135990,196095,291038,543025,300408,47793,10776,0.475,0.191,0.791
종로구,14153,2762,167,2370,1425,5195,1332,317,585,0.475,0.207,0.842
중구,21729,2684,1220,4831,6013,5350,70,762,799,0.679,0.18,0.925
용산구,36470,3871,1725,5840,4188,12536,2071,3091,3148,0.428,0.153,0.772
성동구,62937,5967,12232,3768,8719,25408,6843,0,0,0.488,0.289,0.891
광진구,32251,2635,762,4176,3077,14141,6564,896,0,0.33,0.105,0.769
동대문구,64609,6580,7119,7639,12679,25431,3463,1660,38,0.527,0.212,0.92
중랑구,53258,4729,5621,2888,7828,26951,4940,301,0,0.396,0.194,0.902
성북구,79605,10010,3216,14759,28484,20123,1759,1088,166,0.709,0.166,0.962
강북구,34130,1698,504,4823,12439,6481,8114,71,0,0.57,0.065,0.76
도봉구,65044,450,1293,507,11310,24262,27114,108,0,0.208,0.027,0.581
노원구,159693,3236,1079,1673,12207,68565,72813,120,0,0.114,0.027,0.543
은평구,58308,13823,3294,22503,6528,7846,4124,157,33,0.791,0.294,0.926
서대문구,49650,8508,9817,3522,4926,18557,3601,719,0,0.539,0.369,0.913
마포구,73023,8658,11158,9915,17556,17541,7909,214,72,0.648,0.271,0.888
양천구,92204,8900,3736,6028,17104,24941,31300,195,0,0.388,0.137,0.658
강서구,107196,5292,12821,10265,20454,54506,3754,104,0,0.456,0.169,0.964
구로구,79668,8033,3198,8579,12621,32806,13679,752,0,0.407,0.141,0.819
금천구,32252,3449,3984,545,8504,7700,6104,1966,0,0.511,0.23,0.75
영등포구,72468,12467,3105,2672,11261,23051,10754,7421,1737,0.407,0.215,0.725
동작구,61820,6833,7861,5471,14450,21630,5085,453,37,0.56,0.238,0.91
관악구,50519,1962,713,4328,17649,21807,3416,536,108,0.488,0.053,0.92
서초구,87287,12209,13333,11430,16012,11437,12293,6520,4053,0.607,0.293,0.738
강남구,118978,10488,14995,9335,19148,30754,23166,11092,0,0.454,0.214,0.712
송파구,123800,19884,7774,30496,9020,19459,27993,9174,0,0.543,0.223,0.7
강동구,85545,26344,5263,17732,7436,16547,12147,76,0,0.664,0.369,0.857
