"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7121380","솔샘중학교","Solsaem Middle School","서울특별시성북강북교육지원청","01190","서울특별시 강북구 인수봉로 39","(미아동/ 솔샘중.고등학교)","02-981-6872","https://solsaem.sen.ms.kr","02-981-6874","남여공학","","N","해당없음","","전기","주간","20090301","20090610","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121369","영훈국제중학교","YoungHoon International Middle School","서울특별시성북강북교육지원청","01211","서울특별시 강북구 도봉로13가길 19","(미아동/학교법인영훈학원)","82-2-970-4777","http://www.younghoon.ms.kr","02-980-7209","남여공학","","N","일반계","","전기","주간","19690115","19690327","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121366","창문여자중학교","Changmun Girls’ Middle School","서울특별시성북강북교육지원청","01237","서울특별시 강북구 월계로 61","(송중동/ 창문여자중고등학교)","02-986-1703","http://changmun.sen.ms.kr","02-985-1316","여","","N","일반계","","전기","주간","19721010","19721010","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121365","신일중학교","Shinil Middle School","서울특별시성북강북교육지원청","01133","서울특별시 강북구 솔매로49길 20","(미아동/신일중고등학교)","02-944-9850","http://shin-il.ms.kr","02-989-6201","남","","N","일반계","","전기","주간","19661013","19661013","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121364","성암여자중학교","Seong-am Girls’ Middle School","서울특별시성북강북교육지원청","01174","서울특별시 강북구 도봉로29길 52","(미아동/학교법인성암학원)","02-2179-1777","http://www.seongam.ms.kr","02-982-9053","여","","N","일반계","","전기","주간","19600114","19601001","B10","서울특별시교육청","서울특별시","","","","20230624"
"중학교","사립","7121362","서라벌중학교","Sorabol Middle School","서울특별시성북강북교육지원청","01006","서울특별시 강북구 삼양로155길 37-9","/ 서라벌중학교 (우이동)","070-8280-4600","http://sorabol.sen.ms.kr","02-903-8397","남","","N","일반계","","전기","주간","19560305","19560305","B10","서울특별시교육청","서울특별시","","","","20230705"
"중학교","공립","7121356","화계중학교","Hwagye Middle School","서울특별시성북강북교육지원청","01095","서울특별시 강북구 화계사길 63","(수유동)","02-986-3073","http://www.hwagye.ms.kr","02-984-2786","남여공학","","N","일반계","","전기","주간","19701010","19701004","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121353","인수중학교","Insu Middle School","서울특별시성북강북교육지원청","01015","서울특별시 강북구 인수봉로75길 10","(수유동/ 인수중학교)","02-900-7801","http://www.insu.ms.kr","02-900-7981","남여공학","","N","일반계","","전기","주간","19860129","19860504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121350","수유중학교","Suyu Middle School","서울특별시성북강북교육지원청","01095","서울특별시 강북구 인수봉로37길 40","(수유동/수유중학교)","02-945-6102","http://www.suyu.ms.kr","02-945-6109","남여공학","","N","일반계","","전기","주간","19720603","19720603","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121349","수송중학교","Soosong Middle School","서울특별시성북강북교육지원청","01061","서울특별시 강북구 한천로122길 21","(번동/수송중학교)","02-900-5791","http://soosong.sen.ms.kr","02-900-6324","남여공학","","N","일반계","","전기","주간","20001125","20010516","B10","서울특별시교육청","서울특별시","","","","20230615"
