"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7132152","인헌중학교","Inhun Middle School","서울특별시동작관악교육지원청","08795","서울특별시 관악구 인헌9길 35","/ 인헌중학교 (봉천동)","02-877-6760","http://inhun.ms.kr","02-885-5564","남여공학","","N","일반계","","전기","주간","19710116","19710520","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132150","신림중학교","Shillim Middle School","서울특별시동작관악교육지원청","08841","서울특별시 관악구 신림로 40","(신림동/신림중학교)","02-882-1929","http://www.shillim.ms.kr","02-872-4858","남여공학","","N","일반계","","전기","주간","19731229","19720513","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132149","신관중학교","Shingwan Middle School","서울특별시동작관악교육지원청","08781","서울특별시 관악구 신림로48길 17-16","/ (신림동 신관중학교)","02-885-6893","http://www.shingwan.ms.kr","02-872-4057","남여공학","","N","일반계","","전기","주간","19840301","19840427","B10","서울특별시교육청","서울특별시","","","","20230709"
"중학교","사립","7132147","성보중학교","Sungbo Middle School","서울특별시동작관악교육지원청","08773","서울특별시 관악구 남부순환로156길 39","성보중학교 (신림동)","02-818-9700","http://sungbo.sen.ms.kr","02-851-8161","남여공학","","N","일반계","","전기","주간","19811231","19820531","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7132145","서울문영여자중학교","Seoul Moonyoung girls’ Middle School","서울특별시동작관악교육지원청","08833","서울특별시 관악구 관악로 85","(봉천동)","02-871-8921","http://www.moonyoung-gms.seoul.kr","02-886-8194","여","","N","일반계","","전기","주간","19260401","19360929","B10","서울특별시교육청","서울특별시","","","","20230627"
"중학교","공립","7132142","삼성중학교","Samsung Middle School","서울특별시동작관악교육지원청","08816","서울특별시 관악구 신림로3가길 39-24","(신림동/삼성중학교)","02-871-6242/6243","http://samsung.sen.ms.kr","02-884-8974","남여공학","","N","일반계","","전기","주간","19701002","19700801","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132140","봉원중학교","Bong-won Middle School","서울특별시동작관악교육지원청","08736","서울특별시 관악구 관악로24가길 15","/ 봉원중학교 (봉천동/봉원중학교)","02-879-1542","https://bongwon.sen.ms.kr","02-879-1548","남여공학","","N","일반계","","전기","주간","19691111","19691111","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132139","봉림중학교","Bongrim Middle School","서울특별시동작관악교육지원청","08782","서울특별시 관악구 장군봉길 72","(봉천동)","02-888-1281","http://www.bongrim.ms.kr","02-887-4907","남여공학","","N","일반계","","전기","주간","19881224","19890421","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132138","미성중학교","Misung Middle School","서울특별시동작관악교육지원청","08863","서울특별시 관악구 문성로16길 40","(신림동)","02-860-0900","http://www.misung.ms.kr","02-860-0998","남여공학","","N","일반계","","전기","주간","19840109","19840517","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7132133","당곡중학교","Dang-gok Middle School","서울특별시동작관악교육지원청","08711","서울특별시 관악구 봉천로13길 101","/ 당곡중학교 (봉천동)","02-870-7700","http://www.danggok.ms.kr","02-871-9146","남여공학","","N","일반계","","전기","주간","19821209","19830509","B10","서울특별시교육청","서울특별시","","","","20230615"
