"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7051213","효문중학교","Hyomun Middle School","서울특별시북부교육지원청","01372","서울특별시 도봉구 우이천로 432","(쌍문동/ 효문중 고등학교)","02-999-1785","http://hyomun.ms.kr","02-999-1341","남여공학","","N","해당없음","","전기","주간","20060301","20060301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051207","창일중학교","Chang-il Middle School","서울특별시북부교육지원청","01424","서울특별시 도봉구 노해로66길 60","(창동/창일중학교)","02-994-5934","http://www.changil.ms.kr","02-991-8804","남여공학","","N","일반계","","전기","주간","19910122","19911002","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051206","창북중학교","Changbook Middle School","서울특별시북부교육지원청","01483","서울특별시 도봉구 노해로62길 33","(창동/창북중학교)","02-907-8244","http://www.changbook.ms.kr","02-991-9044","남여공학","","N","일반계","","전기","주간","19861217","19870507","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051205","창동중학교","Changdong Middle School","서울특별시북부교육지원청","01338","서울특별시 도봉구 방학로 32","/ 창동중학교 (방학동)","02-2289-6600","http://www.changdong.ms.kr","02-954-8470","남여공학","","N","일반계","","전기","주간","19830301","19830421","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7051201","정의여자중학교","Jeongeui Girls’ Middle School","서울특별시북부교육지원청","01438","서울특별시 도봉구 노해로49길 69","/ 정의여자중학교 (쌍문동)","02-3499-5300","http://www.jeongeui.ms.kr","02-991-7493","여","","N","일반계","","전기","주간","19710130","19710130","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051193","신방학중학교","Sinbanghak Middle School","서울특별시북부교육지원청","01359","서울특별시 도봉구 시루봉로 156","/ 신방학중학교 (방학동)","02-956-8234","http://www.sbh.ms.kr","02-956-2845","남여공학","","N","일반계","","전기","주간","19940105","19940504","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051192","신도봉중학교","Sindobong Middle School","서울특별시북부교육지원청","01443","서울특별시 도봉구 도봉로115길 16","(쌍문동)","02-992-3462","http://www.sindobong.ms.kr","02-992-3468","남여공학","","N","일반계","","전기","주간","19680806","19681001","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7051190","선덕중학교","Sunduck Middle School","서울특별시북부교육지원청","01375","서울특별시 도봉구 시루봉로 53","/ 선덕중학교 (쌍문동)","02-993-4112","http://www.sunduck.ms.kr","02-992-0239","남여공학","","N","일반계","","전기","주간","19790131","19790915","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051183","북서울중학교","Bukseoul Middle School","서울특별시북부교육지원청","01305","서울특별시 도봉구 도봉로169가길 33","(도봉동)","02-956-1004","https://bukseoul.sen.ms.kr","02-955-8290","남여공학","","N","일반계","","전기","주간","19841208","19851208","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051182","백운중학교","Baekwoon Middle School","서울특별시북부교육지원청","01432","서울특별시 도봉구 도봉로129길 50","(쌍문동)","02-998-4035","http://www.baekwoon.ms.kr","02-998-4034","남여공학","","N","일반계","","전기","주간","19920301","19920506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051181","방학중학교","Banghak Middle School","서울특별시북부교육지원청","01358","서울특별시 도봉구 시루봉로 188","/ 방학중학교 (방학동)","02-956-8343","http://www.banghak.ms.kr","02-955-6260","남여공학","","N","일반계","","전기","주간","19820117","19820415","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051180","도봉중학교","Dobong Middle School","서울특별시북부교육지원청","01329","서울특별시 도봉구 마들로 671","(도봉동/도봉중학교)","02-954-4117","http://www.dobong.ms.kr","02-955-9112","남여공학","","N","일반계","","전기","주간","19710901","19711025","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7051176","노곡중학교","Nogok Middle School","서울특별시북부교육지원청","01419","서울특별시 도봉구 노해로70길 95","(창동/노곡중학교)","02-996-5232","http://www.nogok.ms.kr","02-996-5260","남여공학","","N","일반계","","전기","주간","19881219","19890506","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7051172","한신초등학교","Hansin Elementary School","서울특별시북부교육지원청","01438","서울특별시 도봉구 노해로49길 69","(쌍문동/한신초등학교)","02-901-7500","https://ihansin.sen.es.kr","02-906-5709","남여공학","","N","일반계","","전기","주간","19690605","19690605","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7051166","서울초당초등학교","Seoul Chodang Elementary School","서울특별시북부교육지원청","01364","서울특별시 도봉구 해등로32길 11","(방학동)","02-956-1561","http://www.chodang.es.kr","02-956-1563","남여공학","","N","일반계","","전기","주간","19930720","19931028","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7051164","서울창일초등학교","Seoul Chang-il Elementary School","서울특별시북부교육지원청","01424","서울특별시 도봉구 노해로66길 84","/ 창일초등학교 (창동)","02-996-9167","http://www.changil.es.kr","02-990-7224","남여공학","","N","일반계","","전기","주간","19900716","19901109","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7051163","서울창원초등학교","Seoul Changwon Elementary School","서울특별시북부교육지원청","01427","서울특별시 도봉구 해등로 103","(창동/서울창원초등학교)","02-991-9167","http://changwon.sen.es.kr","02-908-4937","남여공학","","N","일반계","","전기","주간","19900716","19901130","B10","서울특별시교육청","서울특별시","","","","20230615"
