"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","사립","7021168","서울삼육초등학교","SEOUL SAHMYOOK ELEMENTARY SCHOOL","서울특별시동부교육지원청","02458","서울특별시 동대문구 회기로10길 63","/ 서울삼육초등학교 (회기동)","02-966-4859","http://seoul36.es.kr","02-969-4183","남여공학","","N","일반계","","전기","주간","19190401","19131001","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021150","휘경중학교","Hwigyong Middle School","서울특별시동부교육지원청","02498","서울특별시 동대문구 망우로18나길 20","(휘경동/휘경중학교)","02-2244-1359","http://www.hwigyong.ms.kr","02-2215-6027","남여공학","","N","일반계","","전기","주간","19691111","19691111","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021149","휘경여자중학교","Hwikyung Girls’ Middle School","서울특별시동부교육지원청","02503","서울특별시 동대문구 한천로 247","/ 휘경여자중학교 (휘경동)","02-2244-8927","http://www.hwikyung.ms.kr","02-2214-9659","여","","N","일반계","","전기","주간","19700131","19700519","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021146","청량중학교","Cheongryang Middle School","서울특별시동부교육지원청","02461","서울특별시 동대문구 왕산로 301","(청량리동)","02-966-4284","http://cheongryang.sen.ms.kr","02-968-2857","남여공학","","N","일반계","","전기","주간","19510830","19510830","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021143","정화여자중학교","Jeonghwa Girls’ Middle School","서울특별시동부교육지원청","02480","서울특별시 동대문구 홍릉로15길 50","/ 정화여자중학교 (제기동)","02-966-9332","http://www.jhg.ms.kr","02-966-9336","여","","N","일반계","","전기","주간","19080901","19080901","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021142","전일중학교","Jeonil Middle School","서울특별시동부교육지원청","02506","서울특별시 동대문구 사가정로13길 67","/ 전일중학교 (전농동)","02-2245-2745","http://www.jeonil.ms.kr","02-2243-6693","남여공학","","N","일반계","","전기","주간","19740304","19741002","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021141","전동중학교","Jeondong Middle School","서울특별시동부교육지원청","02511","서울특별시 동대문구 장안벚꽃로 291","(휘경동/전동중학교)","02-2212-9266","http://jeondong.sen.ms.kr","02-2248-0372","남여공학","","N","일반계","","전기","주간","19841208","19850503","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021140","전농중학교","Jeonnong Middle School","서울특별시동부교육지원청","02506","서울특별시 동대문구 사가정로13길 71","(전농동/전농중학교)","02-2242-6652","http://www.jeonnong.ms.kr","02-2242-6651","남여공학","","N","일반계","","전기","주간","19671027","19680309","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021139","장평중학교","Jangpyung Middle School","서울특별시동부교육지원청","02640","서울특별시 동대문구 답십리로72길 158","/ 장평중학교 (장안동)","02-2243-8282","http://www.jangpyung.ms.kr","02-2243-8284","남여공학","","N","일반계","","전기","주간","19671020","19671020","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021133","숭인중학교","Soongin Middle School","서울특별시동부교육지원청","02592","서울특별시 동대문구 천호대로47길 34","(답십리동/ 숭인중학교)","02-2215-0176","http://www.soongin.ms.kr","02-2215-0554","남여공학","","N","일반계","","전기","주간","19741227","19750601","B10","서울특별시교육청","서울특별시","","","","20230623"
"중학교","공립","7021131","성일중학교","Sung-il Middle School","서울특별시동부교육지원청","02575","서울특별시 동대문구 왕산로23길 55","(제기동)","02-926-0211","http://sungil.ms.kr","02-926-7401","남여공학","","N","일반계","","전기","주간","19691101","19691004","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021126","동대문중학교","Dongdaemun Middle School","서울특별시동부교육지원청","02553","서울특별시 동대문구 사가정로 59","/ 동대문중학교 (전농동)","02-3407-4231","http://dongdaemun.sen.ms.kr","02-2212-1665","남여공학","","N","일반계","","전기","주간","19630123","19630318","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021125","동국대학교사범대학부속중학교","Middle School Attached to College of Education Dongguk University","서울특별시동부교육지원청","02520","서울특별시 동대문구 장안벚꽃로 201","(장안동)","02-6716-1700","http://dongguk.ms.kr","02-6716-1804","남","","N","일반계","","전기","주간","19470624","19470624","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021124","대광중학교","Daegwang Middle School","서울특별시동부교육지원청","02581","서울특별시 동대문구 안암로 6","(신설동)","02-940-2206","http://www.dgm.ms.kr","02-925-2975","남여공학","","N","일반계","","전기","주간","19471125","19471025","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021123","경희중학교","Kyunghee Middle School","서울특별시동부교육지원청","02447","서울특별시 동대문구 경희대로 26","/ 경희중학교 (회기동)","02-966-6402","http://www.kyunghee.ms.kr","02-962-3644","남","","N","일반계","","전기","주간","19591212","19600415","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021122","경희여자중학교","Kyunghee Girls’ Middle School","서울특별시동부교육지원청","02447","서울특별시 동대문구 경희대로 26","(회기동)","02-2250-8888","http://kyungheegls.sen.ms.kr","02-965-5998","여","","N","일반계","","전기","주간","19600209","19600518","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7021121","은석초등학교","Eunseok Elementary School","서울특별시동부교육지원청","02520","서울특별시 동대문구 장안벚꽃로 205","(장안동/ 은석초등학교)","02-6937-8180","http://eunseok.sen.es.kr/index.do","02-6937-8190","남여공학","","N","일반계","","전기","주간","19630328","19630416","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021120","서울휘봉초등학교","Seoul Hwibong Elementary School","서울특별시동부교육지원청","02511","서울특별시 동대문구 장안벚꽃로 309","(휘경동/서울휘봉초등학교)","02-2248-4644","http://hwibong.sen.es.kr","02-2248-4622","남여공학","","N","해당없음","","전기","주간","20060301","20060510","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021119","서울휘경초등학교","Seoul Hwykyung Elementary School","서울특별시동부교육지원청","02495","서울특별시 동대문구 망우로6길 48","(휘경동/ 서울휘경초등학교)","02-2244-4941","http://www.hwykyung.es.kr","02-2214-6961","남여공학","","N","일반계","","전기","주간","19591010","19591010","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021118","서울홍파초등학교","Seoul Hongpa Elementary School","서울특별시동부교육지원청","02479","서울특별시 동대문구 고산자로 518","(제기동)","02-967-8161","http://www.hongpa.es.kr","02-968-5763","남여공학","","N","일반계","","전기","주간","19590508","19600705","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021117","서울홍릉초등학교","Seoul Hongneung Elementary School","서울특별시동부교육지원청","02457","서울특별시 동대문구 회기로 90","(청량리동)","02-968-4701","http://www.hongneung.es.kr","02-969-5135","남여공학","","N","일반계","","전기","주간","19670915","19671130","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021116","서울청량초등학교","Seoul Chongryang Elementary School","서울특별시동부교육지원청","02452","서울특별시 동대문구 회기로25길 31","(회기동/서울청량초등학교)","02-962-1341","http://www.chongryang.es.kr","02-967-9996","남여공학","","N","일반계","","전기","주간","19370405","19370405","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021110","서울종암초등학교","Seoul Jongam Elementary School","서울특별시동부교육지원청","02574","서울특별시 동대문구 무학로44길 25","(제기동)","02-924-4125","http://www.jongam.es.kr","02-923-0173","남여공학","","N","일반계","","전기","주간","19220708","19220708","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021109","서울전동초등학교","Seoul Jeondong Elementary School","서울특별시동부교육지원청","02508","서울특별시 동대문구 전농로16길 61","/ 서울전동초등학교 (전농동)","02-2214-6574","https://jeondong.sen.es.kr","02-2216-0940","남여공학","","N","일반계","","전기","주간","19681206","19690520","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021108","서울전농초등학교","Seoul Jeonnong Elementary School","서울특별시동부교육지원청","02541","서울특별시 동대문구 사가정로 66","/ 서울전농초등학교 (전농동)","02-2247-0291","http://www.jeonnong.es.kr","02-2214-7238","남여공학","","N","일반계","","전기","주간","19420408","19420408","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021107","서울전곡초등학교","Seoul Jeongok Elementary School","서울특별시동부교육지원청","02505","서울특별시 동대문구 전농로 172","(전농동)","02-2242-6548","http://jeongok.sen.es.kr","02-2242-6549","남여공학","","N","일반계","","전기","주간","19590508","19610406","B10","서울특별시교육청","서울특별시","","","","20230615"
