"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7091486","내곡중학교","NAEGOK MIDDLE SCHOOL","서울특별시강남서초교육지원청","06799","서울특별시 서초구 청계산로7길 9-20","(신원동)","02-571-9532","https://naegok.sen.ms.kr","02-571-9533","남여공학","","N","해당없음","","후기","주간","20180208","20180501","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7091460","서울우솔초등학교","Seoul Woosol Elementary School","서울특별시강남서초교육지원청","06767","서울특별시 서초구 양재대로2길 74","/ 서울우솔초등학교 (우면동)","02-3463-9069","http://woosol.sen.es.kr","02-3463-9071","남여공학","","N","","","전기","주간","20130301","20130610","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091452","세화여자중학교","Sehwa Girls’ Middle School","서울특별시강남서초교육지원청","06548","서울특별시 서초구 신반포로 56-7","/ 세화여자중학교 (반포동/강당)","02-594-4887","http://www.sewha.ms.kr","02-594-4858","여","","N","일반계","","전기","주간","19780218","19780506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091451","서문여자중학교","Suhmoon Girls’ Middle School","서울특별시강남서초교육지원청","06565","서울특별시 서초구 동광로12길 84","(방배동)","02-3015-3600","https://suhmoon.sen.ms.kr/","02-594-6063","여","","N","일반계","","전기","주간","19781229","19781229","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7091450","동덕여자중학교","Dong Duk Girls’ Middle School","서울특별시강남서초교육지원청","06700","서울특별시 서초구 효령로2길 123-5","(방배동/동덕여자중고등학교)","02-586-5417","http://dongduk.sen.ms.kr","02-582-5428","여","","N","일반계","","전기","주간","19080427","19100427","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091447","이수중학교","Isu Middle School","서울특별시강남서초교육지원청","06689","서울특별시 서초구 방배중앙로3길 32","(방배동/이수중학교)","02-521-4651","http://www.isu.ms.kr","02-521-1283","남","","N","일반계","","전기","주간","19820107","19820921","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091446","원촌중학교","Wonchon Middle School","서울특별시강남서초교육지원청","06544","서울특별시 서초구 사평대로45길 10","(반포동/원촌중학교)","02-3482-6053","http://wonchon.sen.ms.kr","02-535-0238","남여공학","","N","일반계","","전기","주간","19821209","19830426","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091445","영동중학교","Youngdong Middle School","서울특별시강남서초교육지원청","06765","서울특별시 서초구 성촌길 14","(우면동/영동중학교)","02-3474-7386","http://youngdong.sen.ms.kr","02-3474-1960","남여공학","","N","일반계","","전기","주간","19691111","19700525","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091441","언남중학교","Eonnam Middle School","서울특별시강남서초교육지원청","06780","서울특별시 서초구 동산로 55","(양재동/언남중학교)","02-577-3038","www.eonnam.ms.kr","02-574-0546","남여공학","","N","일반계","","전기","주간","19881224","19890510","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091438","신반포중학교","Shinbanpo Middle School","서울특별시강남서초교육지원청","06504","서울특별시 서초구 신반포로19길 26","/ 신반포중학교 (반포동/신반포중학교)","02-537-6731","shinbanpo.sen.ms.kr","02-593-0964","남여공학","","N","일반계","","전기","주간","19840109","19840502","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091437","신동중학교","Shindong Middle School","서울특별시강남서초교육지원청","06516","서울특별시 서초구 나루터로 27","/ 신동중학교 (잠원동/신동중학교)","02-594-6456","http://shindong.ms.kr","02-595-6458","남여공학","","N","일반계","","전기","주간","19900120","19900522","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7091434","서초중학교","Seocho Middle School","서울특별시강남서초교육지원청","06670","서울특별시 서초구 반포대로13길 48","(서초동/서초중학교)","02-583-0105","http://seocho.sen.ms.kr","02-583-8274","남여공학","","N","일반계","","전기","주간","19790830","19790830","B10","서울특별시교육청","서울특별시","","","","20230615"
