"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7121370","숭곡중학교","Soonggok Middle School","서울특별시성북강북교육지원청","02736","서울특별시 성북구 종암로 208","/ 숭곡중학교 (하월곡동)","02-912-7572","http://www.soonggok.ms.kr","02-912-7573","남여공학","","N","해당없음","","후기","주간","20110113","20110506","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121368","홍익대학교사범대학부속중학교","HONGIK University Middle School","서울특별시성북강북교육지원청","02835","서울특별시 성북구 성북로14가길 23","/ 홍익대학교사범대학부속중학교 (성북동/홍익대학교부속중고등학교)","02-762-0824","http://hongik.sen.ms.kr","02-765-4520","남","","N","일반계","","전기","주간","19540412","19540412","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121367","한성여자중학교","Hansung Girls’ Middle School","서울특별시성북강북교육지원청","02876","서울특별시 성북구 삼선교로16길 118","(삼선동2가/한성여자중학교)","02-742-2542","http://hansung.sen.ms.kr","02-745-8858","여","","N","일반계","","전기","주간","19451005","19451005","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121363","성신여자중학교","Sungshin Girls’ Middle School","서울특별시성북강북교육지원청","02840","서울특별시 성북구 북악산로 918","(돈암동/성신여자중학교)","02-929-1898","http://www.sung-shin.ms.kr","02-929-1890","여","","N","일반계","","전기","주간","19360428","19360428","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121361","동구여자중학교","Dong-gu Girls’ Middle School","서울특별시성북강북교육지원청","02834","서울특별시 성북구 성북로8길 71","(성북동/동구여자중학교)","02-762-1304","http://www.dong-gu.ms.kr","02-762-0308","여","","N","일반계","","전기","주간","19420617","19420617","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121360","남대문중학교","Namdaemun Middle School","서울특별시성북강북교육지원청","02763","서울특별시 성북구 한천로 660-30","(장위동/ 남대문중학교)","02-942-3184","http://namdaemoon.sen.ms.kr","02-942-3185","남","","N","일반계","","전기","주간","19340520","19340520","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121359","고명중학교","Komyung Middle School","서울특별시성북강북교육지원청","02828","서울특별시 성북구 북악산로 870","(돈암동/고명중학교)","02-926-2837","http://komyung.sen.ms.kr","02-921-8443","남","","N","일반계","","전기","주간","19550315","19550520","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121358","고려대학교사범대학부속중학교","Korea University Middle School","서울특별시성북강북교육지원청","02708","서울특별시 성북구 정릉로 161","(정릉동/고려대학교사범대학부속중학교)","02-914-8853","http://www.koryo.ms.kr","02-942-5626","남여공학","","N","일반계","","전기","주간","19680311","19680311","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121357","길음중학교","Gireum Middle School","서울특별시성북강북교육지원청","02723","서울특별시 성북구 길음로 144","/ 길음중학교 (길음동)","02-910-8770","http://www.gireum.ms.kr","02-910-8769","남여공학","","N","해당없음","","전기","주간","20120301","20120301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121355","종암중학교","Jongam Middle School","서울특별시성북강북교육지원청","02809","서울특별시 성북구 종암로5길 80-17","(종암동/종암중학교)","02-928-7041","http://jongam.sen.ms.kr","02-922-1969","남여공학","","N","일반계","","전기","주간","19800409","19800409","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121354","장위중학교","Jangwi Middle School","서울특별시성북강북교육지원청","02743","서울특별시 성북구 장위로4길 70","(장위동/장위중학교)","02-941-1672","http://www.jangwi.ms.kr","02-919-4360","남여공학","","N","일반계","","전기","주간","19841208","19841208","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121352","월곡중학교","Wolgok Middle School","서울특별시성북강북교육지원청","02773","서울특별시 성북구 장월로 6","(상월곡동/월곡중학교)","02-6496-6600","http://www.wolgok.ms.kr","02-6496-6692","남여공학","","N","일반계","","전기","주간","19860129","19860514","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7121351","용문중학교","Yongmoon Middle School","서울특별시성북강북교육지원청","02843","서울특별시 성북구 고려대로17가길 46","(안암동2가/ 용문중고등학교)","02-926-4238","http://yongmoon.sen.ms.kr","02-6012-3633","남","","N","일반계","","전기","주간","19461012","19461012","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121348","석관중학교","Seokgwan Middle School","서울특별시성북강북교육지원청","02782","서울특별시 성북구 한천로 526","(석관동/석관중학교)","02-962-2276","http://www.seokgwan.ms.kr","02-967-2057","남여공학","","N","일반계","","전기","주간","19821209","19821209","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121347","삼선중학교","Samseon Middle School","서울특별시성북강북교육지원청","02833","서울특별시 성북구 동소문로3길 69","(동소문동4가/삼선중학교)","02-742-1147","http://www.samseon.ms.kr","02-741-5711","남","","N","일반계","","전기","주간","19600219","19600503","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7121345","북악중학교","Bugak Middle School","서울특별시성북강북교육지원청","02812","서울특별시 성북구 정릉로12길 41","(정릉동/북악중학교)","02-910-2311","http://www.bugak.ms.kr","02-919-5097","남여공학","","N","일반계","","전기","주간","19840110","19840427","B10","서울특별시교육청","서울특별시","","","","20230615"
