,gu,chi_per_tea,child,teacher
0,송파구,4.6,12990,2825
1,강남구,4.1,6846,1666
2,서초구,4.4,7077,1622
3,관악구,4.6,6335,1380
4,동작구,4.3,6022,1389
5,영등포구,4.2,8726,2077
6,금천구,4.6,4726,1038
7,구로구,4.8,8942,1869
8,강서구,4.5,10729,2367
9,양천구,4.6,7413,1606
10,마포구,4.2,6464,1536
11,서대문구,4.6,5150,1116
12,강동구,4.8,9878,2054
13,은평구,4.5,8586,1900
14,노원구,4.0,7765,1943
15,도봉구,4.4,5222,1195
16,강북구,4.9,4877,989
17,성북구,4.4,6885,1570
18,중랑구,4.5,7387,1645
19,동대문구,4.8,6102,1276
20,광진구,4.4,4937,1123
21,성동구,4.4,5286,1205
22,용산구,4.4,3728,845
23,중구구,3.9,2712,696
24,종로구,3.6,2642,735
