,gu,student,teacher,st_per_tea
1,종로구,1019,96,10.6
2,중구,937,91,10.3
3,용산구,1288,126,10.2
4,성동구,1865,180,10.4
5,광진구,2106,201,10.5
6,동대문구,2474,237,10.4
7,중랑구,2708,275,9.8
8,성북구,4099,405,10.1
9,강북구,1193,124,9.6
10,도봉구,2083,215,9.7
11,노원구,5010,476,10.5
12,은평구,2916,285,10.2
13,서대문구,2227,203,11.0
14,마포구,2619,245,10.7
15,양천구,3457,362,9.5
16,강서구,4380,423,10.4
17,구로구,2534,243,10.4
18,금천구,1393,125,11.1
19,영등포구,3254,312,10.4
20,동작구,2616,247,10.6
21,관악구,2375,254,9.4
22,서초구,2155,216,10.0
23,강남구,2780,299,9.3
24,송파구,5104,486,10.5
25,강동구,3932,320,12.3
