"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"중학교","공립","7061117","청운중학교","Cheong-un Middle School","서울특별시중부교육지원청","03047","서울특별시 종로구 창의문로 51","(청운동)","02-737-0582","https://cheongun.sen.ms.kr","02-723-4370","남","","N","일반계","","전기","주간","19520201","19520201","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061115","중앙중학교","Choongang Middle School","서울특별시중부교육지원청","03051","서울특별시 종로구 창덕궁길 164","(계동)","02-742-1325","https://choongang.sen.ms.kr/","02-745-3643","남여공학","","N","일반계","","전기","주간","19080601","19080620","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061104","상명대학교사범대학부속여자중학교","Girls` Middle School Attached to College of Education Sang Myung University","서울특별시중부교육지원청","03016","서울특별시 종로구 홍지문2길 20","(홍지동)","02-394-8672","http://sangmyung-agm.sen.ms.kr","02-6927-0229","여","","N","일반계","","전기","주간","19661117","19661117","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061102","배화여자중학교","Paiwha Girls’ Middle School","서울특별시중부교육지원청","03039","서울특별시 종로구 필운대로1길 34","/ 배화여자중학교 (필운동)","02-725-6451","http://www.paiwha.ms.kr","02-725-4934","여","","N","일반계","","전기","주간","18981002","18981002","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061100","동성중학교","Dongsung Middle School","서울특별시중부교육지원청","03083","서울특별시 종로구 대학로 156","(혜화동)","02-3671-9101","sds.sen.ms.kr","02-764-9855","남","","N","일반계","","전기","주간","19070908","19381208","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061098","덕성여자중학교","Duksung Girls’ Middle School","서울특별시중부교육지원청","03062","서울특별시 종로구 율곡로3길 49","(송현동)","02-733-4807","http://duksung.ms.kr","02-720-0972","여","","N","일반계","","전기","주간","19200419","19461001","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061097","대신중학교","Daeshin Middle School","서울특별시중부교육지원청","03029","서울특별시 종로구 사직로 9","(행촌동)","02-736-0318","http://dae-shin.sen.ms.kr","070-8668-1995","남","","N","일반계","","전기","주간","19380405","19380405","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7061094","경신중학교","Kyungshin Middle School","서울특별시중부교육지원청","03067","서울특별시 종로구 혜화로 74","(혜화동/경신중고등학교)","02-762-0313","https://ksms.sen.ms.kr","02-763-6034","남","","N","일반계","","전기","주간","18850509","18850509","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","사립","7061093","운현초등학교","Unhyun Elementary School","서울특별시중부교육지원청","03131","서울특별시 종로구 삼일대로 460","(운니동/운현초등학교)","02-765-0895","http://unhyun.sen.es.kr","02-745-4206","남여공학","","N","일반계","","전기","주간","19860304","19860304","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061088","서울효제초등학교","Seoul Hyoje Elementary School","서울특별시중부교육지원청","03126","서울특별시 종로구 대학로 12","/ 서울효제초등학교 (효제동)","02-762-4279","https://hyoje.sen.es.kr/","02-764-5393","남여공학","","N","일반계","","전기","주간","18951115","18951115","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061087","서울혜화초등학교","Seoul Hyehwa Elementary School","서울특별시중부교육지원청","03067","서울특별시 종로구 혜화로 32","/ 서울혜화초등학교 (혜화동)","02-762-6437","http://www.hyehwa-e.seoul.kr","02-762-0412","남여공학","","N","일반계","","전기","주간","19100125","19100125","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061082","서울청운초등학교","Seoul Chungwoon Elementary School","서울특별시중부교육지원청","03032","서울특별시 종로구 자하문로 105","/ 청운초등학교 (청운동)","02-737-0218","http://www.chungwoon.es.kr/","02-722-0984","남여공학","","N","일반계","","전기","주간","19230401","19230401","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7061080","서울창신초등학교","Seoul Changshin Elementary School","서울특별시중부교육지원청","03103","서울특별시 종로구 지봉로 73","/ 서울창신초등학교 (창신동)","02-763-3160","chang-shin.es.kr","02-764-8826","남여공학","","N","일반계","","전기","주간","19160520","19160520","B10","서울특별시교육청","서울특별시","","","","20230615"
