"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","주야과정","계열명","학과명","적재일시"
"초등학교","공립","7021205","서울양원숲초등학교","SEOUL YANGWONSOOP ELEMENTARY SCHOOL","서울특별시동부교육지원청","02057","서울특별시 중랑구 양원역로 95","(망우동/ 서울양원숲초등학교)","02-493-9701","https://yangwonsoop.sen.es.kr/index.do","02-493-9497","남여공학","","N","","","전기","주간","20220301","20220501","B10","서울특별시교육청","서울특별시","","","","20230615"
"초등학교","공립","7021181","서울새솔초등학교","Seoul Saesol Elementary School","서울특별시동부교육지원청","02055","서울특별시 중랑구 신내역로1길 164","(신내동/서울새솔초등학교)","02-490-2500","http://saesol.sen.es.kr","02-490-2590","남여공학","","N","해당없음","","후기","주간","20140301","20140501","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021148","혜원여자중학교","Hyewon Girls’ Middle School","서울특별시동부교육지원청","02174","서울특별시 중랑구 봉우재로58길 39","(망우동/혜원여자중고등학교)","02-434-5947","http://hyewon.ms.kr","02-492-5703","여","","N","일반계","","전기","주간","19700115","19700305","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021147","태릉중학교","Taereung Middle School","서울특별시동부교육지원청","02040","서울특별시 중랑구 공릉로2길 60-25","(묵동)","02-973-5551","www.taereung.ms.kr","02-971-2113","남여공학","","N","일반계","","전기","주간","19720901","19760318","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021145","중화중학교","Junghwa Middle School","서울특별시동부교육지원청","02193","서울특별시 중랑구 용마산로 364","(면목동/중화중학교)","02-439-5811","http://www.junghwa.ms.kr","02-434-4781","남여공학","","N","일반계","","전기","주간","19700303","19700303","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021144","중랑중학교","Joongrang Middle School","서울특별시동부교육지원청","02047","서울특별시 중랑구 동일로140길 33","/ 중랑중학교 (중화동)","02-437-5312","http://www.joongrang.ms.kr","02-494-3694","남여공학","","N","일반계","","전기","주간","19721229","19731015","B10","서울특별시교육청","서울특별시","","","","20230624"
"중학교","공립","7021138","장안중학교","Jang-an Middle School","서울특별시동부교육지원청","02088","서울특별시 중랑구 동일로 780","/ 장안중학교 (중화동)","02-6930-3300","http://www.jangan70.ms.kr","02-496-6344","남여공학","","N","일반계","","전기","주간","19691111","19691111","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021137","원묵중학교","Wonmook Middle School","서울특별시동부교육지원청","02022","서울특별시 중랑구 신내로23길 57","/ 원묵중학교 (묵동)","02-2094-9800","http://wonmook.ms.kr","02-2094-9862","남여공학","","N","일반계","","전기","주간","19960115","19961022","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","공립","7021136","용마중학교","Yongma Middle School","서울특별시동부교육지원청","02254","서울특별시 중랑구 면목로28길 18","/ 용마중학교 (면목동)","02-439-6220","http://yongma.ms.kr","02-439-3968","남여공학","","N","일반계","","전기","주간","20010301","20000301","B10","서울특별시교육청","서울특별시","","","","20230615"
"중학교","사립","7021135","영란여자중학교","Youngran Girls’ Middle School","서울특별시동부교육지원청","02061","서울특별시 중랑구 망우로73길 56","(망우동)","02-2209-0143","http://www.youngran.ms.kr","02-2209-2683","여","","N","일반계","","전기","주간","19690115","19690115","B10","서울특별시교육청","서울특별시","","","","20230615"
