"시설ID","시설명","서비스분류코드","서비스분류","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","연락처","사용료","학기시작시간","학기종료시간","방학시작시간","방학종료시간","토요일운영여부","토요일운영시작시간","토요일운영종료시간","등록일시","수정일시"
"DM230901","희망주는 지역아동센터","1003","지역아동센터","11230","동대문구","1003","초등학생","","","","","","02-2246-3323","","","","","","N","","","2023-09-05 16:55:00.0",""
"GB230802","아름다운땅지역아동센터","1003","지역아동센터","11305","강북구","1003","초등학생","","","","","","02-986-9090","","","","","","N","","","2023-08-01 16:55:01.0",""
"GB230801","동산비젼스쿨지역아동센터","1003","지역아동센터","11305","강북구","1003","초등학생","","","","","","02-945-5240","","","","","","N","","","2023-08-01 16:55:00.0",""
"GR230701","구로구공립지역아동센터","1003","지역아동센터","11530","구로구","1003","초등학생","","","","","","02-2615-9060","","","","","","N","","","2023-07-14 16:55:00.0",""
"GS230701","방화지역아동센터","1003","지역아동센터","11500","강서구","1003","초등학생","","","","","","02-2662-6277","","","","","","N","","","2023-07-08 16:55:00.0",""
"MP230701","열린지역아동센터","1003","지역아동센터","11440","마포구","1003","초등학생","","","","","","02-304-1930","","","","","","N","","","2023-07-07 16:55:00.0",""
"DJ230602","좋은친구들지역아동센터","1003","지역아동센터","11590","동작구","1003","초등학생","","","","","","02-587-0203","","","","","","N","","","2023-06-06 16:55:00.0",""
"DJ230601","좋은친구들지역아동센터","1003","지역아동센터","11590","동작구","1003","초등학생","","","","","","02-587-0203","","","","","","N","","","2023-06-06 16:55:00.0",""
"DJ230603","좋은친구들지역아동센터","1003","지역아동센터","11590","동작구","1003","초등학생","","","","","","02-587-0203","","","","","","N","","","2023-06-06 16:55:00.0",""
"YC230203","꿈나무들의둥지지역아동센터","1003","지역아동센터","11470","양천구","1003","초등학생","126.86637","37.54423","07949","서울특별시 양천구 목동중앙북로8길 104","2층 (목동)","02-2651-2303","0","1000","1900","","","N","","","2023-02-22 16:55:00.0",""
"GB230203","송천동지역아동센터","1003","지역아동센터","11305","강북구","1003","초등학생","127.02509","37.61515","01208","서울특별시 강북구 삼양로20길 53","2,3층 (미아동)","02-984-2237","0","1100","2100","","","N","","","2023-02-04 16:55:00.0",""
"GD230105","들꽃청소년지역아동센터","1003","지역아동센터","11740","강동구","1003","초등학생","127.12642","37.54553","05323","서울특별시 강동구 천중로 39"," (천호동)","02-478-0504","0","1100","2000","","","N","","","2023-01-12 16:55:00.0",""
"GD230103","꿈꾸는땅지역아동센터","1003","지역아동센터","11740","강동구","1003","초등학생","127.1767","37.57272","05415","서울특별시 강동구 아리수로93나길 90"," (강일동)","02-3427-0679","","","","","","N","","","2023-01-09 16:55:00.0",""
"GD221201","천호지역아동센터","1003","지역아동센터","11740","강동구","1003","초등학생","127.13211","37.54341","05330","서울특별시 강동구 구천면로 260","2층 (천호동)","02-6408-0826","","","","","","N","","","2022-12-06 16:55:00.0",""
