구별,동별,합계,외국인,외국인 비율
종로구,소계,152211,10832,0.07
종로구,사직동,9355,268,0.03
종로구,삼청동,2642,311,0.12
종로구,부암동,9536,295,0.03
종로구,평창동,17858,195,0.01
종로구,무악동,8052,29,0.0
종로구,교남동,9994,178,0.02
종로구,가회동,4065,124,0.03
종로구,종로1.2.3.4가동,8700,1972,0.23
종로구,종로5.6가동,5817,517,0.09
종로구,이화동,7631,530,0.07
종로구,창신1동,5383,737,0.14
종로구,창신2동,8796,1090,0.12
종로구,창신3동,6606,157,0.02
종로구,숭인1동,6057,288,0.05
종로구,숭인2동,10509,702,0.07
종로구,청운효자동,11818,190,0.02
종로구,혜화동,19392,3249,0.17
중구,소계,130785,10348,0.08
중구,소공동,3578,1334,0.37
중구,회현동,5222,678,0.13
중구,명동,3638,899,0.25
중구,필동,4816,843,0.18
중구,장충동,5326,755,0.14
중구,광희동,6682,1480,0.22
중구,을지로동,1912,251,0.13
중구,신당5동,10513,333,0.03
중구,황학동,13459,855,0.06
중구,중림동,12338,329,0.03
중구,신당동,9087,1469,0.16
중구,다산동,13954,480,0.03
중구,약수동,16610,215,0.01
중구,청구동,13451,252,0.02
중구,동화동,10199,175,0.02
용산구,소계,233284,14634,0.06
용산구,후암동,16812,491,0.03
용산구,용산2가동,10333,1317,0.13
용산구,남영동,7552,452,0.06
용산구,원효로2동,13795,117,0.01
용산구,효창동,10888,145,0.01
용산구,용문동,11664,111,0.01
용산구,이촌1동,25707,637,0.02
용산구,이촌2동,8094,67,0.01
용산구,이태원1동,7947,1830,0.23
용산구,이태원2동,10427,1696,0.16
용산구,서빙고동,13458,868,0.06
용산구,보광동,14060,1345,0.1
용산구,청파동,19833,739,0.04
용산구,원효로1동,17774,630,0.04
용산구,한강로동,22886,1643,0.07
용산구,한남동,22054,2546,0.12
성동구,소계,288234,7234,0.03
성동구,왕십리2동,16688,384,0.02
성동구,마장동,22706,672,0.03
성동구,사근동,14082,2101,0.15
성동구,행당1동,13996,320,0.02
성동구,행당2동,23148,92,0.0
성동구,응봉동,15100,53,0.0
성동구,금호1가동,15137,81,0.01
성동구,금호4가동,14228,130,0.01
성동구,성수1가1동,16407,318,0.02
성동구,성수1가2동,12322,199,0.02
성동구,성수2가1동,15716,460,0.03
성동구,성수2가3동,10520,229,0.02
성동구,송정동,10464,383,0.04
성동구,용답동,12551,901,0.07
성동구,왕십리도선동,26903,483,0.02
성동구,금호2.3가동,22423,170,0.01
성동구,옥수동,25843,258,0.01
광진구,소계,351252,13836,0.04
광진구,화양동,27082,3645,0.13
광진구,군자동,21524,2099,0.1
광진구,중곡1동,15663,364,0.02
광진구,중곡2동,21336,337,0.02
광진구,중곡3동,16177,232,0.01
광진구,중곡4동,28405,370,0.01
광진구,능동,11561,381,0.03
광진구,구의1동,24049,662,0.03
광진구,구의2동,26573,530,0.02
광진구,구의3동,28440,229,0.01
광진구,광장동,34362,194,0.01
광진구,자양1동,22709,847,0.04
광진구,자양2동,24253,307,0.01
광진구,자양3동,27858,305,0.01
광진구,자양4동,21260,3334,0.16
