자치구별,경찰서 및 지구대,구별 면적(km²),경찰서 1개당 면적
종로구,24,23.91,0.99625
중구,20,9.96,0.498
용산구,13,21.87,1.68230769230769
성동구,16,16.82,1.05125
광진구,13,17.06,1.31230769230769
동대문구,21,14.22,0.677142857142857
중랑구,18,18.50,1.02777777777778
성북구,26,24.58,0.945384615384615
강북구,15,23.60,1.57333333333333
도봉구,10,20.65,2.065
노원구,17,35.44,2.08470588235294
은평구,22,29.71,1.35045454545455
서대문구,11,17.63,1.60272727272727
마포구,16,23.85,1.490625
양천구,16,17.41,1.088125
강서구,13,41.45,3.18846153846154
구로구,18,20.12,1.11777777777778
금천구,13,13.02,1.00153846153846
영등포구,16,24.55,1.534375
동작구,18,16.36,0.908888888888889
관악구,19,29.57,1.55631578947368
서초구,21,46.97,2.23666666666667
강남구,23,39.50,1.71739130434783
송파구,22,33.88,1.54
강동구,17,24.59,1.44647058823529
