구,동,병원수
종로구,사직동,75
종로구,삼청동,11
종로구,부암동,4
종로구,평창동,15
종로구,무악동,6
종로구,교남동,13
종로구,가회동,8
종로구,종로1.2.3.4가동,160
종로구,종로5.6가동,83
종로구,이화동,13
종로구,창신1동,34
종로구,창신2동,11
종로구,창신3동,1
종로구,숭인1동,14
종로구,숭인2동,10
종로구,청운효자동,11
종로구,혜화동,31
중구,소공동,65
중구,회현동,64
중구,명동,146
중구,필동,21
중구,장충동,8
중구,광희동,33
중구,을지로동,36
중구,신당5동,23
중구,황학동,18
중구,중림동,18
중구,신당동,26
중구,다산동,28
중구,약수동,33
중구,청구동,10
중구,동화동,14
용산구,후암동,15
용산구,용산2가동,6
용산구,남영동,36
용산구,원효로2동,7
용산구,효창동,12
용산구,용문동,13
용산구,이촌1동,46
용산구,이촌2동,3
용산구,이태원1동,15
용산구,이태원2동,7
용산구,서빙고동,1
용산구,보광동,21
용산구,청파동,17
용산구,원효로1동,20
용산구,한강로동,48
용산구,한남동,31
성동구,왕십리2동,14
성동구,마장동,20
성동구,사근동,2
성동구,행당1동,55
성동구,행당2동,35
성동구,응봉동,9
성동구,금호1가동,15
성동구,금호4가동,28
성동구,성수1가1동,15
성동구,성수1가2동,11
성동구,성수2가1동,34
성동구,성수2가3동,25
성동구,송정동,5
성동구,용답동,27
성동구,왕십리도선동,70
성동구,금호2.3가동,36
성동구,옥수동,31
광진구,화양동,52
광진구,군자동,37
광진구,중곡1동,32
광진구,중곡2동,46
광진구,중곡3동,23
광진구,중곡4동,34
광진구,능동,18
광진구,구의1동,33
광진구,구의2동,26
광진구,구의3동,54
광진구,광장동,32
광진구,자양1동,57
광진구,자양2동,27
광진구,자양3동,29
광진구,자양4동,43
동대문구,회기동,13
동대문구,휘경1동,28
동대문구,휘경2동,8
동대문구,청량리동,51
동대문구,용신동,64
동대문구,제기동,105
동대문구,전농1동,39
동대문구,전농2동,30
동대문구,답십리1동,51
동대문구,답십리2동,28
동대문구,장안1동,69
동대문구,장안2동,62
동대문구,이문1동,41
동대문구,이문2동,16
중랑구,면목2동,27
중랑구,면목4동,11
중랑구,면목5동,3
중랑구,면목7동,40
중랑구,상봉1동,26
중랑구,상봉2동,38
중랑구,중화1동,20
중랑구,중화2동,38
중랑구,묵1동,32
중랑구,묵2동,27
중랑구,망우3동,11
중랑구,신내1동,39
중랑구,신내2동,25
중랑구,면목본동,51
중랑구,면목3.8동,36
중랑구,망우본동,67
성북구,돈암1동,14
성북구,돈암2동,8
성북구,안암동,14
성북구,보문동,21
성북구,정릉1동,29
성북구,정릉2동,18
성북구,정릉3동,4
성북구,정릉4동,20
성북구,길음1동,48
성북구,길음2동,18
성북구,월곡1동,36
성북구,월곡2동,30
성북구,장위1동,20
성북구,장위2동,17
성북구,장위3동,7
성북구,성북동,30
성북구,삼선동,52
성북구,동선동,60
성북구,종암동,44
성북구,석관동,35
강북구,번1동,46
강북구,번2동,11
강북구,번3동,17
강북구,수유1동,27
강북구,수유2동,23
강북구,수유3동,69
강북구,삼양동,40
강북구,미아동,67
강북구,송중동,45
강북구,송천동,45
강북구,삼각산동,29
강북구,우이동,10
강북구,인수동,18
도봉구,쌍문1동,18
도봉구,쌍문2동,36
도봉구,쌍문3동,20
도봉구,쌍문4동,11
도봉구,방학1동,62
도봉구,방학2동,18
도봉구,방학3동,19
도봉구,창1동,28
도봉구,창2동,16
도봉구,창3동,15
도봉구,창4동,37
도봉구,창5동,45
도봉구,도봉1동,30
도봉구,도봉2동,12
노원구,월계1동,33
노원구,월계2동,17
노원구,월계3동,20
노원구,공릉2동,33
노원구,하계1동,20
노원구,하계2동,10
노원구,중계본동,29
