구별,동별,주택수,일반가구수(가구),주택보급률
소계,소계,3015371,3982290,75.7
종로구,소계,46859,63414,73.9
종로구,사직동,2778,3839,72.4
종로구,삼청동,730,1031,70.8
종로구,부암동,3070,3773,81.4
종로구,평창동,5958,6265,95.1
종로구,무악동,2860,2883,99.2
종로구,교남동,3917,4106,95.4
종로구,가회동,1601,1733,92.4
종로구,종로1.2.3.4가동,1652,3636,45.4
종로구,종로5.6가동,1319,2692,49.0
종로구,이화동,2624,3883,67.6
종로구,혜화동,5065,8805,57.5
종로구,창신1동,1589,2340,67.9
종로구,창신2동,2466,3484,70.8
종로구,창신3동,2150,2598,82.8
종로구,숭인1동,1588,2622,60.6
종로구,숭인2동,3358,5065,66.3
종로구,청운효자동,4134,4659,88.7
중구,소계,42234,55093,76.7
중구,소공동,685,925,74.1
중구,회현동,1744,2010,86.8
중구,명동,547,1061,51.6
중구,필동,1191,1906,62.5
중구,장충동,2433,2628,92.6
중구,광희동,1828,2559,71.4
중구,을지로동,422,1114,37.9
중구,신당5동,3376,4949,68.2
중구,황학동,3959,6213,63.7
중구,중림동,4324,4976,86.9
중구,신당동,2526,4028,62.7
중구,다산동,4507,6264,72.0
중구,약수동,6584,6925,95.1
중구,청구동,4928,5764,85.5
중구,동화동,3180,3771,84.3
용산구,소계,74542,95714,77.9
용산구,후암동,5363,7283,73.6
용산구,용산2가동,3243,4502,72.0
용산구,남영동,1714,3789,45.2
용산구,원효로2동,4631,5443,85.1
용산구,효창동,3463,3922,88.3
용산구,용문동,4231,4937,85.7
용산구,이촌1동,9540,8975,106.3
용산구,이촌2동,3415,3302,103.4
용산구,이태원1동,2198,3105,70.8
용산구,이태원2동,3058,4144,73.8
용산구,서빙고동,4268,4701,90.8
용산구,보광동,3588,6643,54.0
용산구,청파동,5636,9829,57.3
용산구,원효로1동,5251,6919,75.9
용산구,한강로동,6769,8785,77.1
용산구,한남동,8174,9435,86.6
성동구,소계,91329,122186,74.8
성동구,왕십리2동,5060,6925,73.1
성동구,마장동,6564,9719,67.5
성동구,사근동,3183,7150,44.5
성동구,행당1동,4990,5748,86.8
성동구,행당2동,8481,8747,97.0
성동구,응봉동,5322,5497,96.8
성동구,금호1가동,6021,6045,99.6
성동구,금호4가동,5223,5812,89.9
성동구,성수1가1동,4897,6937,70.6
성동구,성수1가2동,3689,6102,60.5
성동구,성수2가1동,4288,7425,57.8
성동구,성수2가3동,2944,4888,60.2
성동구,송정동,2331,5057,46.1
성동구,용답동,2504,5876,42.6
성동구,왕십리도선동,8480,10999,77.1
성동구,금호2.3가동,7453,9185,81.1
성동구,옥수동,9899,10074,98.3
광진구,소계,89832,152090,59.1
광진구,화양동,5296,16621,31.9
광진구,군자동,4556,10235,44.5
광진구,중곡1동,3613,7345,49.2
광진구,중곡2동,4986,9615,51.9
광진구,중곡3동,3870,7555,51.2
광진구,중곡4동,7366,11930,61.7
광진구,능동,2531,6044,41.9
광진구,구의1동,5195,11002,47.2
광진구,구의2동,7341,10455,70.2
광진구,구의3동,9070,11111,81.6
광진구,광장동,10349,11150,92.8
광진구,자양1동,5398,10495,51.4
광진구,자양2동,7066,10163,69.5
광진구,자양3동,8582,10044,85.4
광진구,자양4동,4613,8325,55.4
동대문구,소계,103520,150373,68.8
동대문구,회기동,3115,6328,49.2
동대문구,휘경1동,4327,6643,65.1
동대문구,휘경2동,6802,10915,62.3
동대문구,청량리동,6209,8652,71.8
동대문구,용신동,8495,15702,54.1
동대문구,제기동,7896,11662,67.7
동대문구,전농1동,8308,13584,61.2
동대문구,전농2동,6437,7163,89.9
동대문구,답십리2동,9791,11756,83.3
동대문구,장안1동,11799,15931,74.1
동대문구,장안2동,9852,12363,79.7
동대문구,이문1동,4948,9934,49.8
동대문구,이문2동,6280,8173,76.8
