,구,동,all_kin,pub_kin,ratio_kin,all_chi,pub_chi,ratio_chi
0,마포구,염리동,8,6,75.0,2.0,1.0,50.0
1,중랑구,면목5동,5,3,60.0,0.0,0.0,0.0
2,관악구,보라매동,12,4,33.33333333333333,1.0,1.0,100.0
3,성북구,장위2동,7,1,14.285714285714285,1.0,1.0,100.0
4,금천구,독산2동,10,5,50.0,2.0,2.0,100.0
5,마포구,대흥동,4,4,100.0,2.0,2.0,100.0
6,송파구,마천2동,11,2,18.181818181818183,1.0,1.0,100.0
7,송파구,송파1동,12,3,25.0,1.0,1.0,100.0
8,은평구,갈현1동,8,4,50.0,0.0,0.0,0.0
9,송파구,잠실본동,7,2,28.57142857142857,0.0,0.0,0.0
10,광진구,능동,4,3,75.0,2.0,0.0,0.0
11,광진구,자양1동,9,3,33.33333333333333,3.0,1.0,33.33333333333333
12,광진구,중곡3동,11,3,27.27272727272727,1.0,1.0,100.0
13,종로구,숭인1동,2,2,100.0,1.0,0.0,0.0
14,동대문구,용신동,14,6,42.85714285714285,1.0,0.0,0.0
15,관악구,남현동,6,1,16.666666666666664,2.0,1.0,50.0
16,동작구,사당4동,8,2,25.0,0.0,0.0,0.0
17,성동구,송정동,5,2,40.0,1.0,1.0,100.0
18,중랑구,망우3동,6,1,16.666666666666664,1.0,1.0,100.0
19,강동구,천호3동,8,3,37.5,2.0,0.0,0.0
20,강서구,화곡1동,17,4,23.52941176470588,2.0,2.0,100.0
21,동대문구,회기동,5,2,40.0,2.0,0.0,0.0
22,금천구,독산4동,10,3,30.0,1.0,1.0,100.0
23,광진구,중곡1동,3,2,66.66666666666666,0.0,0.0,0.0
24,동대문구,이문1동,8,4,50.0,2.0,0.0,0.0
25,강북구,번2동,5,2,40.0,1.0,0.0,0.0
26,중구,필동,1,1,100.0,2.0,0.0,0.0
27,중랑구,면목본동,11,2,18.181818181818183,3.0,2.0,66.66666666666666
28,중랑구,면목3.8동,12,6,50.0,1.0,0.0,0.0
29,광진구,군자동,10,4,40.0,2.0,0.0,0.0
30,강동구,성내2동,9,2,22.22222222222222,0.0,0.0,0.0
31,동대문구,제기동,10,6,60.0,2.0,1.0,50.0
32,동대문구,청량리동,8,3,37.5,1.0,0.0,0.0
33,관악구,인헌동,9,4,44.44444444444444,1.0,0.0,0.0
34,은평구,응암3동,5,2,40.0,2.0,1.0,50.0
35,중구,다산동,4,1,25.0,2.0,1.0,50.0
36,도봉구,도봉1동,6,2,33.33333333333333,2.0,2.0,100.0
37,송파구,방이2동,12,3,25.0,1.0,0.0,0.0
38,광진구,구의1동,7,3,42.85714285714285,0.0,0.0,0.0
39,은평구,불광2동,8,3,37.5,3.0,3.0,100.0
40,성북구,정릉3동,6,3,50.0,1.0,1.0,100.0
41,중랑구,중화2동,5,3,60.0,1.0,0.0,0.0
42,강북구,송천동,7,3,42.85714285714285,1.0,1.0,100.0
43,금천구,독산3동,9,3,33.33333333333333,1.0,0.0,0.0
44,마포구,연남동,4,1,25.0,2.0,0.0,0.0
45,강북구,미아동,6,3,50.0,0.0,0.0,0.0
46,광진구,자양4동,9,4,44.44444444444444,0.0,0.0,0.0
47,구로구,구로2동,13,3,23.07692307692308,1.0,0.0,0.0
48,중구,장충동,2,1,50.0,1.0,1.0,100.0
49,영등포구,신길1동,7,4,57.14285714285714,0.0,0.0,0.0
50,관악구,조원동,8,5,62.5,0.0,0.0,0.0
51,성북구,동선동,4,2,50.0,3.0,2.0,66.66666666666666
52,강북구,번1동,9,4,44.44444444444444,1.0,1.0,100.0
53,용산구,용산2가동,2,2,100.0,0.0,0.0,0.0
54,관악구,행운동,10,5,50.0,3.0,2.0,66.66666666666666
55,관악구,낙성대동,7,2,28.57142857142857,0.0,0.0,0.0
56,종로구,이화동,3,1,33.33333333333333,0.0,0.0,0.0
57,영등포구,대림2동,5,2,40.0,2.0,2.0,100.0
58,서대문구,신촌동,5,1,20.0,3.0,0.0,0.0
59,관악구,청룡동,11,6,54.54545454545454,2.0,2.0,100.0
60,관악구,신사동,9,4,44.44444444444444,1.0,1.0,100.0
61,관악구,서림동,7,1,14.285714285714285,3.0,1.0,33.33333333333333
62,성동구,사근동,3,2,66.66666666666666,2.0,1.0,50.0
63,마포구,서교동,8,7,87.5,1.0,0.0,0.0
64,성동구,용답동,5,2,40.0,1.0,1.0,100.0
65,중구,신당동,1,1,100.0,1.0,1.0,100.0
66,종로구,창신2동,3,3,100.0,0.0,0.0,0.0
67,동작구,사당1동,6,2,33.33333333333333,1.0,0.0,0.0
68,관악구,신원동,6,2,33.33333333333333,1.0,1.0,100.0
69,관악구,대학동,5,1,20.0,1.0,1.0,100.0
70,성북구,안암동,8,4,50.0,1.0,0.0,0.0
71,관악구,서원동,7,5,71.42857142857143,0.0,0.0,0.0
72,관악구,중앙동,2,2,100.0,1.0,1.0,100.0
73,금천구,가산동,10,3,30.0,1.0,0.0,0.0
74,구로구,가리봉동,3,2,66.66666666666666,0.0,0.0,0.0
75,동작구,노량진2동,1,0,0.0,1.0,0.0,0.0
76,광진구,화양동,5,2,40.0,1.0,1.0,100.0
